benchmark,sampler,subset,S_size,easy_hard,n_stable,n_escaped,n_ambiguous,n_missing,p_stab,classifications
w5,as,S0,1,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S1,1,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S2,1,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S3,1,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S4,1,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S01,2,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S02,2,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S03,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S04,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S12,2,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S13,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S14,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S23,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S24,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S34,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S012,3,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S013,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S014,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S023,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S024,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S034,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S123,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S124,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S134,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S234,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S0123,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S0124,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S0134,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S0234,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,as,S1234,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S0,1,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S1,1,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S2,1,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S3,1,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S4,1,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S01,2,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S02,2,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S03,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S04,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S12,2,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S13,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S14,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S23,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S24,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S34,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S012,3,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S013,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S014,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S023,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S024,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S034,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S123,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S124,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S134,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S234,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S0123,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S0124,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S0134,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S0234,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
w5,asbs,S1234,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S0,1,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S1,1,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S2,1,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S3,1,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S4,1,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S01,2,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S02,2,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S03,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S04,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S12,2,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S13,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S14,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S23,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S24,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S34,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S012,3,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S013,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S014,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S023,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S024,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S034,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S123,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S124,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S134,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S234,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S0123,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S0124,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S0134,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S0234,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,as,S1234,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S0,1,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S1,1,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S2,1,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S3,1,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S4,1,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S01,2,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S02,2,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S03,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S04,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S12,2,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S13,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S14,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S23,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S24,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S34,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S012,3,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S013,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S014,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S023,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S024,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S034,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S123,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S124,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S134,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S234,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S0123,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S0124,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S0134,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S0234,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
c5,asbs,S1234,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S0,1,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S1,1,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S2,1,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S3,1,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S4,1,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S01,2,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S02,2,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S03,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S04,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S12,2,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S13,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S14,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S23,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S24,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S34,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S012,3,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S013,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S014,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S023,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S024,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S034,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S123,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S124,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S134,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S234,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S0123,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S0124,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S0134,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S0234,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,as,S1234,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S0,1,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S1,1,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S2,1,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S3,1,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S4,1,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S01,2,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S02,2,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S03,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S04,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S12,2,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S13,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S14,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S23,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S24,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S34,2,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S012,3,easy,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S013,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S014,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S023,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S024,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S034,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S123,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S124,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S134,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S234,3,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S0123,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S0124,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S0134,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S0234,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
b5,asbs,S1234,4,hard,0,5,0,0,0.0,"escaped,escaped,escaped,escaped,escaped"
