subset,S_size,L_S_star,n_stable,n_escaped,n_ambiguous,p_stab,classifications
S1,1,0.33760150000000005,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S13,2,0.33765680000000003,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S134,3,0.3384142,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S14,2,0.33842390000000006,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0,1,0.34222929999999996,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S04,2,0.342286,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S03,2,0.3425288,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S034,3,0.34286469999999997,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S2,1,0.3588489,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S23,2,0.3614864,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S24,2,0.36164209999999997,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S234,3,0.363074,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S123,3,0.41892579999999996,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S12,2,0.4202299,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S124,3,0.424732,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S1234,4,0.4265689999999999,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0123,4,0.4292789,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S012,3,0.4326871,0,0,5,0.0,"ambiguous,ambiguous,ambiguous,ambiguous,ambiguous"
S3,1,0.4332166,3,1,1,0.6,"stable,escaped,stable,ambiguous,stable"
S0124,4,0.4365062,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S023,3,0.4627778,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S014,3,0.4628407,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S01,2,0.46379800000000004,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S013,3,0.4746874,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0134,4,0.47932369999999996,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0234,4,0.47992110000000004,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S02,2,0.4851426,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S024,3,0.4906343000000001,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S4,1,0.6020193,1,3,1,0.2,"ambiguous,escaped,escaped,stable,escaped"
S34,2,0.6339005999999999,0,0,5,0.0,"ambiguous,ambiguous,ambiguous,ambiguous,ambiguous"
