subset,S_size,L_S_star,n_stable,n_escaped,n_ambiguous,p_stab,classifications
S234,3,0.35844770000000004,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S24,2,0.3590931,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S14,2,0.3611467,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S2,1,0.3630913,5,0,0,1.0,"stable,stable,stable,stable,stable"
S23,2,0.3651012,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S134,3,0.3667075,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S13,2,0.3690715,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S1,1,0.37447050000000004,5,0,0,1.0,"stable,stable,stable,stable,stable"
S04,2,0.4011947,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0,1,0.4177047,5,0,0,1.0,"stable,stable,stable,stable,stable"
S034,3,0.41838369999999997,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S03,2,0.43112969999999995,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0134,4,0.5590687,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S013,3,0.5924014,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S123,3,0.5930484,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S014,3,0.5933449,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S1234,4,0.5936298000000001,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S01,2,0.5958616,0,0,5,0.0,"ambiguous,ambiguous,ambiguous,ambiguous,ambiguous"
S124,3,0.5969527000000001,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0124,4,0.5997905,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S012,3,0.6095031000000001,0,0,5,0.0,"ambiguous,ambiguous,ambiguous,ambiguous,ambiguous"
S0123,4,0.6146046000000001,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S12,2,0.6252104,0,0,5,0.0,"ambiguous,ambiguous,ambiguous,ambiguous,ambiguous"
S024,3,0.6567668,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S023,3,0.6591753,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0234,4,0.6901048,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S02,2,0.7320363000000001,5,0,0,1.0,"stable,stable,stable,stable,stable"
S4,1,51.4176998,5,0,0,1.0,"stable,stable,stable,stable,stable"
S3,1,89.9711867,5,0,0,1.0,"stable,stable,stable,stable,stable"
S34,2,1570.8945250000002,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
