subset,S_size,L_S_star,n_stable,n_escaped,n_ambiguous,p_stab,classifications
S2,1,0.3630913,5,0,0,1.0,"stable,stable,stable,stable,stable"
S1,1,0.37447050000000004,5,0,0,1.0,"stable,stable,stable,stable,stable"
S0,1,0.4177047,5,0,0,1.0,"stable,stable,stable,stable,stable"
S3,1,0.4212974,5,0,0,1.0,"stable,stable,stable,stable,stable"
S4,1,0.4219252,5,0,0,1.0,"stable,stable,stable,stable,stable"
S0124,4,0.5500559999999999,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0134,4,0.5559632,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S13,2,0.5666589000000001,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S034,3,0.5712338000000001,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S12,2,0.5744905,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S123,3,0.5874988,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S01,2,0.5961445999999999,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S012,3,0.5988480999999999,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S14,2,0.6271256000000001,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S24,2,0.6358933,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S014,3,0.6360724000000001,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S03,2,0.6368138,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S124,3,0.6647798,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S234,3,0.6676133999999999,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S024,3,0.6787238999999999,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S02,2,0.7187398999999999,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S34,2,0.7312038000000001,0,0,5,0.0,"ambiguous,ambiguous,ambiguous,ambiguous,ambiguous"
S04,2,0.7685371,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S134,3,0.8036668,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S013,3,0.8237374000000001,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0234,4,0.9435845999999998,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0123,4,1.3534392,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S23,2,1.4018078,0,0,5,0.0,"ambiguous,ambiguous,ambiguous,ambiguous,ambiguous"
S1234,4,1.4560536,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S023,3,1.5055112999999998,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
