subset,S_size,L_S_star,n_stable,n_escaped,n_ambiguous,p_stab,classifications
S13,2,0.33481550000000004,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S1,1,0.3348411,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S134,3,0.3353434,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S14,2,0.3354825,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0,1,0.3429181,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S03,2,0.3431375,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S04,2,0.34317570000000003,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S034,3,0.3441007,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S2,1,0.3532946,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S23,2,0.3550578,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S24,2,0.355566,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S234,3,0.3566712,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S12,2,0.40850100000000006,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S124,3,0.40869019999999995,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S123,3,0.40931280000000003,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S1234,4,0.41073000000000004,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0123,4,0.41172429999999993,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S012,3,0.4143021,0,0,5,0.0,"ambiguous,ambiguous,ambiguous,ambiguous,ambiguous"
S0124,4,0.42172679999999996,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S4,1,0.42727060000000006,0,2,3,0.0,"ambiguous,escaped,escaped,ambiguous,ambiguous"
S014,3,0.4462059,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S01,2,0.4513435,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S013,3,0.45844060000000003,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0134,4,0.46272149999999995,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S023,3,0.47019959999999994,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S02,2,0.47628809999999994,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S024,3,0.4867894,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0234,4,0.49563199999999996,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S3,1,0.5434447,2,3,0,0.4,"stable,escaped,escaped,stable,escaped"
S34,2,0.6227996000000001,0,2,3,0.0,"ambiguous,escaped,escaped,ambiguous,ambiguous"
