subset,S_size,L_S_star,n_stable,n_escaped,n_ambiguous,p_stab,classifications
S24,2,0.38243820000000006,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S23,2,0.3906572,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S234,3,0.3914203,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S2,1,0.39706379999999997,5,0,0,1.0,"stable,stable,stable,stable,stable"
S14,2,0.4087542,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S1,1,0.4184397000000001,5,0,0,1.0,"stable,stable,stable,stable,stable"
S034,3,0.4209351,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S134,3,0.42403389999999996,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0,1,0.4247514,5,0,0,1.0,"stable,stable,stable,stable,stable"
S13,2,0.4288322,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S04,2,0.4345085,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S03,2,0.4454003,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S123,3,0.5271754,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S1234,4,0.5420271,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S124,3,0.5434543,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S12,2,0.5683314,0,0,5,0.0,"ambiguous,ambiguous,ambiguous,ambiguous,ambiguous"
S0123,4,0.5798013000000001,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0134,4,0.5866795,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S02,2,0.5876532999999999,5,0,0,1.0,"stable,stable,stable,stable,stable"
S012,3,0.5912767000000001,0,1,4,0.0,"ambiguous,ambiguous,escaped,ambiguous,ambiguous"
S014,3,0.6078266,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S024,3,0.6102034,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S023,3,0.6147913,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0124,4,0.631908,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S01,2,0.6750894000000001,0,0,5,0.0,"ambiguous,ambiguous,ambiguous,ambiguous,ambiguous"
S013,3,0.6978182,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0234,4,0.7547086000000001,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S34,2,50.0354513,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S4,1,51.10681,5,0,0,1.0,"stable,stable,stable,stable,stable"
S3,1,90.8882523,5,0,0,1.0,"stable,stable,stable,stable,stable"
