subset,S_size,L_S_star,n_stable,n_escaped,n_ambiguous,p_stab,classifications
S4,1,0.3734022,5,0,0,1.0,"stable,stable,stable,stable,stable"
S3,1,0.3902034,5,0,0,1.0,"stable,stable,stable,stable,stable"
S2,1,0.39706379999999997,5,0,0,1.0,"stable,stable,stable,stable,stable"
S1,1,0.4184397000000001,5,0,0,1.0,"stable,stable,stable,stable,stable"
S0,1,0.4247514,5,0,0,1.0,"stable,stable,stable,stable,stable"
S13,2,0.5096614,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S03,2,0.5313677,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S034,3,0.5333165999999999,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S12,2,0.5389874,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S24,2,0.5774261999999999,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0124,4,0.5788093,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S123,3,0.5860107,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S34,2,0.5864136999999999,0,0,5,0.0,"ambiguous,ambiguous,ambiguous,ambiguous,ambiguous"
S012,3,0.5911403,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S014,3,0.5946526,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0134,4,0.6064189,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S04,2,0.6420604,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S024,3,0.6432275000000001,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S124,3,0.6477528,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S013,3,0.6618956,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S01,2,0.6655934,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S234,3,0.6905412999999999,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S14,2,0.7076963000000001,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S02,2,0.7138565,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S023,3,0.7754211,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S134,3,0.7984140999999999,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0123,4,0.9431719999999999,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S0234,4,1.1900468,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S1234,4,1.2080353,0,5,0,0.0,"escaped,escaped,escaped,escaped,escaped"
S23,2,2.153552,0,0,5,0.0,"ambiguous,ambiguous,ambiguous,ambiguous,ambiguous"
