sampler,benchmark,subset,L_S_star,p_stab,lambda_min,P1,total_vHv,remainder,P1_fraction
as,w5,S2,0.3630913,1.0,-2.272932529449463,0.05296216506510973,-145.4821228981018,-145.53508506316692,0.0003640458635743784
as,w5,S1,0.3744705,1.0,-9.572547912597656,0.10687564901876322,-146.56350016593933,-146.6703758149581,0.0007292105394432147
as,w5,S0,0.4177047,1.0,-4.345844745635986,0.12349663160482305,321.06801867485046,320.9445220432456,0.00038464320462216806
as,w5,S14,0.6271256000000001,0.0,-1.754626989364624,0.019912870936853143,46.13954573869705,46.119632867760195,0.0004315792584864818
as,w5,S24,0.6358933,0.0,-2.268656015396118,0.027772769663788496,-430.8013245463371,-430.8290973160009,6.446769794180334e-05
as,w5,S014,0.6360724000000001,0.0,-3.757028579711914,0.04863838669975812,-959.9676728248596,-960.0163112115594,5.066669230290511e-05
as,w5,S03,0.6368138,0.0,-1.7136880159378052,0.049115539350846664,-1345.7591459155083,-1345.8082614548591,3.649653022973152e-05
as,w5,S23,1.4018078,0.0,-6.297335624694824,0.12877929793568327,692.155659198761,692.0268799008253,0.00018605539985722214
as,w5,S1234,1.4560536,0.0,-2.5741214752197266,0.07141687516412931,1019.9832916259766,1019.9118747508124,7.001769122146616e-05
as,w5,S023,1.5055112999999998,0.0,-2.299142599105835,0.09769036280520958,-1085.6255888938904,-1085.7232792566956,8.998531704170146e-05
asbs,w5,S4,0.3734022,1.0,-38.18067169189453,0.3125381214735156,341.5980935096741,341.2855553882006,0.0009149293494653917
asbs,w5,S3,0.3902034,1.0,-31.3892879486084,0.10779395768600517,298.5195070505142,298.4117130928282,0.0003610951885557302
asbs,w5,S2,0.3970637999999999,1.0,-32.09056854248047,0.33134370173716454,-30.5832177400589,-30.914561441796064,0.010834167436282426
asbs,w5,S012,0.5911403,0.0,-16.005815505981445,0.03925062311260917,-556.8418651819229,-556.8811158050355,7.048791688782012e-05
asbs,w5,S014,0.5946526,0.0,-19.59824752807617,0.05714149721633876,-403.4785181283951,-403.5356596256114,0.00014162215495730807
asbs,w5,S0134,0.6064189,0.0,-13.03935432434082,0.056278117032354934,-80.66371083259583,-80.71998894962817,0.0006976881729267462
asbs,w5,S04,0.6420604,0.0,-35.54856872558594,0.2723908700013533,-1140.4483020305634,-1140.7206929005647,0.00023884543430538555
