sampler,benchmark,subset,eigvec_group,eigvec_idx,eigenvalue,delta_alpha,max_revival_delta,classification
as,w5,S2,min5,0,-2.272932529449463,"[0.0, 0.0, -0.00010001659393310547, 9.999999747378752e-05, 0.0]",9.999999747378752e-05,surviving
as,w5,S2,min5,1,-2.1157987117767334,"[0.0, 9.999999747378752e-05, -0.00010001659393310547, 0.0, 0.0]",9.999999747378752e-05,surviving
as,w5,S2,min5,2,-2.0132510662078857,"[0.0, 0.00019999999494757503, -0.000299990177154541, 9.999999747378752e-05, 0.0]",0.00019999999494757503,surviving
as,w5,S2,min5,3,-1.8783197402954102,"[0.0, 9.999999747378752e-05, -0.00010001659393310547, 0.0, 0.0]",9.999999747378752e-05,surviving
as,w5,S2,min5,4,-1.8413448333740234,"[0.0, 9.999999747378752e-05, -0.00010001659393310547, 0.0, 0.0]",9.999999747378752e-05,surviving
as,w5,S2,max5,0,6.345757007598877,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,surviving
as,w5,S2,max5,1,13.323712348937988,"[0.0, 0.0, -0.00010001659393310547, 9.999999747378752e-05, 0.0]",9.999999747378752e-05,surviving
as,w5,S2,max5,2,20.66165542602539,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,surviving
as,w5,S2,max5,3,147.35130310058594,"[0.0, 9.999999747378752e-05, -0.00019997358322143555, 9.999999747378752e-05, 0.0]",9.999999747378752e-05,surviving
as,w5,S2,max5,4,743.757080078125,"[0.0, 9.999999747378752e-05, -0.00010001659393310547, 0.0, 0.0]",9.999999747378752e-05,surviving
as,w5,S1,min5,0,-9.572547912597656,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,surviving
as,w5,S1,min5,1,-8.958762168884277,"[0.0, 0.00010001659393310547, -9.999999747378752e-05, 0.0, 0.0]",9.999999747378752e-05,surviving
as,w5,S1,min5,2,-8.817136764526367,"[9.999999747378752e-05, 0.0, -9.999999747378752e-05, 0.0, 0.0]",9.999999747378752e-05,surviving
as,w5,S1,min5,3,-8.62336254119873,"[9.999999747378752e-05, 0.0, -9.999999747378752e-05, 0.0, 0.0]",9.999999747378752e-05,surviving
as,w5,S1,min5,4,-8.320403099060059,"[0.0, 0.00010001659393310547, -9.999999747378752e-05, 0.0, 0.0]",9.999999747378752e-05,surviving
as,w5,S1,max5,0,8.171796798706055,"[9.999999747378752e-05, -0.00019997358322143555, 9.999999747378752e-05, 0.0, 0.0]",9.999999747378752e-05,surviving
as,w5,S1,max5,1,14.286179542541504,"[0.0, 0.00010001659393310547, -9.999999747378752e-05, 0.0, 0.0]",9.999999747378752e-05,surviving
