sampler,benchmark,subset,L_S_star,p_stab,lambda_min_full,lambda_min_rev,revival_dim,n_revival_dirs
as,w5,S2,0.3630913,1.0,-2.272932529449463,,0,0
as,w5,S1,0.3744705,1.0,-9.572547912597656,,0,0
as,w5,S0,0.4177047,1.0,-4.345844745635986,,0,0
as,w5,S14,0.6271256000000001,0.0,-1.754626989364624,,0,0
as,w5,S24,0.6358933,0.0,-2.268656015396118,,0,0
as,w5,S014,0.6360724000000001,0.0,-3.757028579711914,,0,0
as,w5,S03,0.6368138,0.0,-1.7136880159378052,,0,0
as,w5,S23,1.4018078,0.0,-6.297335624694824,,0,0
as,w5,S1234,1.4560536,0.0,-2.5741214752197266,,0,0
as,w5,S023,1.5055112999999998,0.0,-2.299142599105835,,0,0
asbs,w5,S4,0.3734022,1.0,-38.18067169189453,,0,0
asbs,w5,S3,0.3902034,1.0,-31.3892879486084,,0,0
asbs,w5,S2,0.3970637999999999,1.0,-32.09056854248047,,0,0
asbs,w5,S012,0.5911403,0.0,-16.005815505981445,,0,0
asbs,w5,S014,0.5946526,0.0,-19.59824752807617,,0,0
asbs,w5,S0134,0.6064189,0.0,-13.03935432434082,,0,0
asbs,w5,S04,0.6420604,0.0,-35.54856872558594,,0,0
asbs,w5,S0234,1.1900468,0.0,-17.25087547302246,,0,0
asbs,w5,S1234,1.2080353,0.0,-16.104759216308594,,0,0
asbs,w5,S23,2.153552,0.0,-43.10081481933594,,0,0
as,c5,S2,0.3630913,1.0,-2.371616840362549,,0,0
as,c5,S1,0.3744705,1.0,-9.566694259643556,,0,0
as,c5,S0,0.4177047,1.0,-4.664210796356201,,0,0
as,c5,S013,0.5924014,0.0,-3.9054479598999023,,0,0
as,c5,S123,0.5930484,0.0,-1.1952582597732544,,0,0
as,c5,S014,0.5933449,0.0,-6.709588050842285,,0,0
as,c5,S1234,0.5936298000000001,0.0,-1.0404212474822998,,0,0
as,c5,S4,51.4176998,1.0,-351.6990661621094,,0,0
as,c5,S3,89.9711867,1.0,-162.7524871826172,,0,0
as,c5,S34,1570.8945250000002,0.0,-306.85711669921875,,0,0
asbs,c5,S2,0.3970637999999999,1.0,-32.21485900878906,,0,0
asbs,c5,S1,0.4184397000000001,1.0,-41.52306365966797,,0,0
asbs,c5,S0,0.4247514,1.0,-40.98776626586914,,0,0
asbs,c5,S1234,0.5420271,0.0,-28.649734497070312,,0,0
asbs,c5,S124,0.5434543,0.0,-25.211816787719727,,0,0
asbs,c5,S12,0.5683314,0.0,-29.859867095947266,,0,0
asbs,c5,S0123,0.5798013000000001,0.0,-14.560746192932127,,0,0
asbs,c5,S34,50.0354513,0.0,-247.9976043701172,,0,0
asbs,c5,S4,51.10681,1.0,-133.01773071289062,,0,0
asbs,c5,S3,90.8882523,1.0,-99.26476287841795,,0,0
as,b5,S3,0.4332166,0.6,-2.564316272735596,,0,0
as,b5,S12,0.4202299,0.0,-1.1416572332382202,,0,0
as,b5,S124,0.424732,0.0,-1.1039193868637085,,0,0
as,b5,S1234,0.4265689999999999,0.0,-1.1047075986862185,,0,0
as,b5,S0123,0.4292789,0.0,-0.2658545076847076,,0,0
as,b5,S024,0.4906343000000001,0.0,-1.3387032747268677,-0.00040061218896880746,11,11
as,b5,S4,0.6020193,0.2,-3.2071361541748047,,0,0
as,b5,S34,0.6339005999999999,0.0,-2.0903799533843994,,0,0
asbs,b5,S124,0.4086901999999999,0.0,-1.1952667236328125,0.00026129483012482524,2,2
asbs,b5,S123,0.4093128,0.0,-1.153854489326477,,1,1
asbs,b5,S1234,0.41073,0.0,-1.2273263931274414,0.0001350360835203901,4,4
asbs,b5,S0123,0.4117242999999999,0.0,-1.5180381536483765,,0,0
asbs,b5,S0234,0.4956319999999999,0.0,-2.6993141174316406,-0.0021546408534049988,34,34
asbs,b5,S3,0.5434447,0.4,-123.43988800048828,,0,0
asbs,b5,S34,0.6227996000000001,0.0,-48.6488037109375,,0,0
