sampler,benchmark,subset,L_S_star,p_stab,lambda_min,lambda_max,converged,dim
as,w5,S2,0.3630913,1.0,-2.272932529449463,743.757080078125,True,83330
as,w5,S1,0.3744705,1.0,-9.572547912597656,831.711669921875,True,83330
as,w5,S0,0.4177047,1.0,-4.345844745635986,929.978271484375,False,83330
as,w5,S14,0.6271256000000001,0.0,-1.754626989364624,478.242919921875,True,83330
as,w5,S24,0.6358933,0.0,-2.268656015396118,391.9256286621094,True,83330
as,w5,S014,0.6360724000000001,0.0,-3.757028579711914,821.346435546875,True,83330
as,w5,S03,0.6368138,0.0,-1.7136880159378052,488.7845764160156,True,83330
as,w5,S23,1.4018078,0.0,-6.297335624694824,857.3148193359375,True,83330
as,w5,S1234,1.4560536,0.0,-2.5741214752197266,531.4338989257812,True,83330
as,w5,S023,1.5055112999999998,0.0,-2.299142599105835,581.9205322265625,True,83330
asbs,w5,S4,0.3734022,1.0,-38.18067169189453,958.302734375,True,166660
asbs,w5,S3,0.3902034,1.0,-31.3892879486084,946.6090698242188,True,166660
asbs,w5,S2,0.3970637999999999,1.0,-32.09056854248047,796.5808715820312,True,166660
asbs,w5,S012,0.5911403,0.0,-16.005815505981445,936.5991821289062,True,166660
asbs,w5,S014,0.5946526,0.0,-19.598247528076172,935.1415405273438,True,166660
asbs,w5,S0134,0.6064189,0.0,-13.03935432434082,537.1961669921875,True,166660
asbs,w5,S04,0.6420604,0.0,-35.54856872558594,1163.402099609375,True,166660
asbs,w5,S0234,1.1900468,0.0,-17.25087547302246,539.898681640625,True,166660
asbs,w5,S1234,1.2080353,0.0,-16.104759216308594,530.3987426757812,True,166660
asbs,w5,S23,2.153552,0.0,-43.10081481933594,1135.8505859375,True,166660
as,c5,S2,0.3630913,1.0,-2.371616840362549,747.3141479492188,True,83330
as,c5,S1,0.3744705,1.0,-9.566694259643555,832.7915649414062,True,83330
as,c5,S0,0.4177047,1.0,-4.664210796356201,916.655029296875,False,83330
as,c5,S013,0.5924014,0.0,-3.9054479598999023,1243.98486328125,True,83330
as,c5,S123,0.5930484,0.0,-1.1952582597732544,683.189697265625,False,83330
as,c5,S014,0.5933449,0.0,-6.709588050842285,1162.9935302734375,True,83330
as,c5,S1234,0.5936298000000001,0.0,-1.0404212474822998,711.5078125,True,83330
as,c5,S4,51.4176998,1.0,-351.6990661621094,24816.681640625,True,83330
as,c5,S3,89.9711867,1.0,-162.7524871826172,23988.169921875,True,83330
as,c5,S34,1570.8945250000002,0.0,-306.85711669921875,24377.48828125,True,83330
asbs,c5,S2,0.3970637999999999,1.0,-32.21485900878906,791.9724731445312,True,166660
asbs,c5,S1,0.4184397000000001,1.0,-41.52306365966797,955.0328369140625,True,166660
asbs,c5,S0,0.4247514,1.0,-40.98776626586914,1087.3414306640625,True,166660
asbs,c5,S1234,0.5420271,0.0,-28.649734497070312,706.821044921875,True,166660
asbs,c5,S124,0.5434543,0.0,-25.211816787719727,699.8934326171875,True,166660
asbs,c5,S12,0.5683314,0.0,-29.859867095947266,691.2453002929688,True,166660
asbs,c5,S0123,0.5798013000000001,0.0,-14.560746192932129,1045.40283203125,True,166660
asbs,c5,S34,50.0354513,0.0,-247.9976043701172,24744.267578125,False,166660
asbs,c5,S4,51.10681,1.0,-133.01773071289062,22311.89453125,True,166660
asbs,c5,S3,90.8882523,1.0,-99.26476287841797,24052.314453125,True,166660
as,b5,S3,0.4332166,0.6,-2.5643162727355957,1740.46826171875,False,83330
as,b5,S12,0.4202299,0.0,-1.1416572332382202,45.946739196777344,False,83330
as,b5,S124,0.424732,0.0,-1.1039193868637085,51.22704315185547,True,83330
as,b5,S1234,0.4265689999999999,0.0,-1.1047075986862183,42.298439025878906,True,83330
as,b5,S0123,0.4292789,0.0,-0.26585450768470764,71.00700378417969,True,83330
as,b5,S024,0.4906343000000001,0.0,-1.3387032747268677,124.93968963623047,True,83330
as,b5,S4,0.6020193,0.2,-3.2071361541748047,2071.142333984375,False,83330
as,b5,S34,0.6339005999999999,0.0,-2.0903799533843994,777.2403564453125,True,83330
asbs,b5,S124,0.4086901999999999,0.0,-1.1952667236328125,39.02701950073242,True,166660
asbs,b5,S123,0.4093128,0.0,-1.153854489326477,33.48345184326172,True,166660
asbs,b5,S1234,0.41073,0.0,-1.2273263931274414,34.30154037475586,False,166660
asbs,b5,S0123,0.4117242999999999,0.0,-1.5180381536483765,66.30235290527344,True,166660
asbs,b5,S0234,0.4956319999999999,0.0,-2.6993141174316406,110.957275390625,True,166660
asbs,b5,S3,0.5434447,0.4,-123.43988800048828,2156.48876953125,True,166660
asbs,b5,S34,0.6227996000000001,0.0,-48.6488037109375,909.642822265625,True,166660
