sampler,benchmark,subset,dir_idx,P1,delta_alpha_dead_norm_sq,delta_alpha_dead_max,is_revival
as,w5,S2,0,0.01672813819881594,4.999999747378755e-08,0.00019999999494757503,False
as,w5,S2,1,0.007396080929020173,9.99999949475751e-09,9.999999747378752e-05,False
as,w5,S2,2,0.002240341595994323,9.99999949475751e-09,9.999999747378752e-05,False
as,w5,S2,3,0.03631270346398196,4.999999747378755e-08,0.00019999999494757503,False
as,w5,S2,4,0.04190982425726634,0.0,0.0,False
as,w5,S2,5,0.01303465580006366,1.999999898951502e-08,9.999999747378752e-05,False
as,w5,S2,6,0.006942044654547317,1.999999898951502e-08,9.999999747378752e-05,False
as,w5,S2,7,0.00586219680908107,3.999999797903004e-08,0.00019999999494757503,False
as,w5,S2,8,0.00204718109159694,9.99999949475751e-09,9.999999747378752e-05,False
as,w5,S2,9,0.00948545429911701,9.99999949475751e-09,9.999999747378752e-05,False
as,w5,S2,10,0.016792302029358323,1.5999999191612015e-07,0.00039999998989515007,False
as,w5,S2,11,0.001671507228057635,3.999999797903004e-08,0.00019999999494757503,False
as,w5,S2,12,0.007477824561074158,0.0,0.0,False
as,w5,S2,13,0.0026669285632488025,0.0,0.0,False
as,w5,S2,14,0.0036357619685077223,0.0,0.0,False
as,w5,S2,15,0.002628029879200767,9.99999949475751e-09,9.999999747378752e-05,False
as,w5,S2,16,0.008407000179858187,0.0,0.0,False
as,w5,S2,17,0.023202474240748415,9.99999949475751e-09,9.999999747378752e-05,False
as,w5,S2,18,0.010432202233758745,9.000000854954144e-08,0.0003000000142492354,False
as,w5,S2,19,0.003562010660835767,0.0,0.0,False
as,w5,S2,20,0.027637206769155456,3.999999797903004e-08,0.00019999999494757503,False
as,w5,S2,21,0.001951296921904941,0.0,0.0,False
as,w5,S2,22,0.011063382021889993,1.999999898951502e-08,9.999999747378752e-05,False
as,w5,S2,23,0.006848114154320683,4.999999747378755e-08,0.00019999999494757503,False
as,w5,S2,24,0.012586771444584883,9.99999949475751e-09,9.999999747378752e-05,False
as,w5,S2,25,0.002795703357872071,0.0,0.0,False
as,w5,S2,26,0.0066905878093821225,3.999999797903004e-08,0.00019999999494757503,False
as,w5,S2,27,0.006649477719136939,0.0,0.0,False
as,w5,S2,28,0.002627804777109304,3.999999797903004e-08,0.00019999999494757503,False
as,w5,S2,29,0.008180617215968824,3.999999797903004e-08,0.00019999999494757503,False
as,w5,S2,30,0.006768268685432304,9.99999949475751e-09,9.999999747378752e-05,False
as,w5,S2,31,0.0029367848421306916,4.999999747378755e-08,0.00019999999494757503,False
as,w5,S2,32,0.001513900378602557,3.999999797903004e-08,0.00019999999494757503,False
as,w5,S2,33,0.02766564666105842,0.0,0.0,False
as,w5,S2,34,0.021189137285678953,9.99999949475751e-09,9.999999747378752e-05,False
as,w5,S2,35,0.0022031217564435794,9.99999949475751e-09,9.999999747378752e-05,False
as,w5,S2,36,0.003887758311484504,9.99999949475751e-09,9.999999747378752e-05,False
as,w5,S2,37,0.002715668825066132,0.0,0.0,False
as,w5,S2,38,0.0037422316779047835,9.99999949475751e-09,9.999999747378752e-05,False
as,w5,S2,39,0.00159267153005203,3.999999797903004e-08,0.00019999999494757503,False
as,w5,S2,40,0.013734125521590613,4.999999747378755e-08,0.00019999999494757503,False
as,w5,S2,41,0.019218763696580935,1.999999898951502e-08,9.999999747378752e-05,False
as,w5,S2,42,0.02384380267879169,9.99999949475751e-09,9.999999747378752e-05,False
as,w5,S2,43,0.00165034525943247,9.99999949475751e-09,9.999999747378752e-05,False
