sampler,benchmark,subset,n_dir,n_revival,c_u_emp,c_u_theory,ratio_emp_over_theory,violation_frac
as,b5,S0123,200,0,,0.05555555555555555,,
as,b5,S024,200,0,,0.05555555555555555,,
as,b5,S12,200,0,,0.05555555555555555,,
as,b5,S1234,200,0,,0.05555555555555555,,
as,b5,S124,200,0,,0.05555555555555555,,
as,b5,S3,200,0,,0.027777777777777776,,
as,b5,S34,200,0,,0.037037037037037035,,
as,b5,S4,200,0,,0.027777777777777776,,
as,c5,S0,200,0,,0.027777777777777776,,
as,c5,S013,200,0,,0.037037037037037035,,
as,c5,S014,200,0,,0.037037037037037035,,
as,c5,S1,200,0,,0.027777777777777776,,
as,c5,S123,200,0,,0.037037037037037035,,
as,c5,S1234,200,0,,0.037037037037037035,,
as,c5,S2,200,0,,0.027777777777777776,,
as,c5,S3,200,0,,0.027777777777777776,,
as,c5,S34,200,0,,0.027777777777777776,,
as,c5,S4,200,0,,0.027777777777777776,,
as,w5,S0,200,0,,0.027777777777777776,,
as,w5,S014,200,0,,0.05555555555555555,,
as,w5,S023,200,0,,0.05555555555555555,,
as,w5,S03,200,0,,0.037037037037037035,,
as,w5,S1,200,0,,0.027777777777777776,,
as,w5,S1234,200,0,,0.1111111111111111,,
as,w5,S14,200,0,,0.037037037037037035,,
as,w5,S2,200,0,,0.027777777777777776,,
as,w5,S23,200,0,,0.037037037037037035,,
as,w5,S24,200,0,,0.037037037037037035,,
asbs,b5,S0123,200,0,,0.05555555555555555,,
asbs,b5,S0234,200,0,,0.05555555555555555,,
asbs,b5,S123,200,0,,0.05555555555555555,,
asbs,b5,S1234,200,0,,0.05555555555555555,,
asbs,b5,S124,200,0,,0.05555555555555555,,
asbs,b5,S3,200,0,,0.027777777777777776,,
asbs,b5,S34,200,0,,0.037037037037037035,,
asbs,c5,S0,200,0,,0.027777777777777776,,
asbs,c5,S0123,200,0,,0.05555555555555555,,
asbs,c5,S1,200,0,,0.027777777777777776,,
asbs,c5,S12,200,0,,0.037037037037037035,,
asbs,c5,S1234,200,0,,0.037037037037037035,,
asbs,c5,S124,200,0,,0.037037037037037035,,
asbs,c5,S2,200,0,,0.027777777777777776,,
asbs,c5,S3,200,0,,0.027777777777777776,,
asbs,c5,S34,200,0,,0.027777777777777776,,
asbs,c5,S4,200,0,,0.027777777777777776,,
asbs,w5,S012,200,0,,0.05555555555555555,,
asbs,w5,S0134,200,0,,0.1111111111111111,,
asbs,w5,S014,200,0,,0.05555555555555555,,
asbs,w5,S0234,200,0,,0.1111111111111111,,
asbs,w5,S04,200,0,,0.037037037037037035,,
asbs,w5,S1234,200,0,,0.1111111111111111,,
asbs,w5,S2,200,0,,0.027777777777777776,,
asbs,w5,S23,200,0,,0.037037037037037035,,
asbs,w5,S3,200,0,,0.027777777777777776,,
asbs,w5,S4,200,0,,0.027777777777777776,,
