sampler,benchmark,subset,lambda_max,eta_0,eta_th,p_stab
as,w5,S2,743.757080078125,0.0013445250160105488,0.0026890500320210977,1.0
as,c5,S2,747.3141479492188,0.0013381253422596138,0.0026762506845192276,1.0
asbs,w5,S4,958.302734375,0.001043511579513748,0.002087023159027496,1.0
as,w5,S1,831.711669921875,0.0012023397484538516,0.002404679496907703,1.0
as,c5,S1,832.7915649414062,0.0012007806540047727,0.0024015613080095454,1.0
asbs,w5,S3,946.6090698242188,0.0010564023015178755,0.002112804603035751,1.0
asbs,w5,S2,796.5808715820312,0.0012553653190466058,0.0025107306380932116,1.0
asbs,c5,S2,791.9724731445312,0.00126267014815489,0.00252534029630978,1.0
as,w5,S0,929.978271484375,0.0010752939403668653,0.0021505878807337305,1.0
as,c5,S0,916.655029296875,0.0010909229405167342,0.0021818458810334684,1.0
asbs,c5,S1,955.0328369140624,0.0010470844156848442,0.0020941688313696884,1.0
asbs,c5,S0,1087.3414306640625,0.0009196743284115264,0.0018393486568230527,1.0
as,b5,S3,1740.46826171875,0.0005745580209618292,0.0011491160419236585,0.6
