sampler,benchmark,subset,lambda_max,eta_0,eta_th,eta_star,ratio
as,w5,S2,743.757080078125,0.0013445250160105,0.002689050032021,,
as,c5,S2,747.3141479492188,0.0013381253422596,0.0026762506845192,,
asbs,w5,S4,958.302734375,0.0010435115795137,0.0020870231590274,,
as,w5,S1,831.711669921875,0.0012023397484538,0.0024046794969077,,
as,c5,S1,832.7915649414062,0.0012007806540047,0.0024015613080095,,
asbs,w5,S3,946.6090698242188,0.0010564023015178,0.0021128046030357,,
asbs,w5,S2,796.5808715820312,0.0012553653190466,0.0025107306380932,,
asbs,c5,S2,791.9724731445312,0.0012626701481548,0.0025253402963097,,
as,w5,S0,929.978271484375,0.0010752939403668,0.0021505878807337,,
as,c5,S0,916.655029296875,0.0010909229405167,0.0021818458810334,,
asbs,c5,S1,955.0328369140624,0.0010470844156848,0.0020941688313696,,
asbs,c5,S0,1087.3414306640625,0.0009196743284115,0.001839348656823,,
as,b5,S3,1740.46826171875,0.0005745580209618,0.0011491160419236,0.0002872790104809,0.25
