sampler,benchmark,subset,eta_mult,eta_value,n_escape,n_no_escape,n_oscillation,n_valid,P_escape
as,w5,S2,0.5,0.00067226250800525,0,5,0,5,0.0
as,w5,S2,1.0,0.0013445250160105,0,5,0,5,0.0
as,w5,S2,1.5,0.00201678752401575,0,5,0,5,0.0
as,w5,S2,2.0,0.002689050032021,0,5,0,5,0.0
as,w5,S2,2.5,0.0033613125400262503,0,5,0,5,0.0
as,w5,S2,3.0,0.0040335750480315,0,5,0,5,0.0
as,w5,S2,4.0,0.005378100064042,0,5,0,5,0.0
as,w5,S2,6.0,0.008067150096063,0,5,0,5,0.0
as,c5,S2,0.5,0.0006690626711298,0,5,0,5,0.0
as,c5,S2,1.0,0.0013381253422596,0,5,0,5,0.0
as,c5,S2,1.5,0.0020071880133894,0,5,0,5,0.0
as,c5,S2,2.0,0.0026762506845192,0,5,0,5,0.0
as,c5,S2,2.5,0.0033453133556489998,0,5,0,5,0.0
as,c5,S2,3.0,0.0040143760267788,0,5,0,5,0.0
as,c5,S2,4.0,0.0053525013690384,0,5,0,5,0.0
as,c5,S2,6.0,0.0080287520535576,0,5,0,5,0.0
asbs,w5,S4,0.5,0.00052175578975685,0,5,0,5,0.0
asbs,w5,S4,1.0,0.0010435115795137,0,5,0,5,0.0
asbs,w5,S4,1.5,0.00156526736927055,0,5,0,5,0.0
asbs,w5,S4,2.0,0.0020870231590274,0,5,0,5,0.0
asbs,w5,S4,2.5,0.00260877894878425,0,5,0,5,0.0
asbs,w5,S4,3.0,0.0031305347385411,0,5,0,5,0.0
asbs,w5,S4,4.0,0.0041740463180548,0,5,0,5,0.0
asbs,w5,S4,6.0,0.0062610694770822,0,5,0,5,0.0
as,w5,S1,0.5,0.0006011698742269,0,5,0,5,0.0
as,w5,S1,1.0,0.0012023397484538,0,5,0,5,0.0
as,w5,S1,1.5,0.0018035096226807,0,5,0,5,0.0
as,w5,S1,2.0,0.0024046794969076,0,5,0,5,0.0
as,w5,S1,2.5,0.0030058493711345,0,5,0,5,0.0
as,w5,S1,3.0,0.0036070192453614,0,5,0,5,0.0
as,w5,S1,4.0,0.0048093589938152,0,5,0,5,0.0
as,w5,S1,6.0,0.0072140384907228,0,5,0,5,0.0
as,c5,S1,0.5,0.00060039032700235,0,5,0,5,0.0
as,c5,S1,1.0,0.0012007806540047,0,5,0,5,0.0
as,c5,S1,1.5,0.00180117098100705,0,5,0,5,0.0
as,c5,S1,2.0,0.0024015613080094,0,5,0,5,0.0
as,c5,S1,2.5,0.00300195163501175,0,5,0,5,0.0
as,c5,S1,3.0,0.0036023419620141,0,5,0,5,0.0
as,c5,S1,4.0,0.0048031226160188,0,5,0,5,0.0
as,c5,S1,6.0,0.0072046839240282,0,5,0,5,0.0
asbs,w5,S3,0.5,0.0005282011507589,0,5,0,5,0.0
asbs,w5,S3,1.0,0.0010564023015178,0,5,0,5,0.0
asbs,w5,S3,1.5,0.0015846034522767,0,5,0,5,0.0
asbs,w5,S3,2.0,0.0021128046030356,0,5,0,5,0.0
asbs,w5,S3,2.5,0.0026410057537945,0,5,0,5,0.0
asbs,w5,S3,3.0,0.0031692069045534,0,5,0,5,0.0
asbs,w5,S3,4.0,0.0042256092060712,0,5,0,5,0.0
asbs,w5,S3,6.0,0.0063384138091068,0,5,0,5,0.0
asbs,w5,S2,0.5,0.0006276826595233,0,5,0,5,0.0
asbs,w5,S2,1.0,0.0012553653190466,0,5,0,5,0.0
asbs,w5,S2,1.5,0.0018830479785699,0,5,0,5,0.0
asbs,w5,S2,2.0,0.0025107306380932,0,5,0,5,0.0
asbs,w5,S2,2.5,0.0031384132976164996,0,5,0,5,0.0
asbs,w5,S2,3.0,0.0037660959571398,0,5,0,5,0.0
asbs,w5,S2,4.0,0.0050214612761864,0,5,0,5,0.0
asbs,w5,S2,6.0,0.0075321919142796,0,5,0,5,0.0
asbs,c5,S2,0.5,0.0006313350740774,0,5,0,5,0.0
asbs,c5,S2,1.0,0.0012626701481548,0,5,0,5,0.0
asbs,c5,S2,1.5,0.0018940052222322001,0,5,0,5,0.0
asbs,c5,S2,2.0,0.0025253402963096,0,5,0,5,0.0
asbs,c5,S2,2.5,0.003156675370387,0,5,0,5,0.0
asbs,c5,S2,3.0,0.0037880104444644003,0,5,0,5,0.0
asbs,c5,S2,4.0,0.0050506805926192,0,5,0,5,0.0
asbs,c5,S2,6.0,0.0075760208889288005,0,5,0,5,0.0
as,w5,S0,0.5,0.0005376469701834,0,5,0,5,0.0
as,w5,S0,1.0,0.0010752939403668,0,5,0,5,0.0
as,w5,S0,1.5,0.0016129409105502001,0,5,0,5,0.0
as,w5,S0,2.0,0.0021505878807336,0,5,0,5,0.0
as,w5,S0,2.5,0.002688234850917,0,5,0,5,0.0
as,w5,S0,3.0,0.0032258818211004002,0,5,0,5,0.0
as,w5,S0,4.0,0.0043011757614672,0,5,0,5,0.0
as,w5,S0,6.0,0.0064517636422008005,0,5,0,5,0.0
as,c5,S0,0.5,0.00054546147025835,0,5,0,5,0.0
as,c5,S0,1.0,0.0010909229405167,0,5,0,5,0.0
as,c5,S0,1.5,0.0016363844107750499,0,5,0,5,0.0
as,c5,S0,2.0,0.0021818458810334,0,5,0,5,0.0
as,c5,S0,2.5,0.00272730735129175,0,5,0,5,0.0
as,c5,S0,3.0,0.0032727688215500998,0,5,0,5,0.0
as,c5,S0,4.0,0.0043636917620668,0,5,0,5,0.0
as,c5,S0,6.0,0.0065455376431001995,0,5,0,5,0.0
asbs,c5,S1,0.5,0.0005235422078424,0,5,0,5,0.0
asbs,c5,S1,1.0,0.0010470844156848,0,5,0,5,0.0
asbs,c5,S1,1.5,0.0015706266235271998,0,5,0,5,0.0
asbs,c5,S1,2.0,0.0020941688313696,0,5,0,5,0.0
asbs,c5,S1,2.5,0.002617711039212,0,5,0,5,0.0
asbs,c5,S1,3.0,0.0031412532470543996,0,5,0,5,0.0
asbs,c5,S1,4.0,0.0041883376627392,0,5,0,5,0.0
asbs,c5,S1,6.0,0.006282506494108799,0,5,0,5,0.0
asbs,c5,S0,0.5,0.00045983716420575,0,5,0,5,0.0
asbs,c5,S0,1.0,0.0009196743284115,0,5,0,5,0.0
asbs,c5,S0,1.5,0.00137951149261725,0,5,0,5,0.0
asbs,c5,S0,2.0,0.001839348656823,0,5,0,5,0.0
asbs,c5,S0,2.5,0.0022991858210287502,0,5,0,5,0.0
asbs,c5,S0,3.0,0.0027590229852345,0,5,0,5,0.0
asbs,c5,S0,4.0,0.003678697313646,0,5,0,5,0.0
asbs,c5,S0,6.0,0.005518045970469,0,5,0,5,0.0
as,b5,S3,0.5,0.0002872790104809,3,2,0,5,0.6
as,b5,S3,1.0,0.0005745580209618,3,2,0,5,0.6
as,b5,S3,1.5,0.0008618370314427,3,2,0,5,0.6
as,b5,S3,2.0,0.0011491160419236,3,2,0,5,0.6
as,b5,S3,2.5,0.0014363950524045,3,2,0,5,0.6
as,b5,S3,3.0,0.0017236740628854,3,2,0,5,0.6
as,b5,S3,4.0,0.0022982320838472,3,2,0,5,0.6
as,b5,S3,6.0,0.0034473481257708,3,2,0,5,0.6
