sampler,benchmark,subset,eta_mult,eta_value,seed,classification
as,w5,S2,0.5,0.00067226250800525,0,no_escape
as,w5,S2,0.5,0.00067226250800525,1,no_escape
as,w5,S2,0.5,0.00067226250800525,2,no_escape
as,w5,S2,0.5,0.00067226250800525,3,no_escape
as,w5,S2,0.5,0.00067226250800525,4,no_escape
as,w5,S2,1.0,0.0013445250160105,0,no_escape
as,w5,S2,1.0,0.0013445250160105,1,no_escape
as,w5,S2,1.0,0.0013445250160105,2,no_escape
as,w5,S2,1.0,0.0013445250160105,3,no_escape
as,w5,S2,1.0,0.0013445250160105,4,no_escape
as,w5,S2,1.5,0.00201678752401575,0,no_escape
as,w5,S2,1.5,0.00201678752401575,1,no_escape
as,w5,S2,1.5,0.00201678752401575,2,no_escape
as,w5,S2,1.5,0.00201678752401575,3,no_escape
as,w5,S2,1.5,0.00201678752401575,4,no_escape
as,w5,S2,2.0,0.002689050032021,0,no_escape
as,w5,S2,2.0,0.002689050032021,1,no_escape
as,w5,S2,2.0,0.002689050032021,2,no_escape
as,w5,S2,2.0,0.002689050032021,3,no_escape
as,w5,S2,2.0,0.002689050032021,4,no_escape
as,w5,S2,2.5,0.0033613125400262503,0,no_escape
as,w5,S2,2.5,0.0033613125400262503,1,no_escape
as,w5,S2,2.5,0.0033613125400262503,2,no_escape
as,w5,S2,2.5,0.0033613125400262503,3,no_escape
as,w5,S2,2.5,0.0033613125400262503,4,no_escape
as,w5,S2,3.0,0.0040335750480315,0,no_escape
as,w5,S2,3.0,0.0040335750480315,1,no_escape
as,w5,S2,3.0,0.0040335750480315,2,no_escape
as,w5,S2,3.0,0.0040335750480315,3,no_escape
as,w5,S2,3.0,0.0040335750480315,4,no_escape
as,w5,S2,4.0,0.005378100064042,0,no_escape
as,w5,S2,4.0,0.005378100064042,1,no_escape
as,w5,S2,4.0,0.005378100064042,2,no_escape
as,w5,S2,4.0,0.005378100064042,3,no_escape
as,w5,S2,4.0,0.005378100064042,4,no_escape
as,w5,S2,6.0,0.008067150096063,0,no_escape
as,w5,S2,6.0,0.008067150096063,1,no_escape
as,w5,S2,6.0,0.008067150096063,2,no_escape
as,w5,S2,6.0,0.008067150096063,3,no_escape
as,w5,S2,6.0,0.008067150096063,4,no_escape
as,c5,S2,0.5,0.0006690626711298,0,no_escape
as,c5,S2,0.5,0.0006690626711298,1,no_escape
as,c5,S2,0.5,0.0006690626711298,2,no_escape
as,c5,S2,0.5,0.0006690626711298,3,no_escape
as,c5,S2,0.5,0.0006690626711298,4,no_escape
as,c5,S2,1.0,0.0013381253422596,0,no_escape
as,c5,S2,1.0,0.0013381253422596,1,no_escape
as,c5,S2,1.0,0.0013381253422596,2,no_escape
