epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.425612,,,,,,,start
1,train,0.472636,,,,,,,
2,train,0.388544,,,,,,,
3,train,0.424809,,,,,,,
4,train,0.447007,,,,,,,
5,train,0.440732,,,,,,,
6,train,0.419025,,,,,,,
7,train,0.368852,,,,,,,
8,train,0.485519,,,,,,,
9,train,0.420202,,,,,,,
10,train,0.454363,,,,,,,
11,train,0.463044,,,,,,,
12,train,0.432344,,,,,,,
13,train,0.503729,,,,,,,
14,train,0.444042,,,,,,,
15,train,0.466790,,,,,,,
16,train,0.414759,,,,,,,
17,train,0.441732,,,,,,,
18,train,0.334183,,,,,,,
19,train,0.360391,,,,,,,
19,eval,,0.4012,0.2430,0.3558,0.0000,0.0000,0.2012,
20,train,0.450944,,,,,,,
21,train,0.448566,,,,,,,
22,train,0.451536,,,,,,,
23,train,0.472156,,,,,,,
24,train,0.458246,,,,,,,
25,train,0.492800,,,,,,,
26,train,0.418214,,,,,,,
27,train,0.497575,,,,,,,
28,train,0.468114,,,,,,,
29,train,0.418100,,,,,,,
30,train,0.396211,,,,,,,
31,train,0.396798,,,,,,,
32,train,0.479880,,,,,,,
33,train,0.489518,,,,,,,
34,train,0.409851,,,,,,,
35,train,0.443569,,,,,,,
36,train,0.450806,,,,,,,
37,train,0.424843,,,,,,,
38,train,0.367316,,,,,,,
39,train,0.387107,,,,,,,
39,eval,,0.4003,0.2398,0.3599,0.0000,0.0000,0.2003,
39,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_b5_S0123_noise001_seed2/epoch_40.pt
40,train,0.433878,,,,,,,
41,train,0.415285,,,,,,,
42,train,0.454587,,,,,,,
43,train,0.461558,,,,,,,
44,train,0.477895,,,,,,,
45,train,0.352217,,,,,,,
46,train,0.371955,,,,,,,
47,train,0.425218,,,,,,,
48,train,0.413529,,,,,,,
49,train,0.371241,,,,,,,
50,train,0.475584,,,,,,,
51,train,0.451629,,,,,,,
