epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.509106,,,,,,,start
1,train,0.620277,,,,,,,
2,train,0.472509,,,,,,,
3,train,0.507640,,,,,,,
4,train,0.402305,,,,,,,
5,train,0.531761,,,,,,,
6,train,0.445034,,,,,,,
7,train,0.509251,,,,,,,
8,train,0.629468,,,,,,,
9,train,0.504342,,,,,,,
10,train,0.506090,,,,,,,
11,train,0.491443,,,,,,,
12,train,0.557174,,,,,,,
13,train,0.591071,,,,,,,
14,train,0.634303,,,,,,,
15,train,0.546976,,,,,,,
16,train,0.467348,,,,,,,
17,train,0.523686,,,,,,,
18,train,0.533566,,,,,,,
19,train,0.542589,,,,,,,
19,eval,,0.0959,0.4781,0.4260,0.0000,0.0000,0.2781,
20,train,0.603584,,,,,,,
21,train,0.590942,,,,,,,
22,train,0.678843,,,,,,,
23,train,0.598441,,,,,,,
24,train,0.592788,,,,,,,
25,train,0.580876,,,,,,,
26,train,0.559941,,,,,,,
27,train,0.646918,,,,,,,
28,train,0.702971,,,,,,,
29,train,0.569642,,,,,,,
30,train,0.606056,,,,,,,
31,train,0.676173,,,,,,,
32,train,0.632345,,,,,,,
33,train,0.581117,,,,,,,
34,train,0.590123,,,,,,,
35,train,0.616653,,,,,,,
36,train,0.575755,,,,,,,
37,train,0.697832,,,,,,,
38,train,0.657382,,,,,,,
39,train,0.582274,,,,,,,
39,eval,,0.2114,0.3797,0.4089,0.0000,0.0000,0.2089,
39,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_b5_S1234_stability_seed3/epoch_40.pt
40,train,0.635678,,,,,,,
41,train,0.591917,,,,,,,
42,train,0.542034,,,,,,,
43,train,0.559987,,,,,,,
44,train,0.559232,,,,,,,
45,train,0.568084,,,,,,,
46,train,0.523253,,,,,,,
47,train,0.514312,,,,,,,
48,train,0.544752,,,,,,,
49,train,0.562909,,,,,,,
50,train,0.518186,,,,,,,
51,train,0.543571,,,,,,,
52,train,0.541431,,,,,,,
53,train,0.580231,,,,,,,
54,train,0.456903,,,,,,,
55,train,0.564690,,,,,,,
56,train,0.497003,,,,,,,
57,train,0.435310,,,,,,,
58,train,0.485571,,,,,,,
59,train,0.506853,,,,,,,
59,eval,,0.2967,0.3064,0.3969,0.0000,0.0000,0.2000,
60,train,0.518896,,,,,,,
61,train,0.526257,,,,,,,
62,train,0.514676,,,,,,,
63,train,0.549130,,,,,,,
64,train,0.574220,,,,,,,
65,train,0.518858,,,,,,,
66,train,0.526768,,,,,,,
67,train,0.548610,,,,,,,
68,train,0.531933,,,,,,,
69,train,0.464740,,,,,,,
70,train,0.402478,,,,,,,
71,train,0.470394,,,,,,,
72,train,0.411296,,,,,,,
73,train,0.466050,,,,,,,
74,train,0.537357,,,,,,,
75,train,0.536084,,,,,,,
76,train,0.421814,,,,,,,
77,train,0.484059,,,,,,,
78,train,0.526139,,,,,,,
79,train,0.459481,,,,,,,
79,eval,,0.2822,0.2995,0.4183,0.0000,0.0000,0.2183,
79,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_b5_S1234_stability_seed3/epoch_80.pt
80,train,0.439464,,,,,,,
81,train,0.531204,,,,,,,
82,train,0.469121,,,,,,,
83,train,0.467396,,,,,,,
84,train,0.438939,,,,,,,
85,train,0.469833,,,,,,,
86,train,0.467298,,,,,,,
87,train,0.451855,,,,,,,
88,train,0.485545,,,,,,,
89,train,0.412091,,,,,,,
90,train,0.470308,,,,,,,
91,train,0.477343,,,,,,,
92,train,0.465122,,,,,,,
93,train,0.469729,,,,,,,
94,train,0.473767,,,,,,,
95,train,0.497903,,,,,,,
96,train,0.449312,,,,,,,
97,train,0.489007,,,,,,,
98,train,0.481670,,,,,,,
99,train,0.448911,,,,,,,
99,eval,,0.3020,0.2812,0.4168,0.0000,0.0000,0.2168,
100,train,0.372804,,,,,,,
101,train,0.414944,,,,,,,
102,train,0.467672,,,,,,,
103,train,0.410188,,,,,,,
104,train,0.486370,,,,,,,
105,train,0.441937,,,,,,,
106,train,0.472281,,,,,,,
107,train,0.509789,,,,,,,
108,train,0.518483,,,,,,,
109,train,0.491072,,,,,,,
110,train,0.495801,,,,,,,
111,train,0.463409,,,,,,,
112,train,0.454578,,,,,,,
113,train,0.473860,,,,,,,
114,train,0.528898,,,,,,,
115,train,0.413505,,,,,,,
116,train,0.452435,,,,,,,
117,train,0.426582,,,,,,,
118,train,0.495578,,,,,,,
119,train,0.373727,,,,,,,
119,eval,,0.3126,0.2729,0.4145,0.0000,0.0000,0.2145,
119,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_b5_S1234_stability_seed3/epoch_120.pt
120,train,0.486188,,,,,,,
121,train,0.417641,,,,,,,
122,train,0.418444,,,,,,,
123,train,0.479435,,,,,,,
124,train,0.496908,,,,,,,
125,train,0.401530,,,,,,,
126,train,0.462775,,,,,,,
127,train,0.479004,,,,,,,
128,train,0.463918,,,,,,,
129,train,0.448399,,,,,,,
130,train,0.456868,,,,,,,
131,train,0.411346,,,,,,,
132,train,0.467266,,,,,,,
133,train,0.431966,,,,,,,
134,train,0.391038,,,,,,,
135,train,0.472443,,,,,,,
136,train,0.459381,,,,,,,
137,train,0.463954,,,,,,,
138,train,0.485047,,,,,,,
139,train,0.472084,,,,,,,
139,eval,,0.3243,0.2748,0.4009,0.0000,0.0000,0.2009,
140,train,0.470152,,,,,,,
141,train,0.451691,,,,,,,
142,train,0.480683,,,,,,,
143,train,0.545314,,,,,,,
144,train,0.429690,,,,,,,
145,train,0.527634,,,,,,,
146,train,0.586878,,,,,,,
147,train,0.525926,,,,,,,
148,train,0.435165,,,,,,,
149,train,0.461329,,,,,,,
150,train,0.446663,,,,,,,
151,train,0.459737,,,,,,,
152,train,0.484088,,,,,,,
153,train,0.453623,,,,,,,
154,train,0.439088,,,,,,,
155,train,0.428891,,,,,,,
156,train,0.411906,,,,,,,
157,train,0.379641,,,,,,,
158,train,0.488354,,,,,,,
159,train,0.457282,,,,,,,
159,eval,,0.3469,0.2686,0.3845,0.0000,0.0000,0.2000,
159,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_b5_S1234_stability_seed3/epoch_160.pt
160,train,0.393398,,,,,,,
161,train,0.457124,,,,,,,
162,train,0.438446,,,,,,,
163,train,0.416653,,,,,,,
164,train,0.422875,,,,,,,
165,train,0.469131,,,,,,,
166,train,0.392481,,,,,,,
167,train,0.424880,,,,,,,
168,train,0.455779,,,,,,,
169,train,0.487021,,,,,,,
170,train,0.439134,,,,,,,
171,train,0.474038,,,,,,,
172,train,0.494726,,,,,,,
173,train,0.493384,,,,,,,
174,train,0.493873,,,,,,,
175,train,0.412765,,,,,,,
176,train,0.458323,,,,,,,
177,train,0.486392,,,,,,,
178,train,0.406855,,,,,,,
179,train,0.455408,,,,,,,
179,eval,,0.3602,0.2650,0.3748,0.0000,0.0000,0.2000,
180,train,0.449804,,,,,,,
181,train,0.469645,,,,,,,
182,train,0.463415,,,,,,,
183,train,0.484850,,,,,,,
184,train,0.481049,,,,,,,
185,train,0.534530,,,,,,,
186,train,0.402450,,,,,,,
187,train,0.530866,,,,,,,
188,train,0.414112,,,,,,,
189,train,0.407065,,,,,,,
190,train,0.469675,,,,,,,
191,train,0.409382,,,,,,,
192,train,0.467140,,,,,,,
193,train,0.552447,,,,,,,
194,train,0.416271,,,,,,,
195,train,0.479762,,,,,,,
196,train,0.476730,,,,,,,
197,train,0.463790,,,,,,,
198,train,0.441642,,,,,,,
199,train,0.468448,,,,,,,
199,eval,,0.3649,0.2639,0.3712,0.0000,0.0000,0.2000,
199,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_b5_S1234_stability_seed3/epoch_200.pt
