epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,23.422085,,,,,,,start
1,train,22.436169,,,,,,,
2,train,22.942751,,,,,,,
3,train,22.892231,,,,,,,
4,train,21.157959,,,,,,,
5,train,20.858887,,,,,,,
6,train,23.811031,,,,,,,
7,train,21.015768,,,,,,,
8,train,22.536686,,,,,,,
9,train,24.931042,,,,,,,
10,train,22.434612,,,,,,,
11,train,21.239132,,,,,,,
12,train,21.405575,,,,,,,
13,train,21.697247,,,,,,,
14,train,22.671181,,,,,,,
15,train,21.557487,,,,,,,
16,train,22.252201,,,,,,,
17,train,20.001759,,,,,,,
18,train,21.397629,,,,,,,
19,train,20.967333,,,,,,,
20,train,20.594063,,,,,,,
21,train,19.268112,,,,,,,
22,train,20.781006,,,,,,,
23,train,20.761801,,,,,,,
24,train,22.092888,,,,,,,
25,train,20.638737,,,,,,,
26,train,21.087729,,,,,,,
27,train,19.698341,,,,,,,
28,train,20.160250,,,,,,,
29,train,19.434948,,,,,,,
30,train,17.756886,,,,,,,
31,train,19.540499,,,,,,,
32,train,19.282206,,,,,,,
33,train,17.900612,,,,,,,
34,train,17.246597,,,,,,,
35,train,17.844091,,,,,,,
36,train,18.563248,,,,,,,
37,train,17.514629,,,,,,,
38,train,15.634700,,,,,,,
39,train,16.775127,,,,,,,
40,train,16.760468,,,,,,,
41,train,14.821245,,,,,,,
42,train,15.357953,,,,,,,
43,train,16.974348,,,,,,,
44,train,15.845912,,,,,,,
45,train,15.634562,,,,,,,
46,train,16.914055,,,,,,,
47,train,14.853168,,,,,,,
48,train,15.163454,,,,,,,
49,train,14.007166,,,,,,,
50,train,14.860847,,,,,,,
51,train,14.001749,,,,,,,
52,train,13.815597,,,,,,,
53,train,13.769245,,,,,,,
54,train,13.219117,,,,,,,
55,train,12.297035,,,,,,,
56,train,11.196658,,,,,,,
57,train,12.575630,,,,,,,
58,train,11.719481,,,,,,,
59,train,11.455139,,,,,,,
60,train,12.917068,,,,,,,
61,train,11.021749,,,,,,,
62,train,10.919217,,,,,,,
63,train,9.797304,,,,,,,
64,train,10.349380,,,,,,,
65,train,10.591363,,,,,,,
66,train,10.119470,,,,,,,
67,train,10.140573,,,,,,,
68,train,8.810086,,,,,,,
69,train,10.120535,,,,,,,
70,train,8.461606,,,,,,,
71,train,8.365189,,,,,,,
72,train,7.932803,,,,,,,
73,train,8.010027,,,,,,,
74,train,8.156888,,,,,,,
75,train,7.337876,,,,,,,
76,train,8.797010,,,,,,,
77,train,6.406875,,,,,,,
78,train,6.798130,,,,,,,
