epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,70.320847,,,,,,,start
1,train,72.796402,,,,,,,
2,train,71.422058,,,,,,,
3,train,89.891693,,,,,,,
4,train,70.261482,,,,,,,
5,train,78.459793,,,,,,,
6,train,59.716019,,,,,,,
7,train,60.694321,,,,,,,
8,train,68.586884,,,,,,,
9,train,80.447487,,,,,,,
10,train,76.865631,,,,,,,
11,train,63.276596,,,,,,,
12,train,65.895996,,,,,,,
13,train,65.264793,,,,,,,
14,train,59.492985,,,,,,,
15,train,68.948509,,,,,,,
16,train,100.166405,,,,,,,
17,train,54.205925,,,,,,,
18,train,73.257309,,,,,,,
19,train,51.692696,,,,,,,
20,train,70.062943,,,,,,,
21,train,64.581436,,,,,,,
22,train,54.486565,,,,,,,
23,train,63.488865,,,,,,,
24,train,65.715424,,,,,,,
25,train,65.588608,,,,,,,
26,train,55.804344,,,,,,,
27,train,84.415451,,,,,,,
28,train,72.789352,,,,,,,
29,train,55.548435,,,,,,,
30,train,59.721184,,,,,,,
31,train,53.983421,,,,,,,
32,train,60.462379,,,,,,,
33,train,58.159817,,,,,,,
34,train,57.124001,,,,,,,
35,train,77.346161,,,,,,,
36,train,53.622204,,,,,,,
37,train,63.365311,,,,,,,
38,train,52.724987,,,,,,,
39,train,60.090050,,,,,,,
40,train,60.423195,,,,,,,
41,train,66.454941,,,,,,,
42,train,47.312637,,,,,,,
43,train,46.796413,,,,,,,
44,train,53.037926,,,,,,,
45,train,47.578308,,,,,,,
46,train,63.510944,,,,,,,
47,train,51.501564,,,,,,,
48,train,48.104061,,,,,,,
49,train,53.369583,,,,,,,
50,train,49.022987,,,,,,,
51,train,48.273052,,,,,,,
52,train,41.660053,,,,,,,
53,train,42.255745,,,,,,,
54,train,43.903244,,,,,,,
55,train,50.064796,,,,,,,
56,train,47.636032,,,,,,,
57,train,37.831139,,,,,,,
58,train,37.432644,,,,,,,
59,train,41.058666,,,,,,,
60,train,38.896614,,,,,,,
61,train,43.633598,,,,,,,
62,train,36.931686,,,,,,,
63,train,37.247711,,,,,,,
64,train,36.294941,,,,,,,
65,train,34.310837,,,,,,,
66,train,35.723816,,,,,,,
67,train,33.794559,,,,,,,
68,train,32.771126,,,,,,,
69,train,32.441605,,,,,,,
70,train,30.317898,,,,,,,
71,train,31.636475,,,,,,,
72,train,29.775097,,,,,,,
73,train,27.667437,,,,,,,
74,train,29.423786,,,,,,,
75,train,29.301348,,,,,,,
76,train,27.052626,,,,,,,
77,train,24.003887,,,,,,,
78,train,27.063395,,,,,,,
79,train,29.310848,,,,,,,
80,train,25.947742,,,,,,,
81,train,26.301428,,,,,,,
82,train,30.676874,,,,,,,
83,train,29.953854,,,,,,,
84,train,27.229885,,,,,,,
85,train,28.043531,,,,,,,
86,train,26.672283,,,,,,,
87,train,24.586210,,,,,,,
88,train,21.055267,,,,,,,
89,train,26.239868,,,,,,,
90,train,23.679646,,,,,,,
91,train,24.077099,,,,,,,
92,train,22.758644,,,,,,,
93,train,21.946980,,,,,,,
94,train,23.231236,,,,,,,
95,train,19.973122,,,,,,,
96,train,21.760212,,,,,,,
97,train,21.589933,,,,,,,
98,train,17.932190,,,,,,,
99,train,18.932127,,,,,,,
100,train,17.187046,,,,,,,
101,train,17.241014,,,,,,,
102,train,16.963762,,,,,,,
103,train,15.605362,,,,,,,
104,train,16.401684,,,,,,,
105,train,18.140285,,,,,,,
106,train,17.282009,,,,,,,
107,train,15.907180,,,,,,,
108,train,17.361387,,,,,,,
109,train,15.774187,,,,,,,
110,train,14.391108,,,,,,,
111,train,14.556252,,,,,,,
112,train,13.842579,,,,,,,
113,train,14.217653,,,,,,,
114,train,16.536488,,,,,,,
115,train,13.851418,,,,,,,
116,train,13.961891,,,,,,,
117,train,11.687940,,,,,,,
118,train,13.134197,,,,,,,
119,train,9.827347,,,,,,,
120,train,12.734005,,,,,,,
121,train,10.203745,,,,,,,
122,train,9.722885,,,,,,,
123,train,10.088633,,,,,,,
124,train,8.115672,,,,,,,
125,train,9.488064,,,,,,,
126,train,9.102833,,,,,,,
127,train,8.933489,,,,,,,
128,train,7.492754,,,,,,,
129,train,7.019762,,,,,,,
130,train,7.351827,,,,,,,
131,train,7.467984,,,,,,,
132,train,6.510281,,,,,,,
133,train,7.159501,,,,,,,
134,train,6.530690,,,,,,,
135,train,6.597807,,,,,,,
136,train,6.426444,,,,,,,
137,train,7.141708,,,,,,,
138,train,5.645110,,,,,,,
139,train,5.239529,,,,,,,
140,train,5.202828,,,,,,,
141,train,5.717364,,,,,,,
142,train,5.089933,,,,,,,
143,train,4.226934,,,,,,,
144,train,3.632015,,,,,,,
145,train,3.577454,,,,,,,
146,train,3.996023,,,,,,,
147,train,3.185564,,,,,,,
148,train,5.009186,,,,,,,
149,train,3.396084,,,,,,,
150,train,3.242652,,,,,,,
151,train,2.920352,,,,,,,
152,train,3.583889,,,,,,,
153,train,4.355921,,,,,,,
154,train,2.122023,,,,,,,
155,train,2.228599,,,,,,,
156,train,2.814261,,,,,,,
157,train,3.302926,,,,,,,
158,train,2.202588,,,,,,,
159,train,2.208571,,,,,,,
160,train,2.264222,,,,,,,
161,train,2.266583,,,,,,,
162,train,2.160011,,,,,,,
163,train,2.590296,,,,,,,
164,train,2.315260,,,,,,,
165,train,2.549535,,,,,,,
166,train,1.882243,,,,,,,
167,train,2.448270,,,,,,,
168,train,1.707155,,,,,,,
169,train,1.841206,,,,,,,
170,train,1.988095,,,,,,,
171,train,1.698984,,,,,,,
172,train,2.189620,,,,,,,
173,train,1.669958,,,,,,,
174,train,1.745205,,,,,,,
175,train,1.374210,,,,,,,
176,train,1.855935,,,,,,,
177,train,1.500168,,,,,,,
178,train,1.302283,,,,,,,
179,train,1.354093,,,,,,,
180,train,1.252176,,,,,,,
181,train,1.289728,,,,,,,
182,train,1.400050,,,,,,,
183,train,1.296873,,,,,,,
184,train,1.324995,,,,,,,
185,train,1.173689,,,,,,,
186,train,1.261052,,,,,,,
187,train,1.298586,,,,,,,
188,train,1.126470,,,,,,,
189,train,1.578182,,,,,,,
190,train,1.166783,,,,,,,
191,train,1.206493,,,,,,,
192,train,0.937858,,,,,,,
193,train,1.146950,,,,,,,
194,train,1.100331,,,,,,,
195,train,0.875478,,,,,,,
196,train,1.052101,,,,,,,
197,train,1.030922,,,,,,,
198,train,1.004403,,,,,,,
199,train,0.953068,,,,,,,
200,train,1.055168,,,,,,,
201,train,0.944034,,,,,,,
202,train,1.051738,,,,,,,
203,train,1.031693,,,,,,,
204,train,0.911764,,,,,,,
205,train,0.924029,,,,,,,
206,train,0.763455,,,,,,,
207,train,0.874571,,,,,,,
208,train,0.849016,,,,,,,
209,train,1.032493,,,,,,,
210,train,1.259778,,,,,,,
211,train,1.112555,,,,,,,
212,train,0.902002,,,,,,,
213,train,0.896416,,,,,,,
214,train,0.780907,,,,,,,
215,train,0.882085,,,,,,,
216,train,0.863880,,,,,,,
217,train,0.989903,,,,,,,
218,train,0.946341,,,,,,,
219,train,0.859859,,,,,,,
220,train,1.163662,,,,,,,
221,train,0.816287,,,,,,,
222,train,0.743334,,,,,,,
223,train,0.828271,,,,,,,
224,train,0.991329,,,,,,,
225,train,0.960735,,,,,,,
226,train,0.687532,,,,,,,
227,train,0.798012,,,,,,,
228,train,0.798872,,,,,,,
229,train,1.174841,,,,,,,
230,train,1.072489,,,,,,,
231,train,0.753612,,,,,,,
232,train,0.833680,,,,,,,
233,train,0.786507,,,,,,,
234,train,1.127752,,,,,,,
235,train,0.786398,,,,,,,
236,train,0.787507,,,,,,,
237,train,0.759915,,,,,,,
238,train,0.882193,,,,,,,
239,train,0.771092,,,,,,,
240,train,0.834886,,,,,,,
241,train,0.770360,,,,,,,
242,train,1.193117,,,,,,,
243,train,0.774605,,,,,,,
244,train,0.884934,,,,,,,
245,train,0.719217,,,,,,,
246,train,0.774170,,,,,,,
247,train,1.065598,,,,,,,
248,train,0.688570,,,,,,,
249,train,0.809727,,,,,,,
250,train,1.153829,,,,,,,
251,train,0.653774,,,,,,,
252,train,1.002627,,,,,,,
253,train,0.707666,,,,,,,
254,train,1.118425,,,,,,,
255,train,0.768166,,,,,,,
256,train,0.805277,,,,,,,
257,train,0.750755,,,,,,,
258,train,0.741413,,,,,,,
259,train,1.159300,,,,,,,
260,train,0.850431,,,,,,,
261,train,0.814886,,,,,,,
262,train,0.696680,,,,,,,
263,train,1.048545,,,,,,,
264,train,0.730434,,,,,,,
265,train,1.130147,,,,,,,
266,train,0.743470,,,,,,,
267,train,0.647973,,,,,,,
268,train,0.794965,,,,,,,
269,train,0.859702,,,,,,,
270,train,0.629659,,,,,,,
271,train,0.666635,,,,,,,
272,train,0.737121,,,,,,,
273,train,0.628011,,,,,,,
274,train,0.927749,,,,,,,
275,train,0.775373,,,,,,,
276,train,0.679120,,,,,,,
277,train,0.960262,,,,,,,
278,train,0.646440,,,,,,,
279,train,0.785374,,,,,,,
280,train,0.997125,,,,,,,
281,train,0.645568,,,,,,,
282,train,0.583305,,,,,,,
283,train,1.077979,,,,,,,
284,train,0.666303,,,,,,,
285,train,0.943142,,,,,,,
286,train,0.713072,,,,,,,
287,train,0.813824,,,,,,,
288,train,0.771397,,,,,,,
289,train,0.638287,,,,,,,
290,train,0.707896,,,,,,,
291,train,0.750078,,,,,,,
292,train,0.729207,,,,,,,
293,train,0.790621,,,,,,,
294,train,0.531024,,,,,,,
295,train,0.605535,,,,,,,
296,train,0.668454,,,,,,,
297,train,0.762326,,,,,,,
298,train,0.687870,,,,,,,
