epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,78337568.000000,,,,,,,start
1,train,27499300.000000,,,,,,,
2,train,10907841.000000,,,,,,,
3,train,3239345.500000,,,,,,,
4,train,1304554.750000,,,,,,,
5,train,398934.000000,,,,,,,
6,train,154693.750000,,,,,,,
7,train,65677.367188,,,,,,,
8,train,20019.066406,,,,,,,
9,train,8593.082031,,,,,,,
10,train,2962.028809,,,,,,,
11,train,1143.441406,,,,,,,
12,train,455.723572,,,,,,,
13,train,181.634491,,,,,,,
14,train,94.615616,,,,,,,
15,train,44.109108,,,,,,,
16,train,21.284256,,,,,,,
17,train,12.363843,,,,,,,
18,train,7.131244,,,,,,,
19,train,3.926595,,,,,,,
19,eval,,0.4691,0.0024,0.5240,0.0011,0.0034,0.3240,
20,train,3.044072,,,,,,,
21,train,3.614959,,,,,,,
22,train,3.821958,,,,,,,
23,train,4.227822,,,,,,,
24,train,4.338798,,,,,,,
25,train,4.401221,,,,,,,
26,train,3.658978,,,,,,,
27,train,4.658875,,,,,,,
28,train,2.641806,,,,,,,
29,train,2.532673,,,,,,,
30,train,1.878300,,,,,,,
31,train,1.410892,,,,,,,
32,train,2.122091,,,,,,,
33,train,1.605784,,,,,,,
34,train,1.615002,,,,,,,
35,train,1.586637,,,,,,,
36,train,1.609749,,,,,,,
37,train,1.405557,,,,,,,
38,train,1.101561,,,,,,,
39,train,1.266381,,,,,,,
39,eval,,0.4632,0.0008,0.5356,0.0000,0.0004,0.3356,
39,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_c5_S024_noise01_seed1/epoch_40.pt
40,train,0.970214,,,,,,,
41,train,1.413045,,,,,,,
42,train,1.423787,,,,,,,
43,train,1.089845,,,,,,,
44,train,1.066447,,,,,,,
45,train,1.157606,,,,,,,
46,train,0.954203,,,,,,,
47,train,0.851238,,,,,,,
48,train,0.985205,,,,,,,
49,train,0.788719,,,,,,,
50,train,0.735834,,,,,,,
51,train,1.073151,,,,,,,
52,train,1.214189,,,,,,,
53,train,0.729762,,,,,,,
54,train,1.007692,,,,,,,
55,train,0.881114,,,,,,,
56,train,0.692299,,,,,,,
57,train,0.809162,,,,,,,
58,train,0.832119,,,,,,,
59,train,0.782293,,,,,,,
59,eval,,0.4890,0.0010,0.5097,0.0000,0.0003,0.3097,
60,train,1.044620,,,,,,,
61,train,0.873002,,,,,,,
62,train,0.853216,,,,,,,
63,train,0.694057,,,,,,,
64,train,0.751428,,,,,,,
65,train,0.683600,,,,,,,
66,train,0.636560,,,,,,,
67,train,0.784861,,,,,,,
68,train,0.639648,,,,,,,
69,train,1.079969,,,,,,,
70,train,0.773368,,,,,,,
71,train,0.655701,,,,,,,
72,train,0.940439,,,,,,,
73,train,0.752513,,,,,,,
74,train,0.587428,,,,,,,
75,train,0.665964,,,,,,,
76,train,0.536969,,,,,,,
77,train,0.822036,,,,,,,
78,train,0.642179,,,,,,,
79,train,0.677263,,,,,,,
79,eval,,0.5074,0.0010,0.4915,0.0000,0.0001,0.3074,
79,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_c5_S024_noise01_seed1/epoch_80.pt
80,train,0.788245,,,,,,,
81,train,0.783389,,,,,,,
82,train,0.783156,,,,,,,
83,train,0.491228,,,,,,,
84,train,0.760220,,,,,,,
85,train,0.683129,,,,,,,
86,train,0.690780,,,,,,,
87,train,0.997987,,,,,,,
88,train,0.636412,,,,,,,
89,train,0.607981,,,,,,,
90,train,0.737606,,,,,,,
91,train,0.493830,,,,,,,
92,train,0.849346,,,,,,,
93,train,0.742633,,,,,,,
94,train,0.454018,,,,,,,
95,train,0.673295,,,,,,,
96,train,1.002395,,,,,,,
97,train,0.442641,,,,,,,
98,train,0.680582,,,,,,,
99,train,0.616126,,,,,,,
99,eval,,0.5131,0.0011,0.4853,0.0002,0.0003,0.3131,
100,train,0.702111,,,,,,,
101,train,0.648484,,,,,,,
102,train,0.470199,,,,,,,
103,train,1.132655,,,,,,,
104,train,0.622551,,,,,,,
105,train,0.622060,,,,,,,
106,train,0.793239,,,,,,,
107,train,0.567671,,,,,,,
108,train,0.786075,,,,,,,
109,train,0.415814,,,,,,,
110,train,0.500965,,,,,,,
111,train,0.478939,,,,,,,
112,train,0.671693,,,,,,,
113,train,0.558794,,,,,,,
114,train,0.532943,,,,,,,
115,train,0.899642,,,,,,,
116,train,0.652779,,,,,,,
117,train,0.632987,,,,,,,
118,train,1.003612,,,,,,,
119,train,0.584237,,,,,,,
119,eval,,0.4931,0.0012,0.5049,0.0003,0.0005,0.3049,
119,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_c5_S024_noise01_seed1/epoch_120.pt
120,train,0.514084,,,,,,,
121,train,0.587892,,,,,,,
122,train,0.719818,,,,,,,
123,train,0.541568,,,,,,,
124,train,0.755236,,,,,,,
125,train,0.475719,,,,,,,
126,train,0.516544,,,,,,,
127,train,0.482042,,,,,,,
128,train,0.487031,,,,,,,
129,train,0.533236,,,,,,,
130,train,0.551558,,,,,,,
131,train,0.441712,,,,,,,
132,train,0.555771,,,,,,,
133,train,0.548060,,,,,,,
134,train,0.754849,,,,,,,
135,train,0.494516,,,,,,,
136,train,0.469538,,,,,,,
137,train,0.403402,,,,,,,
138,train,0.945180,,,,,,,
139,train,0.616326,,,,,,,
139,eval,,0.5069,0.0024,0.4902,0.0000,0.0005,0.3069,
140,train,0.431794,,,,,,,
141,train,0.457897,,,,,,,
142,train,0.706249,,,,,,,
143,train,0.778285,,,,,,,
144,train,0.603923,,,,,,,
145,train,0.560590,,,,,,,
146,train,0.479786,,,,,,,
147,train,0.708259,,,,,,,
148,train,0.713128,,,,,,,
149,train,0.668447,,,,,,,
150,train,0.631753,,,,,,,
151,train,0.393480,,,,,,,
152,train,0.452266,,,,,,,
153,train,0.425106,,,,,,,
154,train,0.617168,,,,,,,
155,train,0.698886,,,,,,,
156,train,0.635238,,,,,,,
157,train,0.507437,,,,,,,
158,train,0.428461,,,,,,,
159,train,1.194574,,,,,,,
159,eval,,0.4806,0.0029,0.5159,0.0000,0.0006,0.3159,
159,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_c5_S024_noise01_seed1/epoch_160.pt
160,train,0.730162,,,,,,,
161,train,0.880979,,,,,,,
162,train,0.419420,,,,,,,
163,train,0.451050,,,,,,,
164,train,0.469030,,,,,,,
165,train,0.419014,,,,,,,
166,train,0.559417,,,,,,,
167,train,0.461672,,,,,,,
168,train,0.446069,,,,,,,
169,train,0.504610,,,,,,,
170,train,0.719814,,,,,,,
171,train,0.614750,,,,,,,
172,train,0.536174,,,,,,,
173,train,0.675252,,,,,,,
174,train,0.679843,,,,,,,
175,train,0.513857,,,,,,,
176,train,0.861205,,,,,,,
177,train,0.548715,,,,,,,
178,train,0.511101,,,,,,,
179,train,0.713667,,,,,,,
179,eval,,0.4871,0.0063,0.5058,0.0006,0.0002,0.3058,
180,train,0.532122,,,,,,,
181,train,0.680977,,,,,,,
182,train,0.886350,,,,,,,
183,train,0.674523,,,,,,,
184,train,0.988510,,,,,,,
185,train,0.932122,,,,,,,
186,train,0.545682,,,,,,,
187,train,0.844346,,,,,,,
188,train,0.640814,,,,,,,
189,train,1.151836,,,,,,,
190,train,1.106611,,,,,,,
191,train,0.845867,,,,,,,
192,train,0.494486,,,,,,,
193,train,0.884888,,,,,,,
194,train,0.782153,,,,,,,
195,train,0.762736,,,,,,,
196,train,0.656222,,,,,,,
197,train,0.965126,,,,,,,
198,train,0.874285,,,,,,,
199,train,0.703848,,,,,,,
199,eval,,0.5338,0.0269,0.4391,0.0000,0.0002,0.3338,
199,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_c5_S024_noise01_seed1/epoch_200.pt
