epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.436205,,,,,,,start
1,train,0.616031,,,,,,,
2,train,0.492280,,,,,,,
3,train,0.505926,,,,,,,
4,train,0.543379,,,,,,,
5,train,0.586580,,,,,,,
6,train,0.610607,,,,,,,
7,train,0.603866,,,,,,,
8,train,0.568147,,,,,,,
9,train,0.539773,,,,,,,
10,train,0.588145,,,,,,,
11,train,0.717555,,,,,,,
12,train,0.770343,,,,,,,
13,train,0.846951,,,,,,,
14,train,0.386172,,,,,,,
15,train,0.660352,,,,,,,
16,train,0.976254,,,,,,,
17,train,0.481354,,,,,,,
18,train,0.499500,,,,,,,
19,train,0.480094,,,,,,,
19,eval,,0.0001,0.3590,0.6408,0.0001,0.0000,0.4408,
20,train,0.563567,,,,,,,
21,train,0.690402,,,,,,,
22,train,0.458464,,,,,,,
23,train,0.524505,,,,,,,
24,train,0.582938,,,,,,,
25,train,0.436110,,,,,,,
26,train,0.367890,,,,,,,
27,train,0.747941,,,,,,,
28,train,0.532634,,,,,,,
29,train,0.379817,,,,,,,
30,train,0.648674,,,,,,,
31,train,0.566353,,,,,,,
32,train,0.518233,,,,,,,
33,train,0.710588,,,,,,,
34,train,0.763196,,,,,,,
35,train,0.518490,,,,,,,
36,train,0.518950,,,,,,,
37,train,0.564587,,,,,,,
38,train,0.374954,,,,,,,
39,train,0.593285,,,,,,,
39,eval,,0.0002,0.3601,0.6397,0.0000,0.0000,0.4397,
39,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_c5_S124_stability_seed2/epoch_40.pt
40,train,0.675873,,,,,,,
41,train,0.632474,,,,,,,
42,train,0.572462,,,,,,,
43,train,0.669475,,,,,,,
44,train,0.487965,,,,,,,
45,train,0.509948,,,,,,,
46,train,0.496451,,,,,,,
47,train,0.457706,,,,,,,
48,train,0.477517,,,,,,,
49,train,0.411480,,,,,,,
50,train,0.539970,,,,,,,
51,train,0.513856,,,,,,,
52,train,0.622316,,,,,,,
53,train,0.599531,,,,,,,
54,train,0.642024,,,,,,,
55,train,0.544926,,,,,,,
56,train,0.596505,,,,,,,
57,train,0.710097,,,,,,,
58,train,0.653555,,,,,,,
59,train,0.475432,,,,,,,
59,eval,,0.0000,0.3662,0.6334,0.0004,0.0000,0.4334,
60,train,0.843258,,,,,,,
61,train,0.635083,,,,,,,
62,train,0.528239,,,,,,,
63,train,0.581405,,,,,,,
64,train,0.676632,,,,,,,
65,train,0.473728,,,,,,,
66,train,0.600439,,,,,,,
67,train,0.611823,,,,,,,
68,train,0.374419,,,,,,,
69,train,0.473603,,,,,,,
70,train,0.421168,,,,,,,
71,train,0.443523,,,,,,,
72,train,0.507530,,,,,,,
73,train,0.484190,,,,,,,
74,train,0.608829,,,,,,,
75,train,0.479201,,,,,,,
76,train,0.597435,,,,,,,
77,train,0.402962,,,,,,,
78,train,0.257850,,,,,,,
79,train,0.384688,,,,,,,
79,eval,,0.0004,0.3539,0.6457,0.0000,0.0000,0.4457,
79,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_c5_S124_stability_seed2/epoch_80.pt
80,train,0.651405,,,,,,,
81,train,0.543218,,,,,,,
82,train,0.488978,,,,,,,
83,train,0.571069,,,,,,,
84,train,0.653257,,,,,,,
85,train,0.588171,,,,,,,
86,train,0.486648,,,,,,,
87,train,0.376591,,,,,,,
88,train,0.536725,,,,,,,
89,train,0.440381,,,,,,,
90,train,0.400744,,,,,,,
91,train,0.566316,,,,,,,
92,train,0.614350,,,,,,,
93,train,0.556157,,,,,,,
94,train,0.416758,,,,,,,
95,train,0.506718,,,,,,,
96,train,0.557916,,,,,,,
97,train,0.414639,,,,,,,
98,train,0.455313,,,,,,,
99,train,0.853764,,,,,,,
99,eval,,0.0000,0.3442,0.6556,0.0001,0.0001,0.4556,
100,train,0.491110,,,,,,,
101,train,0.407519,,,,,,,
102,train,0.667484,,,,,,,
103,train,0.660482,,,,,,,
104,train,0.438516,,,,,,,
105,train,0.401277,,,,,,,
106,train,0.410725,,,,,,,
107,train,0.785683,,,,,,,
108,train,0.440635,,,,,,,
109,train,0.515775,,,,,,,
110,train,0.520048,,,,,,,
111,train,0.520770,,,,,,,
112,train,0.595031,,,,,,,
113,train,0.556884,,,,,,,
114,train,0.670462,,,,,,,
115,train,0.522492,,,,,,,
