epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.985293,,,,,,,start
1,train,0.668357,,,,,,,
2,train,0.626143,,,,,,,
3,train,0.615604,,,,,,,
4,train,0.717734,,,,,,,
5,train,0.546407,,,,,,,
6,train,0.749216,,,,,,,
7,train,0.471785,,,,,,,
8,train,0.469374,,,,,,,
9,train,0.643911,,,,,,,
10,train,0.781909,,,,,,,
11,train,0.546261,,,,,,,
12,train,0.506089,,,,,,,
13,train,0.746127,,,,,,,
14,train,0.413023,,,,,,,
15,train,0.557494,,,,,,,
16,train,0.599248,,,,,,,
17,train,0.677116,,,,,,,
18,train,0.544230,,,,,,,
19,train,0.839860,,,,,,,
19,eval,,0.2973,0.2350,0.4677,0.0000,0.0000,0.3387,
20,train,0.573040,,,,,,,
21,train,0.619584,,,,,,,
22,train,0.427137,,,,,,,
23,train,0.570841,,,,,,,
24,train,0.730762,,,,,,,
25,train,0.759347,,,,,,,
26,train,0.541191,,,,,,,
27,train,0.445538,,,,,,,
28,train,0.581412,,,,,,,
29,train,0.533871,,,,,,,
30,train,0.537615,,,,,,,
31,train,0.614806,,,,,,,
32,train,0.727508,,,,,,,
33,train,0.406286,,,,,,,
34,train,0.601200,,,,,,,
35,train,0.552674,,,,,,,
36,train,0.762494,,,,,,,
37,train,0.586624,,,,,,,
38,train,0.530517,,,,,,,
39,train,0.684053,,,,,,,
39,eval,,0.3030,0.2460,0.4510,0.0000,0.0000,0.3220,
39,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_w5_S012_noise001_seed4/epoch_40.pt
40,train,0.764712,,,,,,,
41,train,0.650447,,,,,,,
42,train,0.628701,,,,,,,
43,train,0.733011,,,,,,,
44,train,0.881481,,,,,,,
45,train,0.619348,,,,,,,
46,train,0.458302,,,,,,,
47,train,0.505851,,,,,,,
48,train,0.601803,,,,,,,
49,train,0.633264,,,,,,,
50,train,0.479423,,,,,,,
51,train,0.561044,,,,,,,
52,train,0.554699,,,,,,,
53,train,0.700589,,,,,,,
54,train,0.627277,,,,,,,
55,train,0.609863,,,,,,,
56,train,0.593407,,,,,,,
57,train,0.547777,,,,,,,
58,train,0.489210,,,,,,,
59,train,0.420671,,,,,,,
59,eval,,0.3302,0.2366,0.4330,0.0002,0.0000,0.3040,
60,train,0.649413,,,,,,,
61,train,0.674614,,,,,,,
62,train,0.545403,,,,,,,
63,train,0.561553,,,,,,,
64,train,0.541528,,,,,,,
65,train,0.904111,,,,,,,
66,train,0.619635,,,,,,,
67,train,0.646958,,,,,,,
68,train,0.466253,,,,,,,
69,train,0.738515,,,,,,,
70,train,0.551326,,,,,,,
71,train,0.601881,,,,,,,
72,train,0.522253,,,,,,,
73,train,1.051233,,,,,,,
74,train,0.652844,,,,,,,
75,train,0.658491,,,,,,,
76,train,0.654575,,,,,,,
77,train,0.709348,,,,,,,
78,train,0.514819,,,,,,,
79,train,0.557832,,,,,,,
79,eval,,0.3165,0.2317,0.4517,0.0000,0.0001,0.3227,
79,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_w5_S012_noise001_seed4/epoch_80.pt
80,train,0.523735,,,,,,,
81,train,0.601721,,,,,,,
82,train,0.874807,,,,,,,
83,train,0.576013,,,,,,,
84,train,0.531866,,,,,,,
85,train,0.611444,,,,,,,
86,train,0.555490,,,,,,,
87,train,0.577737,,,,,,,
88,train,0.536990,,,,,,,
89,train,0.632731,,,,,,,
90,train,0.498018,,,,,,,
91,train,0.490054,,,,,,,
92,train,0.683249,,,,,,,
93,train,0.623061,,,,,,,
94,train,0.607445,,,,,,,
95,train,0.395252,,,,,,,
96,train,0.583678,,,,,,,
97,train,0.506531,,,,,,,
98,train,0.574645,,,,,,,
99,train,0.525333,,,,,,,
99,eval,,0.2949,0.2545,0.4502,0.0003,0.0001,0.3212,
100,train,0.672541,,,,,,,
101,train,0.683412,,,,,,,
102,train,0.502102,,,,,,,
103,train,0.593176,,,,,,,
104,train,0.684460,,,,,,,
105,train,0.520820,,,,,,,
106,train,0.561779,,,,,,,
107,train,0.467460,,,,,,,
108,train,0.588866,,,,,,,
109,train,0.734928,,,,,,,
110,train,0.614019,,,,,,,
111,train,0.813679,,,,,,,
112,train,0.912885,,,,,,,
113,train,0.778021,,,,,,,
114,train,0.415307,,,,,,,
115,train,0.610623,,,,,,,
116,train,0.646981,,,,,,,
117,train,0.581693,,,,,,,
118,train,0.682627,,,,,,,
119,train,0.638815,,,,,,,
119,eval,,0.3064,0.2456,0.4479,0.0001,0.0000,0.3189,
119,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_w5_S012_noise001_seed4/epoch_120.pt
120,train,0.443198,,,,,,,
121,train,0.554586,,,,,,,
122,train,0.419678,,,,,,,
123,train,0.861443,,,,,,,
124,train,0.617219,,,,,,,
125,train,0.886390,,,,,,,
126,train,0.526398,,,,,,,
127,train,0.664573,,,,,,,
128,train,0.840197,,,,,,,
129,train,0.538070,,,,,,,
130,train,0.894607,,,,,,,
131,train,0.479887,,,,,,,
