epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,57.522949,,,,,,,start
1,train,55.980598,,,,,,,
2,train,60.411263,,,,,,,
3,train,58.912109,,,,,,,
4,train,62.069519,,,,,,,
5,train,57.229916,,,,,,,
6,train,55.921028,,,,,,,
7,train,56.020397,,,,,,,
8,train,58.459473,,,,,,,
9,train,57.398438,,,,,,,
10,train,57.739662,,,,,,,
11,train,55.412056,,,,,,,
12,train,59.348236,,,,,,,
13,train,57.014732,,,,,,,
14,train,58.991074,,,,,,,
15,train,56.385284,,,,,,,
16,train,56.021381,,,,,,,
17,train,54.752930,,,,,,,
18,train,53.831451,,,,,,,
19,train,51.929962,,,,,,,
20,train,54.542267,,,,,,,
21,train,54.473656,,,,,,,
22,train,50.580765,,,,,,,
23,train,55.195831,,,,,,,
24,train,50.594044,,,,,,,
25,train,52.942047,,,,,,,
26,train,50.526443,,,,,,,
27,train,53.829567,,,,,,,
28,train,50.089317,,,,,,,
29,train,55.568798,,,,,,,
30,train,49.908813,,,,,,,
31,train,50.263802,,,,,,,
32,train,54.051514,,,,,,,
33,train,51.086334,,,,,,,
34,train,51.915565,,,,,,,
35,train,49.018673,,,,,,,
36,train,49.864147,,,,,,,
37,train,49.981979,,,,,,,
38,train,48.126236,,,,,,,
39,train,46.538788,,,,,,,
40,train,46.570442,,,,,,,
41,train,49.236927,,,,,,,
42,train,45.715851,,,,,,,
43,train,46.206284,,,,,,,
44,train,43.827885,,,,,,,
45,train,47.382713,,,,,,,
46,train,45.642448,,,,,,,
47,train,46.249752,,,,,,,
48,train,42.413635,,,,,,,
49,train,44.463825,,,,,,,
50,train,40.989891,,,,,,,
51,train,41.345169,,,,,,,
52,train,39.403828,,,,,,,
53,train,40.509613,,,,,,,
54,train,38.945221,,,,,,,
55,train,42.134369,,,,,,,
56,train,42.461098,,,,,,,
57,train,38.609375,,,,,,,
58,train,37.933697,,,,,,,
59,train,38.294487,,,,,,,
60,train,38.383354,,,,,,,
61,train,37.351299,,,,,,,
62,train,36.513691,,,,,,,
63,train,37.421726,,,,,,,
64,train,31.882618,,,,,,,
65,train,32.748863,,,,,,,
66,train,34.896194,,,,,,,
67,train,33.817406,,,,,,,
68,train,33.069550,,,,,,,
69,train,32.297935,,,,,,,
70,train,30.540100,,,,,,,
71,train,30.554821,,,,,,,
72,train,29.995977,,,,,,,
73,train,28.248484,,,,,,,
74,train,29.258419,,,,,,,
75,train,28.914263,,,,,,,
76,train,26.659681,,,,,,,
77,train,23.731335,,,,,,,
78,train,27.429070,,,,,,,
79,train,28.618286,,,,,,,
80,train,25.314686,,,,,,,
81,train,26.753061,,,,,,,
82,train,29.796431,,,,,,,
83,train,29.727354,,,,,,,
84,train,27.721260,,,,,,,
85,train,27.585583,,,,,,,
86,train,26.866840,,,,,,,
87,train,24.566149,,,,,,,
88,train,21.375399,,,,,,,
89,train,25.974257,,,,,,,
90,train,23.329479,,,,,,,
91,train,24.055668,,,,,,,
92,train,22.727787,,,,,,,
93,train,21.965340,,,,,,,
94,train,23.080009,,,,,,,
95,train,19.890675,,,,,,,
96,train,21.493866,,,,,,,
97,train,21.400539,,,,,,,
98,train,18.014648,,,,,,,
99,train,17.991886,,,,,,,
100,train,17.244251,,,,,,,
101,train,16.968826,,,,,,,
102,train,17.248543,,,,,,,
103,train,15.802938,,,,,,,
104,train,16.432753,,,,,,,
105,train,17.717726,,,,,,,
106,train,16.882065,,,,,,,
107,train,15.774464,,,,,,,
108,train,16.307106,,,,,,,
109,train,15.515919,,,,,,,
110,train,14.495770,,,,,,,
111,train,14.492797,,,,,,,
112,train,13.568312,,,,,,,
113,train,14.548618,,,,,,,
114,train,15.982800,,,,,,,
115,train,13.760329,,,,,,,
116,train,13.526577,,,,,,,
117,train,11.028192,,,,,,,
118,train,12.484777,,,,,,,
119,train,9.873157,,,,,,,
120,train,11.792274,,,,,,,
121,train,10.861359,,,,,,,
122,train,9.266537,,,,,,,
123,train,9.702863,,,,,,,
124,train,8.457510,,,,,,,
125,train,8.957993,,,,,,,
126,train,8.417736,,,,,,,
127,train,8.458378,,,,,,,
128,train,7.094885,,,,,,,
129,train,7.683814,,,,,,,
130,train,7.170861,,,,,,,
131,train,7.245914,,,,,,,
132,train,6.159300,,,,,,,
133,train,6.840279,,,,,,,
134,train,6.446965,,,,,,,
135,train,6.675752,,,,,,,
136,train,6.819613,,,,,,,
137,train,6.916173,,,,,,,
138,train,5.380612,,,,,,,
139,train,4.495725,,,,,,,
140,train,5.741982,,,,,,,
141,train,5.460896,,,,,,,
142,train,4.602463,,,,,,,
143,train,4.397909,,,,,,,
144,train,4.361166,,,,,,,
145,train,4.217928,,,,,,,
146,train,3.901556,,,,,,,
147,train,3.147548,,,,,,,
148,train,5.327833,,,,,,,
149,train,3.212463,,,,,,,
150,train,3.495427,,,,,,,
151,train,3.171296,,,,,,,
152,train,3.102778,,,,,,,
153,train,3.401834,,,,,,,
154,train,2.528670,,,,,,,
155,train,2.524619,,,,,,,
156,train,2.895237,,,,,,,
157,train,2.627547,,,,,,,
158,train,2.686337,,,,,,,
159,train,2.448577,,,,,,,
160,train,2.901086,,,,,,,
161,train,2.263592,,,,,,,
162,train,2.396625,,,,,,,
163,train,2.827121,,,,,,,
164,train,2.244023,,,,,,,
165,train,2.278838,,,,,,,
166,train,2.138102,,,,,,,
167,train,2.225898,,,,,,,
168,train,1.852322,,,,,,,
169,train,1.695627,,,,,,,
170,train,2.098432,,,,,,,
171,train,1.772754,,,,,,,
172,train,2.187344,,,,,,,
173,train,1.621315,,,,,,,
174,train,1.608039,,,,,,,
175,train,1.520413,,,,,,,
176,train,1.636918,,,,,,,
177,train,1.687589,,,,,,,
178,train,1.735688,,,,,,,
179,train,1.382290,,,,,,,
180,train,1.177696,,,,,,,
181,train,1.520462,,,,,,,
182,train,1.271342,,,,,,,
183,train,1.247250,,,,,,,
184,train,1.516100,,,,,,,
185,train,1.144902,,,,,,,
186,train,1.452039,,,,,,,
187,train,1.430648,,,,,,,
188,train,1.368263,,,,,,,
189,train,1.263789,,,,,,,
190,train,1.151716,,,,,,,
191,train,1.147576,,,,,,,
192,train,0.926918,,,,,,,
193,train,1.198508,,,,,,,
194,train,1.082740,,,,,,,
195,train,0.898842,,,,,,,
196,train,0.934669,,,,,,,
197,train,1.289464,,,,,,,
198,train,0.994621,,,,,,,
199,train,0.894969,,,,,,,
200,train,1.174229,,,,,,,
201,train,0.798200,,,,,,,
202,train,1.142346,,,,,,,
203,train,0.874041,,,,,,,
204,train,0.892932,,,,,,,
205,train,0.881461,,,,,,,
206,train,0.733837,,,,,,,
207,train,0.869523,,,,,,,
208,train,0.843586,,,,,,,
209,train,0.987362,,,,,,,
210,train,0.849460,,,,,,,
211,train,1.260979,,,,,,,
212,train,1.037763,,,,,,,
213,train,1.207220,,,,,,,
214,train,0.772561,,,,,,,
215,train,0.841760,,,,,,,
216,train,0.939286,,,,,,,
217,train,1.037034,,,,,,,
218,train,0.847294,,,,,,,
219,train,0.850827,,,,,,,
220,train,1.284890,,,,,,,
221,train,0.811705,,,,,,,
222,train,0.775939,,,,,,,
223,train,0.792287,,,,,,,
224,train,0.826436,,,,,,,
225,train,1.094534,,,,,,,
226,train,0.897224,,,,,,,
227,train,0.894592,,,,,,,
228,train,0.799691,,,,,,,
229,train,1.108443,,,,,,,
230,train,1.072486,,,,,,,
231,train,0.741326,,,,,,,
232,train,0.892840,,,,,,,
233,train,0.789392,,,,,,,
234,train,0.849450,,,,,,,
235,train,0.714136,,,,,,,
236,train,0.663365,,,,,,,
237,train,0.920305,,,,,,,
238,train,0.749856,,,,,,,
239,train,0.717124,,,,,,,
240,train,0.860064,,,,,,,
241,train,0.767575,,,,,,,
242,train,0.753520,,,,,,,
243,train,0.941568,,,,,,,
244,train,0.700851,,,,,,,
245,train,0.712173,,,,,,,
246,train,0.770644,,,,,,,
247,train,0.813787,,,,,,,
248,train,0.594251,,,,,,,
