epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.630440,,,,,,,start
1,train,0.628991,,,,,,,
2,train,0.585045,,,,,,,
3,train,0.694135,,,,,,,
4,train,0.533728,,,,,,,
5,train,0.652457,,,,,,,
6,train,0.493258,,,,,,,
7,train,0.402406,,,,,,,
8,train,0.828152,,,,,,,
9,train,0.829970,,,,,,,
10,train,0.651919,,,,,,,
11,train,0.524594,,,,,,,
12,train,0.604047,,,,,,,
13,train,0.739581,,,,,,,
14,train,0.463131,,,,,,,
15,train,0.388931,,,,,,,
16,train,0.479042,,,,,,,
17,train,0.576497,,,,,,,
18,train,0.385502,,,,,,,
19,train,0.383485,,,,,,,
19,eval,,0.0005,0.0004,0.4764,0.0017,0.5210,0.5156,
20,train,0.403945,,,,,,,
21,train,0.744228,,,,,,,
22,train,0.412199,,,,,,,
23,train,0.755437,,,,,,,
24,train,0.563093,,,,,,,
25,train,0.678502,,,,,,,
26,train,0.477083,,,,,,,
27,train,0.750797,,,,,,,
28,train,0.478815,,,,,,,
29,train,0.675538,,,,,,,
30,train,0.644274,,,,,,,
31,train,0.714932,,,,,,,
32,train,0.594941,,,,,,,
33,train,0.507165,,,,,,,
34,train,1.020930,,,,,,,
35,train,0.718986,,,,,,,
36,train,0.492481,,,,,,,
37,train,0.530935,,,,,,,
38,train,0.631977,,,,,,,
39,train,0.441087,,,,,,,
39,eval,,0.0002,0.0004,0.4996,0.0019,0.4979,0.5159,
39,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_w5_S24_stability_seed3/epoch_40.pt
40,train,0.506805,,,,,,,
41,train,0.564787,,,,,,,
42,train,0.578751,,,,,,,
43,train,0.618210,,,,,,,
44,train,0.482264,,,,,,,
45,train,0.769606,,,,,,,
46,train,0.590947,,,,,,,
47,train,0.353285,,,,,,,
48,train,0.564753,,,,,,,
49,train,0.787706,,,,,,,
50,train,0.602182,,,,,,,
51,train,0.546437,,,,,,,
52,train,0.676571,,,,,,,
53,train,0.722814,,,,,,,
54,train,0.573246,,,,,,,
55,train,0.637177,,,,,,,
56,train,0.613984,,,,,,,
57,train,0.468017,,,,,,,
58,train,0.793598,,,,,,,
59,train,0.375547,,,,,,,
59,eval,,0.0005,0.0004,0.5178,0.0014,0.4799,0.5156,
60,train,0.403073,,,,,,,
61,train,0.428298,,,,,,,
62,train,0.550399,,,,,,,
63,train,0.981034,,,,,,,
64,train,0.549648,,,,,,,
65,train,0.385568,,,,,,,
66,train,0.690182,,,,,,,
67,train,0.503121,,,,,,,
68,train,0.635366,,,,,,,
69,train,0.921564,,,,,,,
70,train,0.680795,,,,,,,
71,train,0.512500,,,,,,,
72,train,0.345715,,,,,,,
73,train,0.496638,,,,,,,
74,train,0.642833,,,,,,,
75,train,1.338527,,,,,,,
76,train,0.422141,,,,,,,
77,train,0.855246,,,,,,,
78,train,1.047962,,,,,,,
79,train,0.606825,,,,,,,
79,eval,,0.0003,0.0001,0.5322,0.0017,0.4657,0.5158,
79,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_w5_S24_stability_seed3/epoch_80.pt
80,train,0.405913,,,,,,,
81,train,0.639622,,,,,,,
82,train,0.464704,,,,,,,
83,train,0.541572,,,,,,,
84,train,0.754680,,,,,,,
85,train,0.399154,,,,,,,
86,train,0.961761,,,,,,,
87,train,0.885533,,,,,,,
88,train,0.497140,,,,,,,
89,train,0.859942,,,,,,,
90,train,0.554023,,,,,,,
91,train,0.439622,,,,,,,
92,train,0.832899,,,,,,,
93,train,0.576404,,,,,,,
94,train,0.549764,,,,,,,
95,train,0.815763,,,,,,,
96,train,0.801992,,,,,,,
97,train,0.686651,,,,,,,
98,train,0.943335,,,,,,,
99,train,0.558515,,,,,,,
99,eval,,0.0008,0.0004,0.5106,0.0020,0.4862,0.5153,
100,train,0.566777,,,,,,,
101,train,0.721533,,,,,,,
102,train,0.978208,,,,,,,
103,train,0.366553,,,,,,,
104,train,0.662012,,,,,,,
