epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,52.326744,,,,,,,start
1,train,46.693291,,,,,,,
2,train,46.257065,,,,,,,
3,train,44.520863,,,,,,,
4,train,43.345257,,,,,,,
5,train,44.413963,,,,,,,
6,train,47.049683,,,,,,,
7,train,43.509712,,,,,,,
8,train,44.221348,,,,,,,
9,train,48.710152,,,,,,,
10,train,48.617882,,,,,,,
11,train,44.620102,,,,,,,
12,train,41.101948,,,,,,,
13,train,43.238377,,,,,,,
14,train,42.078861,,,,,,,
15,train,40.876839,,,,,,,
16,train,45.587631,,,,,,,
17,train,42.231300,,,,,,,
18,train,43.139519,,,,,,,
19,train,44.966850,,,,,,,
20,train,43.029293,,,,,,,
21,train,38.902115,,,,,,,
22,train,43.015785,,,,,,,
23,train,35.940384,,,,,,,
24,train,39.306713,,,,,,,
25,train,39.759338,,,,,,,
26,train,39.290447,,,,,,,
27,train,36.996223,,,,,,,
28,train,37.847561,,,,,,,
29,train,37.208221,,,,,,,
30,train,38.134609,,,,,,,
31,train,40.701927,,,,,,,
32,train,35.858368,,,,,,,
33,train,36.483147,,,,,,,
34,train,34.666401,,,,,,,
35,train,35.107632,,,,,,,
36,train,33.245956,,,,,,,
37,train,32.118622,,,,,,,
38,train,33.105042,,,,,,,
39,train,36.828838,,,,,,,
40,train,35.209770,,,,,,,
41,train,30.711090,,,,,,,
42,train,31.722569,,,,,,,
43,train,33.740387,,,,,,,
44,train,31.869499,,,,,,,
45,train,27.849838,,,,,,,
46,train,31.122662,,,,,,,
47,train,28.613878,,,,,,,
48,train,30.513039,,,,,,,
49,train,26.465897,,,,,,,
50,train,28.845642,,,,,,,
51,train,27.951599,,,,,,,
52,train,29.246624,,,,,,,
53,train,25.412319,,,,,,,
54,train,27.635086,,,,,,,
55,train,24.343794,,,,,,,
56,train,21.532919,,,,,,,
57,train,23.701202,,,,,,,
58,train,23.345499,,,,,,,
59,train,22.601261,,,,,,,
60,train,24.540306,,,,,,,
61,train,21.468075,,,,,,,
62,train,20.088737,,,,,,,
63,train,20.608765,,,,,,,
64,train,20.740341,,,,,,,
65,train,19.903990,,,,,,,
66,train,18.784540,,,,,,,
67,train,18.383711,,,,,,,
68,train,18.651211,,,,,,,
69,train,20.610958,,,,,,,
70,train,18.004173,,,,,,,
71,train,16.830650,,,,,,,
72,train,15.929282,,,,,,,
73,train,15.052106,,,,,,,
74,train,16.189825,,,,,,,
75,train,14.351149,,,,,,,
76,train,16.842178,,,,,,,
77,train,14.373043,,,,,,,
78,train,13.894145,,,,,,,
79,train,14.433697,,,,,,,
80,train,11.604610,,,,,,,
81,train,13.525438,,,,,,,
82,train,13.896626,,,,,,,
83,train,13.187661,,,,,,,
84,train,11.585913,,,,,,,
85,train,11.055418,,,,,,,
86,train,10.512819,,,,,,,
87,train,9.815372,,,,,,,
88,train,8.103764,,,,,,,
89,train,10.238811,,,,,,,
90,train,9.510771,,,,,,,
91,train,8.454254,,,,,,,
92,train,8.448259,,,,,,,
93,train,7.676885,,,,,,,
94,train,7.111327,,,,,,,
95,train,7.244458,,,,,,,
96,train,7.093524,,,,,,,
97,train,6.967648,,,,,,,
98,train,6.695211,,,,,,,
99,train,6.836930,,,,,,,
100,train,5.976541,,,,,,,
101,train,5.537938,,,,,,,
102,train,5.172301,,,,,,,
103,train,5.349114,,,,,,,
104,train,3.968163,,,,,,,
105,train,4.537830,,,,,,,
106,train,3.974336,,,,,,,
107,train,4.525067,,,,,,,
108,train,3.403138,,,,,,,
109,train,3.483436,,,,,,,
110,train,3.224080,,,,,,,
111,train,2.988852,,,,,,,
112,train,2.564713,,,,,,,
113,train,2.210960,,,,,,,
114,train,2.325325,,,,,,,
115,train,2.258949,,,,,,,
116,train,2.375741,,,,,,,
117,train,2.140180,,,,,,,
118,train,1.991076,,,,,,,
119,train,1.838547,,,,,,,
120,train,1.557979,,,,,,,
121,train,1.378215,,,,,,,
122,train,1.161723,,,,,,,
123,train,1.114193,,,,,,,
124,train,1.145895,,,,,,,
125,train,1.130241,,,,,,,
126,train,1.075938,,,,,,,
127,train,0.879727,,,,,,,
128,train,0.913332,,,,,,,
129,train,1.027396,,,,,,,
130,train,0.880617,,,,,,,
131,train,0.774985,,,,,,,
132,train,0.876451,,,,,,,
133,train,0.742656,,,,,,,
134,train,0.702697,,,,,,,
135,train,0.791817,,,,,,,
136,train,0.708516,,,,,,,
137,train,0.625792,,,,,,,
138,train,0.656038,,,,,,,
139,train,0.716400,,,,,,,
140,train,0.776909,,,,,,,
141,train,0.713513,,,,,,,
142,train,0.664666,,,,,,,
143,train,0.622453,,,,,,,
144,train,0.601797,,,,,,,
145,train,0.604121,,,,,,,
146,train,0.501112,,,,,,,
147,train,0.663612,,,,,,,
148,train,0.643325,,,,,,,
149,train,0.530393,,,,,,,
150,train,0.612847,,,,,,,
151,train,0.530714,,,,,,,
152,train,0.748594,,,,,,,
153,train,0.637054,,,,,,,
154,train,0.565339,,,,,,,
155,train,0.545264,,,,,,,
156,train,0.486072,,,,,,,
157,train,0.534540,,,,,,,
158,train,0.439524,,,,,,,
159,train,0.573007,,,,,,,
160,train,0.624161,,,,,,,
161,train,0.603222,,,,,,,
162,train,0.537741,,,,,,,
163,train,0.653487,,,,,,,
164,train,0.579797,,,,,,,
165,train,0.522513,,,,,,,
166,train,0.468552,,,,,,,
167,train,0.574433,,,,,,,
168,train,0.521193,,,,,,,
169,train,0.460382,,,,,,,
170,train,0.577323,,,,,,,
171,train,0.487366,,,,,,,
172,train,0.469053,,,,,,,
173,train,0.485840,,,,,,,
174,train,0.602145,,,,,,,
175,train,0.477357,,,,,,,
176,train,0.510652,,,,,,,
177,train,0.468351,,,,,,,
178,train,0.478645,,,,,,,
179,train,0.402369,,,,,,,
180,train,0.460031,,,,,,,
181,train,0.568798,,,,,,,
182,train,0.426518,,,,,,,
183,train,0.459194,,,,,,,
184,train,0.514966,,,,,,,
185,train,0.514409,,,,,,,
186,train,0.492309,,,,,,,
187,train,0.415443,,,,,,,
188,train,0.476083,,,,,,,
189,train,0.563467,,,,,,,
190,train,0.555768,,,,,,,
191,train,0.489615,,,,,,,
192,train,0.507249,,,,,,,
193,train,0.551387,,,,,,,
194,train,0.515132,,,,,,,
195,train,0.422999,,,,,,,
196,train,0.518092,,,,,,,
197,train,0.581073,,,,,,,
198,train,0.555560,,,,,,,
199,train,0.420516,,,,,,,
200,train,0.550865,,,,,,,
201,train,0.410942,,,,,,,
202,train,0.595081,,,,,,,
203,train,0.536530,,,,,,,
204,train,0.479326,,,,,,,
205,train,0.477241,,,,,,,
206,train,0.514229,,,,,,,
207,train,0.502145,,,,,,,
208,train,0.463017,,,,,,,
209,train,0.551807,,,,,,,
210,train,0.410928,,,,,,,
211,train,0.487992,,,,,,,
212,train,0.470876,,,,,,,
213,train,0.569035,,,,,,,
214,train,0.431315,,,,,,,
215,train,0.503249,,,,,,,
216,train,0.548754,,,,,,,
217,train,0.508455,,,,,,,
218,train,0.443611,,,,,,,
219,train,0.561884,,,,,,,
220,train,0.526464,,,,,,,
221,train,0.552840,,,,,,,
222,train,0.509411,,,,,,,
223,train,0.385622,,,,,,,
224,train,0.457526,,,,,,,
225,train,0.431227,,,,,,,
226,train,0.493626,,,,,,,
227,train,0.477514,,,,,,,
228,train,0.513333,,,,,,,
229,train,0.555250,,,,,,,
230,train,0.506481,,,,,,,
231,train,0.417113,,,,,,,
232,train,0.470699,,,,,,,
233,train,0.558766,,,,,,,
234,train,0.430393,,,,,,,
235,train,0.492600,,,,,,,
236,train,0.506819,,,,,,,
237,train,0.439506,,,,,,,
238,train,0.539251,,,,,,,
239,train,0.483107,,,,,,,
240,train,0.537078,,,,,,,
241,train,0.508357,,,,,,,
242,train,0.559954,,,,,,,
243,train,0.520154,,,,,,,
244,train,0.429671,,,,,,,
245,train,0.421874,,,,,,,
246,train,0.515349,,,,,,,
247,train,0.521031,,,,,,,
248,train,0.469376,,,,,,,
249,train,0.465310,,,,,,,
250,train,0.437599,,,,,,,
251,train,0.486516,,,,,,,
252,train,0.440330,,,,,,,
253,train,0.469986,,,,,,,
254,train,0.609984,,,,,,,
255,train,0.578798,,,,,,,
256,train,0.486463,,,,,,,
257,train,0.497985,,,,,,,
258,train,0.387662,,,,,,,
259,train,0.468878,,,,,,,
260,train,0.564464,,,,,,,
261,train,0.447297,,,,,,,
262,train,0.453332,,,,,,,
263,train,0.599139,,,,,,,
264,train,0.506502,,,,,,,
265,train,0.528262,,,,,,,
266,train,0.474221,,,,,,,
267,train,0.494496,,,,,,,
268,train,0.438912,,,,,,,
269,train,0.698912,,,,,,,
270,train,0.458772,,,,,,,
271,train,0.521651,,,,,,,
272,train,0.390298,,,,,,,
273,train,0.421028,,,,,,,
274,train,0.607217,,,,,,,
275,train,0.490205,,,,,,,
276,train,0.519289,,,,,,,
277,train,0.587880,,,,,,,
278,train,0.464653,,,,,,,
279,train,0.517277,,,,,,,
280,train,0.605427,,,,,,,
281,train,0.505984,,,,,,,
282,train,0.474541,,,,,,,
283,train,0.527136,,,,,,,
284,train,0.472941,,,,,,,
285,train,0.408592,,,,,,,
286,train,0.426653,,,,,,,
287,train,0.654017,,,,,,,
288,train,0.415788,,,,,,,
289,train,0.536852,,,,,,,
290,train,0.570455,,,,,,,
291,train,0.384520,,,,,,,
292,train,0.515415,,,,,,,
293,train,0.521951,,,,,,,
294,train,0.416084,,,,,,,
295,train,0.466631,,,,,,,
296,train,0.419238,,,,,,,
297,train,0.477018,,,,,,,
298,train,0.562849,,,,,,,
299,train,0.473665,,,,,,,
300,train,0.423405,,,,,,,
301,train,0.463658,,,,,,,
302,train,0.409210,,,,,,,
303,train,0.372708,,,,,,,
304,train,0.540351,,,,,,,
305,train,0.440290,,,,,,,
306,train,0.497897,,,,,,,
307,train,0.418994,,,,,,,
308,train,0.479422,,,,,,,
309,train,0.433949,,,,,,,
310,train,0.421886,,,,,,,
311,train,0.349845,,,,,,,
312,train,0.386868,,,,,,,
313,train,0.547260,,,,,,,
314,train,0.405787,,,,,,,
315,train,0.404598,,,,,,,
316,train,0.596106,,,,,,,
317,train,0.390119,,,,,,,
318,train,0.493912,,,,,,,
319,train,0.354434,,,,,,,
320,train,0.431969,,,,,,,
321,train,0.616853,,,,,,,
322,train,0.290391,,,,,,,
323,train,0.455666,,,,,,,
324,train,0.440126,,,,,,,
325,train,0.397235,,,,,,,
326,train,0.427662,,,,,,,
327,train,0.340898,,,,,,,
328,train,0.504261,,,,,,,
329,train,0.388051,,,,,,,
330,train,0.403336,,,,,,,
331,train,0.454118,,,,,,,
332,train,0.384048,,,,,,,
333,train,0.423960,,,,,,,
334,train,0.442687,,,,,,,
335,train,0.405683,,,,,,,
336,train,0.465329,,,,,,,
337,train,0.348178,,,,,,,
338,train,0.466213,,,,,,,
339,train,0.528132,,,,,,,
340,train,0.465565,,,,,,,
341,train,0.373105,,,,,,,
342,train,0.386606,,,,,,,
343,train,0.556947,,,,,,,
344,train,0.384372,,,,,,,
345,train,0.447698,,,,,,,
346,train,0.405715,,,,,,,
347,train,0.342243,,,,,,,
348,train,0.479704,,,,,,,
349,train,0.397439,,,,,,,
350,train,0.475589,,,,,,,
351,train,0.449545,,,,,,,
352,train,0.379059,,,,,,,
353,train,0.484366,,,,,,,
354,train,0.480728,,,,,,,
355,train,0.381035,,,,,,,
356,train,0.510921,,,,,,,
357,train,0.355105,,,,,,,
358,train,0.345273,,,,,,,
359,train,0.408351,,,,,,,
360,train,0.387296,,,,,,,
361,train,0.412191,,,,,,,
362,train,0.395160,,,,,,,
363,train,0.371131,,,,,,,
364,train,0.383273,,,,,,,
365,train,0.453537,,,,,,,
366,train,0.390089,,,,,,,
367,train,0.445935,,,,,,,
368,train,0.321231,,,,,,,
369,train,0.353930,,,,,,,
370,train,0.399783,,,,,,,
371,train,0.543314,,,,,,,
372,train,0.407473,,,,,,,
373,train,0.391937,,,,,,,
374,train,0.326448,,,,,,,
375,train,0.373752,,,,,,,
376,train,0.394109,,,,,,,
377,train,0.523263,,,,,,,
378,train,0.581157,,,,,,,
379,train,0.337470,,,,,,,
380,train,0.483045,,,,,,,
381,train,0.337697,,,,,,,
382,train,0.396522,,,,,,,
383,train,0.382648,,,,,,,
384,train,0.406774,,,,,,,
385,train,0.404069,,,,,,,
386,train,0.404612,,,,,,,
387,train,0.377760,,,,,,,
388,train,0.404522,,,,,,,
389,train,0.344076,,,,,,,
390,train,0.373580,,,,,,,
391,train,0.380632,,,,,,,
392,train,0.454592,,,,,,,
393,train,0.352136,,,,,,,
394,train,0.393081,,,,,,,
395,train,0.363287,,,,,,,
396,train,0.488369,,,,,,,
397,train,0.331280,,,,,,,
398,train,0.444427,,,,,,,
399,train,0.411020,,,,,,,
400,train,0.422333,,,,,,,
401,train,0.310797,,,,,,,
402,train,0.332430,,,,,,,
403,train,0.406838,,,,,,,
404,train,0.478825,,,,,,,
405,train,0.291092,,,,,,,
406,train,0.388329,,,,,,,
407,train,0.406532,,,,,,,
408,train,0.388599,,,,,,,
409,train,0.486006,,,,,,,
410,train,0.398407,,,,,,,
411,train,0.381545,,,,,,,
412,train,0.496591,,,,,,,
413,train,0.392262,,,,,,,
414,train,0.412018,,,,,,,
415,train,0.405729,,,,,,,
416,train,0.350606,,,,,,,
417,train,0.345547,,,,,,,
418,train,0.367702,,,,,,,
419,train,0.382827,,,,,,,
420,train,0.385802,,,,,,,
421,train,0.280491,,,,,,,
422,train,0.459594,,,,,,,
423,train,0.422347,,,,,,,
424,train,0.400746,,,,,,,
425,train,0.456221,,,,,,,
426,train,0.350315,,,,,,,
427,train,0.405626,,,,,,,
428,train,0.386979,,,,,,,
429,train,0.323419,,,,,,,
430,train,0.275277,,,,,,,
431,train,0.376383,,,,,,,
432,train,0.292493,,,,,,,
433,train,0.412566,,,,,,,
434,train,0.349423,,,,,,,
435,train,0.315706,,,,,,,
436,train,0.393322,,,,,,,
437,train,0.380153,,,,,,,
438,train,0.285570,,,,,,,
439,train,0.306014,,,,,,,
440,train,0.323178,,,,,,,
441,train,0.276709,,,,,,,
442,train,0.357264,,,,,,,
443,train,0.269425,,,,,,,
444,train,0.414593,,,,,,,
445,train,0.367526,,,,,,,
446,train,0.364879,,,,,,,
447,train,0.453368,,,,,,,
448,train,0.390287,,,,,,,
449,train,0.408468,,,,,,,
450,train,0.321302,,,,,,,
451,train,0.290842,,,,,,,
452,train,0.435285,,,,,,,
453,train,0.443120,,,,,,,
454,train,0.353416,,,,,,,
455,train,0.365806,,,,,,,
456,train,0.365356,,,,,,,
457,train,0.389925,,,,,,,
458,train,0.357550,,,,,,,
459,train,0.354965,,,,,,,
460,train,0.427271,,,,,,,
461,train,0.331373,,,,,,,
462,train,0.278177,,,,,,,
463,train,0.360762,,,,,,,
464,train,0.386050,,,,,,,
465,train,0.387633,,,,,,,
466,train,0.346603,,,,,,,
467,train,0.359203,,,,,,,
468,train,0.391257,,,,,,,
469,train,0.458576,,,,,,,
470,train,0.361544,,,,,,,
471,train,0.405398,,,,,,,
472,train,0.357843,,,,,,,
473,train,0.351202,,,,,,,
474,train,0.313585,,,,,,,
475,train,0.492857,,,,,,,
476,train,0.376985,,,,,,,
477,train,0.377733,,,,,,,
478,train,0.335461,,,,,,,
479,train,0.370366,,,,,,,
480,train,0.301917,,,,,,,
481,train,0.473662,,,,,,,
482,train,0.364185,,,,,,,
483,train,0.386888,,,,,,,
484,train,0.297315,,,,,,,
485,train,0.388434,,,,,,,
486,train,0.362838,,,,,,,
487,train,0.387136,,,,,,,
488,train,0.383021,,,,,,,
489,train,0.324786,,,,,,,
490,train,0.403524,,,,,,,
491,train,0.341485,,,,,,,
492,train,0.366732,,,,,,,
493,train,0.330564,,,,,,,
494,train,0.394015,,,,,,,
495,train,0.386680,,,,,,,
496,train,0.450279,,,,,,,
497,train,0.322176,,,,,,,
498,train,0.226756,,,,,,,
499,train,0.346701,,,,,,,
499,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_w5rho3_S3_pretrain_seed0/epoch_500.pt
