epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.350548,,,,,,,start
1,train,0.513905,,,,,,,
2,train,0.344983,,,,,,,
3,train,0.352769,,,,,,,
4,train,0.354523,,,,,,,
5,train,0.313508,,,,,,,
6,train,0.347567,,,,,,,
7,train,0.298406,,,,,,,
8,train,0.343817,,,,,,,
9,train,0.373039,,,,,,,
10,train,0.366422,,,,,,,
11,train,0.443687,,,,,,,
12,train,0.406686,,,,,,,
13,train,0.450442,,,,,,,
14,train,0.352686,,,,,,,
15,train,0.384158,,,,,,,
16,train,0.294899,,,,,,,
17,train,0.447228,,,,,,,
18,train,0.358360,,,,,,,
19,train,0.468312,,,,,,,
19,eval,,0.9994,0.0003,0.0000,0.0000,0.0003,0.4833,
20,train,0.357751,,,,,,,
21,train,0.254971,,,,,,,
22,train,0.332350,,,,,,,
23,train,0.418283,,,,,,,
24,train,0.421448,,,,,,,
25,train,0.333708,,,,,,,
26,train,0.395525,,,,,,,
27,train,0.442972,,,,,,,
28,train,0.256882,,,,,,,
29,train,0.329292,,,,,,,
30,train,0.384517,,,,,,,
31,train,0.364715,,,,,,,
32,train,0.416639,,,,,,,
33,train,0.253309,,,,,,,
34,train,0.313795,,,,,,,
35,train,0.406796,,,,,,,
36,train,0.296725,,,,,,,
37,train,0.305614,,,,,,,
38,train,0.267510,,,,,,,
39,train,0.334312,,,,,,,
39,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.4839,
39,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_w5rho4_S0_stability_seed1/epoch_40.pt
40,train,0.347325,,,,,,,
41,train,0.464146,,,,,,,
42,train,0.372801,,,,,,,
43,train,0.505546,,,,,,,
44,train,0.346397,,,,,,,
45,train,0.446040,,,,,,,
46,train,0.335610,,,,,,,
47,train,0.372695,,,,,,,
48,train,0.407985,,,,,,,
49,train,0.350398,,,,,,,
50,train,0.282837,,,,,,,
51,train,0.425912,,,,,,,
52,train,0.427434,,,,,,,
53,train,0.341849,,,,,,,
54,train,0.385659,,,,,,,
55,train,0.369967,,,,,,,
56,train,0.304096,,,,,,,
57,train,0.544773,,,,,,,
58,train,0.510675,,,,,,,
59,train,0.430079,,,,,,,
59,eval,,0.9997,0.0003,0.0000,0.0000,0.0000,0.4836,
60,train,0.444651,,,,,,,
61,train,0.363992,,,,,,,
62,train,0.388152,,,,,,,
63,train,0.369886,,,,,,,
64,train,0.357547,,,,,,,
65,train,0.543566,,,,,,,
66,train,0.299494,,,,,,,
67,train,0.338283,,,,,,,
68,train,0.328284,,,,,,,
69,train,0.314687,,,,,,,
70,train,0.343933,,,,,,,
71,train,0.252655,,,,,,,
72,train,0.427974,,,,,,,
73,train,0.346004,,,,,,,
74,train,0.354274,,,,,,,
75,train,0.293565,,,,,,,
76,train,0.308378,,,,,,,
77,train,0.374270,,,,,,,
78,train,0.343262,,,,,,,
79,train,0.370183,,,,,,,
79,eval,,0.9997,0.0003,0.0000,0.0000,0.0000,0.4836,
79,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_w5rho4_S0_stability_seed1/epoch_80.pt
80,train,0.421434,,,,,,,
81,train,0.345649,,,,,,,
82,train,0.461649,,,,,,,
83,train,0.357094,,,,,,,
84,train,0.356767,,,,,,,
85,train,0.492879,,,,,,,
86,train,0.376185,,,,,,,
87,train,0.407395,,,,,,,
88,train,0.352342,,,,,,,
89,train,0.367391,,,,,,,
90,train,0.487606,,,,,,,
91,train,0.321188,,,,,,,
92,train,0.390081,,,,,,,
93,train,0.469010,,,,,,,
94,train,0.341196,,,,,,,
95,train,0.356626,,,,,,,
96,train,0.360377,,,,,,,
97,train,0.485263,,,,,,,
98,train,0.337118,,,,,,,
99,train,0.375858,,,,,,,
99,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.4839,
100,train,0.384998,,,,,,,
101,train,0.423906,,,,,,,
102,train,0.238225,,,,,,,
103,train,0.441067,,,,,,,
104,train,0.403832,,,,,,,
105,train,0.349421,,,,,,,
106,train,0.319274,,,,,,,
107,train,0.409955,,,,,,,
108,train,0.330059,,,,,,,
109,train,0.317284,,,,,,,
110,train,0.410046,,,,,,,
111,train,0.322982,,,,,,,
112,train,0.350235,,,,,,,
113,train,0.667112,,,,,,,
114,train,0.327464,,,,,,,
115,train,0.461704,,,,,,,
116,train,0.310490,,,,,,,
117,train,0.344352,,,,,,,
118,train,0.373364,,,,,,,
119,train,0.401859,,,,,,,
119,eval,,0.9999,0.0000,0.0000,0.0000,0.0001,0.4838,
119,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_w5rho4_S0_stability_seed1/epoch_120.pt
120,train,0.328114,,,,,,,
121,train,0.365752,,,,,,,
122,train,0.348452,,,,,,,
123,train,0.399985,,,,,,,
124,train,0.344156,,,,,,,
125,train,0.398167,,,,,,,
126,train,0.347800,,,,,,,
127,train,0.355210,,,,,,,
128,train,0.377447,,,,,,,
129,train,0.260266,,,,,,,
130,train,0.333715,,,,,,,
131,train,0.342812,,,,,,,
132,train,0.391391,,,,,,,
133,train,0.404521,,,,,,,
134,train,0.405883,,,,,,,
135,train,0.323468,,,,,,,
136,train,0.373876,,,,,,,
137,train,0.344123,,,,,,,
138,train,0.372585,,,,,,,
139,train,0.345164,,,,,,,
139,eval,,0.9999,0.0000,0.0000,0.0000,0.0001,0.4838,
140,train,0.325294,,,,,,,
141,train,0.308105,,,,,,,
142,train,0.368777,,,,,,,
143,train,0.434478,,,,,,,
144,train,0.478961,,,,,,,
145,train,0.397881,,,,,,,
146,train,0.325340,,,,,,,
147,train,0.315366,,,,,,,
148,train,0.371445,,,,,,,
149,train,0.355035,,,,,,,
150,train,0.394207,,,,,,,
151,train,0.281001,,,,,,,
152,train,0.363618,,,,,,,
153,train,0.362291,,,,,,,
154,train,0.371995,,,,,,,
155,train,0.309024,,,,,,,
156,train,0.350123,,,,,,,
157,train,0.367984,,,,,,,
158,train,0.403102,,,,,,,
159,train,0.362397,,,,,,,
159,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.4839,
159,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_w5rho4_S0_stability_seed1/epoch_160.pt
160,train,0.379083,,,,,,,
161,train,0.368454,,,,,,,
162,train,0.384831,,,,,,,
163,train,0.382811,,,,,,,
164,train,0.363147,,,,,,,
165,train,0.331322,,,,,,,
166,train,0.316774,,,,,,,
167,train,0.312969,,,,,,,
168,train,0.387345,,,,,,,
169,train,0.525012,,,,,,,
170,train,0.394205,,,,,,,
171,train,0.359288,,,,,,,
172,train,0.393313,,,,,,,
173,train,0.368335,,,,,,,
174,train,0.403915,,,,,,,
175,train,0.331517,,,,,,,
176,train,0.337901,,,,,,,
177,train,0.284374,,,,,,,
178,train,0.345550,,,,,,,
179,train,0.419182,,,,,,,
179,eval,,0.9999,0.0000,0.0000,0.0000,0.0001,0.4838,
180,train,0.271035,,,,,,,
181,train,0.329549,,,,,,,
182,train,0.346036,,,,,,,
183,train,0.440921,,,,,,,
184,train,0.423281,,,,,,,
185,train,0.322437,,,,,,,
186,train,0.398548,,,,,,,
187,train,0.378119,,,,,,,
188,train,0.298316,,,,,,,
189,train,0.342736,,,,,,,
190,train,0.273376,,,,,,,
191,train,0.375081,,,,,,,
192,train,0.351089,,,,,,,
193,train,0.397761,,,,,,,
194,train,0.427976,,,,,,,
195,train,0.383174,,,,,,,
196,train,0.366872,,,,,,,
197,train,0.397420,,,,,,,
198,train,0.456213,,,,,,,
199,train,0.324082,,,,,,,
199,eval,,0.9998,0.0001,0.0000,0.0000,0.0001,0.4837,
199,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_w5rho4_S0_stability_seed1/epoch_200.pt
