epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.513012,,,,,,,start
1,train,0.450011,,,,,,,
2,train,0.415881,,,,,,,
3,train,0.424997,,,,,,,
4,train,0.514394,,,,,,,
5,train,0.456250,,,,,,,
6,train,0.412900,,,,,,,
7,train,0.425584,,,,,,,
8,train,0.461007,,,,,,,
9,train,0.443578,,,,,,,
10,train,0.387712,,,,,,,
11,train,0.360097,,,,,,,
12,train,0.405413,,,,,,,
13,train,0.344643,,,,,,,
14,train,0.342377,,,,,,,
15,train,0.424922,,,,,,,
16,train,0.458775,,,,,,,
17,train,0.458808,,,,,,,
18,train,0.443672,,,,,,,
19,train,0.409548,,,,,,,
19,eval,,0.4609,0.1034,0.4357,0.0000,0.0000,0.2609,
20,train,0.454611,,,,,,,
21,train,0.465574,,,,,,,
22,train,0.426313,,,,,,,
23,train,0.479263,,,,,,,
24,train,0.521871,,,,,,,
25,train,0.420729,,,,,,,
26,train,0.494255,,,,,,,
27,train,0.455778,,,,,,,
28,train,0.406504,,,,,,,
29,train,0.409141,,,,,,,
30,train,0.477803,,,,,,,
31,train,0.474080,,,,,,,
32,train,0.383288,,,,,,,
33,train,0.459766,,,,,,,
34,train,0.397151,,,,,,,
35,train,0.382838,,,,,,,
36,train,0.426100,,,,,,,
37,train,0.491366,,,,,,,
38,train,0.452373,,,,,,,
39,train,0.409973,,,,,,,
39,eval,,0.4081,0.1462,0.4457,0.0000,0.0000,0.2457,
39,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_b5_S023_stability_seed0/epoch_40.pt
40,train,0.514190,,,,,,,
41,train,0.444869,,,,,,,
42,train,0.475089,,,,,,,
43,train,0.478416,,,,,,,
44,train,0.471626,,,,,,,
45,train,0.429018,,,,,,,
46,train,0.408356,,,,,,,
47,train,0.482646,,,,,,,
48,train,0.427686,,,,,,,
49,train,0.409309,,,,,,,
50,train,0.413697,,,,,,,
51,train,0.438610,,,,,,,
52,train,0.458504,,,,,,,
53,train,0.443256,,,,,,,
54,train,0.409974,,,,,,,
55,train,0.373942,,,,,,,
56,train,0.460936,,,,,,,
57,train,0.451704,,,,,,,
58,train,0.392433,,,,,,,
59,train,0.464544,,,,,,,
59,eval,,0.4044,0.1566,0.4390,0.0000,0.0000,0.2390,
60,train,0.411744,,,,,,,
61,train,0.486198,,,,,,,
62,train,0.388588,,,,,,,
63,train,0.461684,,,,,,,
64,train,0.515965,,,,,,,
65,train,0.401174,,,,,,,
66,train,0.442197,,,,,,,
67,train,0.405687,,,,,,,
68,train,0.473720,,,,,,,
69,train,0.414033,,,,,,,
70,train,0.410457,,,,,,,
71,train,0.418337,,,,,,,
72,train,0.331286,,,,,,,
73,train,0.408780,,,,,,,
74,train,0.483748,,,,,,,
75,train,0.416504,,,,,,,
76,train,0.420890,,,,,,,
77,train,0.421854,,,,,,,
78,train,0.495353,,,,,,,
79,train,0.420467,,,,,,,
79,eval,,0.3769,0.1809,0.4422,0.0000,0.0000,0.2422,
79,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_b5_S023_stability_seed0/epoch_80.pt
80,train,0.405872,,,,,,,
81,train,0.444275,,,,,,,
82,train,0.426813,,,,,,,
83,train,0.472122,,,,,,,
84,train,0.446797,,,,,,,
85,train,0.464473,,,,,,,
86,train,0.381720,,,,,,,
87,train,0.427711,,,,,,,
88,train,0.420171,,,,,,,
89,train,0.422726,,,,,,,
90,train,0.420071,,,,,,,
91,train,0.423532,,,,,,,
92,train,0.461358,,,,,,,
93,train,0.457309,,,,,,,
94,train,0.415007,,,,,,,
95,train,0.517333,,,,,,,
96,train,0.362227,,,,,,,
97,train,0.421192,,,,,,,
98,train,0.419358,,,,,,,
99,train,0.441983,,,,,,,
99,eval,,0.3850,0.1860,0.4290,0.0000,0.0000,0.2290,
100,train,0.443006,,,,,,,
101,train,0.399160,,,,,,,
102,train,0.451500,,,,,,,
103,train,0.418252,,,,,,,
104,train,0.416589,,,,,,,
105,train,0.490145,,,,,,,
106,train,0.451379,,,,,,,
107,train,0.421886,,,,,,,
108,train,0.468248,,,,,,,
109,train,0.446087,,,,,,,
110,train,0.422104,,,,,,,
111,train,0.404250,,,,,,,
112,train,0.407985,,,,,,,
113,train,0.428027,,,,,,,
114,train,0.517737,,,,,,,
115,train,0.448159,,,,,,,
116,train,0.459594,,,,,,,
117,train,0.458981,,,,,,,
118,train,0.463294,,,,,,,
119,train,0.400473,,,,,,,
119,eval,,0.3703,0.2005,0.4292,0.0000,0.0000,0.2292,
119,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_b5_S023_stability_seed0/epoch_120.pt
120,train,0.351981,,,,,,,
121,train,0.397440,,,,,,,
122,train,0.453876,,,,,,,
123,train,0.366186,,,,,,,
124,train,0.463598,,,,,,,
125,train,0.400837,,,,,,,
126,train,0.465091,,,,,,,
127,train,0.366962,,,,,,,
128,train,0.469906,,,,,,,
129,train,0.414406,,,,,,,
130,train,0.364121,,,,,,,
131,train,0.434332,,,,,,,
132,train,0.428338,,,,,,,
133,train,0.411910,,,,,,,
134,train,0.401826,,,,,,,
135,train,0.429711,,,,,,,
136,train,0.457514,,,,,,,
137,train,0.415229,,,,,,,
138,train,0.488718,,,,,,,
139,train,0.427263,,,,,,,
139,eval,,0.3818,0.2131,0.4051,0.0000,0.0000,0.2051,
140,train,0.458767,,,,,,,
141,train,0.475467,,,,,,,
142,train,0.436735,,,,,,,
143,train,0.437370,,,,,,,
144,train,0.386739,,,,,,,
145,train,0.435863,,,,,,,
146,train,0.472710,,,,,,,
147,train,0.388192,,,,,,,
148,train,0.473692,,,,,,,
149,train,0.405700,,,,,,,
150,train,0.387310,,,,,,,
151,train,0.454622,,,,,,,
152,train,0.438055,,,,,,,
153,train,0.464071,,,,,,,
154,train,0.502422,,,,,,,
155,train,0.435393,,,,,,,
156,train,0.431056,,,,,,,
157,train,0.363957,,,,,,,
158,train,0.374857,,,,,,,
159,train,0.491507,,,,,,,
159,eval,,0.3720,0.2177,0.4103,0.0000,0.0000,0.2103,
159,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_b5_S023_stability_seed0/epoch_160.pt
160,train,0.418167,,,,,,,
161,train,0.488820,,,,,,,
162,train,0.492123,,,,,,,
163,train,0.450235,,,,,,,
164,train,0.545390,,,,,,,
165,train,0.437634,,,,,,,
166,train,0.427948,,,,,,,
167,train,0.394120,,,,,,,
168,train,0.414133,,,,,,,
169,train,0.479641,,,,,,,
170,train,0.386893,,,,,,,
171,train,0.425653,,,,,,,
172,train,0.434900,,,,,,,
173,train,0.424137,,,,,,,
174,train,0.383564,,,,,,,
175,train,0.486906,,,,,,,
176,train,0.564728,,,,,,,
177,train,0.416524,,,,,,,
178,train,0.390974,,,,,,,
179,train,0.418692,,,,,,,
179,eval,,0.3694,0.2301,0.4005,0.0000,0.0000,0.2005,
180,train,0.418785,,,,,,,
181,train,0.463151,,,,,,,
182,train,0.398215,,,,,,,
183,train,0.375716,,,,,,,
184,train,0.488237,,,,,,,
185,train,0.426610,,,,,,,
186,train,0.419668,,,,,,,
187,train,0.402101,,,,,,,
188,train,0.426271,,,,,,,
189,train,0.416164,,,,,,,
190,train,0.432981,,,,,,,
191,train,0.472868,,,,,,,
192,train,0.480660,,,,,,,
193,train,0.466994,,,,,,,
194,train,0.444121,,,,,,,
195,train,0.451878,,,,,,,
196,train,0.404006,,,,,,,
197,train,0.388910,,,,,,,
198,train,0.522169,,,,,,,
199,train,0.405170,,,,,,,
199,eval,,0.3766,0.2290,0.3944,0.0000,0.0000,0.2000,
199,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_b5_S023_stability_seed0/epoch_200.pt
