epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,2.843169,,,,,,,start
1,train,2.292522,,,,,,,
2,train,1.724368,,,,,,,
3,train,1.436122,,,,,,,
4,train,1.355557,,,,,,,
5,train,1.049558,,,,,,,
6,train,0.869874,,,,,,,
7,train,0.753504,,,,,,,
8,train,0.740187,,,,,,,
9,train,0.816712,,,,,,,
10,train,0.669915,,,,,,,
11,train,0.791416,,,,,,,
12,train,0.870753,,,,,,,
13,train,0.779243,,,,,,,
14,train,0.777829,,,,,,,
15,train,0.814328,,,,,,,
16,train,0.735620,,,,,,,
17,train,0.745972,,,,,,,
18,train,0.716322,,,,,,,
19,train,0.626507,,,,,,,
19,eval,,0.0361,0.7652,0.1987,0.0000,0.0000,0.5652,
20,train,0.636545,,,,,,,
21,train,0.791517,,,,,,,
22,train,0.713957,,,,,,,
23,train,0.906346,,,,,,,
24,train,0.868356,,,,,,,
25,train,0.790598,,,,,,,
26,train,0.977889,,,,,,,
27,train,1.128138,,,,,,,
28,train,0.797544,,,,,,,
29,train,0.845626,,,,,,,
30,train,0.921364,,,,,,,
31,train,0.870913,,,,,,,
32,train,0.652227,,,,,,,
33,train,0.814278,,,,,,,
34,train,0.674792,,,,,,,
35,train,0.518842,,,,,,,
36,train,1.029675,,,,,,,
37,train,0.792356,,,,,,,
38,train,0.688609,,,,,,,
39,train,0.568047,,,,,,,
39,eval,,0.1320,0.6645,0.2035,0.0000,0.0000,0.4645,
39,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_b5_S1_noise01_seed0/epoch_40.pt
40,train,0.692861,,,,,,,
41,train,0.729906,,,,,,,
42,train,0.593925,,,,,,,
43,train,0.629656,,,,,,,
44,train,0.639775,,,,,,,
45,train,0.743775,,,,,,,
46,train,0.662112,,,,,,,
47,train,0.680873,,,,,,,
48,train,0.788809,,,,,,,
49,train,0.699856,,,,,,,
50,train,0.554598,,,,,,,
51,train,0.644923,,,,,,,
52,train,0.638399,,,,,,,
53,train,0.631647,,,,,,,
54,train,0.658971,,,,,,,
55,train,0.684765,,,,,,,
56,train,0.742437,,,,,,,
57,train,0.839367,,,,,,,
58,train,0.655240,,,,,,,
59,train,0.718160,,,,,,,
59,eval,,0.2433,0.4674,0.2893,0.0000,0.0000,0.2674,
60,train,0.761763,,,,,,,
61,train,0.802261,,,,,,,
62,train,0.603370,,,,,,,
63,train,0.703076,,,,,,,
64,train,0.673264,,,,,,,
65,train,0.607246,,,,,,,
66,train,0.610931,,,,,,,
67,train,0.616747,,,,,,,
68,train,0.603604,,,,,,,
69,train,0.585423,,,,,,,
70,train,0.527789,,,,,,,
71,train,0.545744,,,,,,,
72,train,0.483546,,,,,,,
73,train,0.547423,,,,,,,
74,train,0.612773,,,,,,,
75,train,0.534557,,,,,,,
76,train,0.553006,,,,,,,
77,train,0.519791,,,,,,,
78,train,0.638516,,,,,,,
79,train,0.621031,,,,,,,
79,eval,,0.3145,0.3740,0.3115,0.0000,0.0000,0.2000,
79,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_b5_S1_noise01_seed0/epoch_80.pt
80,train,0.508316,,,,,,,
81,train,0.578234,,,,,,,
82,train,0.512866,,,,,,,
83,train,0.622192,,,,,,,
84,train,0.562643,,,,,,,
85,train,0.564559,,,,,,,
86,train,0.496123,,,,,,,
87,train,0.492022,,,,,,,
88,train,0.544156,,,,,,,
89,train,0.468711,,,,,,,
90,train,0.551979,,,,,,,
91,train,0.489461,,,,,,,
92,train,0.634456,,,,,,,
93,train,0.579259,,,,,,,
94,train,0.533011,,,,,,,
95,train,0.569577,,,,,,,
96,train,0.448516,,,,,,,
97,train,0.507163,,,,,,,
98,train,0.532998,,,,,,,
99,train,0.520256,,,,,,,
99,eval,,0.3602,0.3312,0.3086,0.0000,0.0000,0.2000,
100,train,0.532695,,,,,,,
101,train,0.463870,,,,,,,
102,train,0.516695,,,,,,,
103,train,0.442568,,,,,,,
104,train,0.431854,,,,,,,
105,train,0.550543,,,,,,,
106,train,0.491071,,,,,,,
107,train,0.483886,,,,,,,
108,train,0.492912,,,,,,,
109,train,0.475332,,,,,,,
110,train,0.517236,,,,,,,
111,train,0.466709,,,,,,,
112,train,0.454126,,,,,,,
113,train,0.492991,,,,,,,
114,train,0.554972,,,,,,,
115,train,0.515749,,,,,,,
