epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,25.544518,,,,,,,start
1,train,26.689758,,,,,,,
2,train,21.156464,,,,,,,
3,train,26.848795,,,,,,,
4,train,29.152687,,,,,,,
5,train,26.143784,,,,,,,
6,train,24.973351,,,,,,,
7,train,25.878246,,,,,,,
8,train,27.357536,,,,,,,
9,train,24.326576,,,,,,,
10,train,23.155735,,,,,,,
11,train,25.843695,,,,,,,
12,train,24.755247,,,,,,,
13,train,22.742744,,,,,,,
14,train,24.778183,,,,,,,
15,train,23.293608,,,,,,,
16,train,24.910912,,,,,,,
17,train,24.708904,,,,,,,
18,train,21.770535,,,,,,,
19,train,22.700838,,,,,,,
20,train,22.912216,,,,,,,
21,train,23.363281,,,,,,,
22,train,23.192173,,,,,,,
23,train,25.126339,,,,,,,
24,train,24.097073,,,,,,,
25,train,23.420727,,,,,,,
26,train,22.232056,,,,,,,
27,train,21.254009,,,,,,,
28,train,22.325096,,,,,,,
29,train,21.084984,,,,,,,
30,train,23.972595,,,,,,,
31,train,21.289799,,,,,,,
32,train,19.398462,,,,,,,
33,train,23.553261,,,,,,,
34,train,22.875387,,,,,,,
35,train,19.662233,,,,,,,
36,train,20.918886,,,,,,,
37,train,23.063755,,,,,,,
38,train,20.752031,,,,,,,
39,train,19.703957,,,,,,,
40,train,18.973574,,,,,,,
41,train,18.602779,,,,,,,
42,train,20.963032,,,,,,,
43,train,20.233986,,,,,,,
44,train,17.154484,,,,,,,
45,train,17.661556,,,,,,,
46,train,17.063143,,,,,,,
47,train,16.958361,,,,,,,
48,train,17.752512,,,,,,,
49,train,17.693008,,,,,,,
50,train,14.707981,,,,,,,
51,train,13.738855,,,,,,,
52,train,13.402536,,,,,,,
53,train,12.578244,,,,,,,
54,train,12.547991,,,,,,,
55,train,12.963131,,,,,,,
56,train,13.113684,,,,,,,
57,train,12.610704,,,,,,,
58,train,11.985352,,,,,,,
59,train,10.864195,,,,,,,
60,train,11.701463,,,,,,,
61,train,10.476005,,,,,,,
62,train,11.154629,,,,,,,
63,train,11.464466,,,,,,,
64,train,9.815425,,,,,,,
65,train,9.725952,,,,,,,
66,train,9.138622,,,,,,,
67,train,9.120398,,,,,,,
68,train,8.844296,,,,,,,
69,train,8.045858,,,,,,,
70,train,8.725487,,,,,,,
71,train,8.361156,,,,,,,
72,train,7.715747,,,,,,,
