epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,100.072922,,,,,,,start
1,train,136.727448,,,,,,,
2,train,82.719543,,,,,,,
3,train,99.510185,,,,,,,
4,train,132.727386,,,,,,,
5,train,119.311783,,,,,,,
6,train,107.397995,,,,,,,
7,train,88.767151,,,,,,,
8,train,84.204224,,,,,,,
9,train,97.831223,,,,,,,
10,train,93.870689,,,,,,,
11,train,79.962029,,,,,,,
12,train,84.783325,,,,,,,
13,train,98.895020,,,,,,,
14,train,93.389214,,,,,,,
15,train,82.298248,,,,,,,
16,train,108.355698,,,,,,,
17,train,89.471863,,,,,,,
18,train,78.745590,,,,,,,
19,train,123.278259,,,,,,,
20,train,66.927368,,,,,,,
21,train,117.436096,,,,,,,
22,train,122.125717,,,,,,,
23,train,146.809128,,,,,,,
24,train,86.022736,,,,,,,
25,train,69.506516,,,,,,,
26,train,84.218849,,,,,,,
27,train,71.541656,,,,,,,
28,train,89.935120,,,,,,,
29,train,57.705769,,,,,,,
30,train,107.024399,,,,,,,
31,train,91.425873,,,,,,,
32,train,96.351547,,,,,,,
33,train,66.959717,,,,,,,
34,train,106.247955,,,,,,,
35,train,66.510193,,,,,,,
36,train,50.071869,,,,,,,
37,train,70.768295,,,,,,,
38,train,74.321884,,,,,,,
39,train,83.357277,,,,,,,
40,train,69.488297,,,,,,,
41,train,96.782265,,,,,,,
42,train,58.293465,,,,,,,
43,train,66.813370,,,,,,,
44,train,50.046299,,,,,,,
45,train,57.100105,,,,,,,
46,train,56.816978,,,,,,,
47,train,55.358540,,,,,,,
48,train,64.249176,,,,,,,
49,train,45.603348,,,,,,,
50,train,51.393379,,,,,,,
51,train,41.470100,,,,,,,
52,train,41.343861,,,,,,,
53,train,36.809685,,,,,,,
54,train,73.807053,,,,,,,
55,train,34.536938,,,,,,,
56,train,59.536987,,,,,,,
57,train,42.760433,,,,,,,
58,train,37.639622,,,,,,,
59,train,36.121929,,,,,,,
60,train,31.105291,,,,,,,
61,train,40.278259,,,,,,,
62,train,33.226559,,,,,,,
63,train,31.623268,,,,,,,
64,train,32.281502,,,,,,,
65,train,31.546917,,,,,,,
