epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,13.052210,,,,,,,start
1,train,9.352959,,,,,,,
2,train,5.179223,,,,,,,
3,train,4.718963,,,,,,,
4,train,2.588350,,,,,,,
5,train,1.967909,,,,,,,
6,train,2.016736,,,,,,,
7,train,1.449193,,,,,,,
8,train,1.835172,,,,,,,
9,train,1.852765,,,,,,,
10,train,1.875462,,,,,,,
11,train,1.310103,,,,,,,
12,train,1.537110,,,,,,,
13,train,1.563656,,,,,,,
14,train,1.844745,,,,,,,
15,train,1.468314,,,,,,,
16,train,1.101046,,,,,,,
17,train,1.163827,,,,,,,
18,train,1.029337,,,,,,,
19,train,0.794097,,,,,,,
19,eval,,0.4991,0.0017,0.4991,0.0000,0.0001,0.2991,
20,train,0.794610,,,,,,,
21,train,1.195197,,,,,,,
22,train,0.733776,,,,,,,
23,train,0.880337,,,,,,,
24,train,0.718530,,,,,,,
25,train,1.048149,,,,,,,
26,train,0.948338,,,,,,,
27,train,0.821967,,,,,,,
28,train,0.630946,,,,,,,
29,train,0.671086,,,,,,,
30,train,0.692118,,,,,,,
31,train,0.728536,,,,,,,
32,train,0.656670,,,,,,,
33,train,0.583181,,,,,,,
34,train,0.589786,,,,,,,
35,train,0.568869,,,,,,,
36,train,0.526817,,,,,,,
37,train,0.610211,,,,,,,
38,train,0.913584,,,,,,,
39,train,0.658861,,,,,,,
39,eval,,0.5145,0.0001,0.4851,0.0001,0.0002,0.3145,
39,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_c5_S0234_noise005_seed2/epoch_40.pt
40,train,0.490516,,,,,,,
41,train,0.586824,,,,,,,
42,train,0.620149,,,,,,,
43,train,0.507749,,,,,,,
44,train,0.506360,,,,,,,
45,train,0.528861,,,,,,,
46,train,0.554392,,,,,,,
47,train,0.530709,,,,,,,
48,train,0.398685,,,,,,,
49,train,0.713263,,,,,,,
50,train,0.730875,,,,,,,
51,train,0.643268,,,,,,,
52,train,0.657835,,,,,,,
53,train,0.687833,,,,,,,
54,train,0.490305,,,,,,,
55,train,0.384659,,,,,,,
56,train,0.455176,,,,,,,
57,train,0.526527,,,,,,,
58,train,0.648563,,,,,,,
59,train,0.525271,,,,,,,
59,eval,,0.5159,0.0004,0.4836,0.0000,0.0001,0.3159,
60,train,0.556435,,,,,,,
61,train,0.669475,,,,,,,
62,train,0.522629,,,,,,,
63,train,0.394021,,,,,,,
64,train,0.384240,,,,,,,
65,train,0.466977,,,,,,,
66,train,0.684635,,,,,,,
67,train,0.367267,,,,,,,
68,train,0.416789,,,,,,,
69,train,0.449311,,,,,,,
70,train,0.574736,,,,,,,
71,train,0.479889,,,,,,,
72,train,0.451229,,,,,,,
73,train,0.555216,,,,,,,
74,train,0.447215,,,,,,,
75,train,0.424972,,,,,,,
76,train,0.403089,,,,,,,
77,train,0.440065,,,,,,,
78,train,0.486189,,,,,,,
79,train,0.400416,,,,,,,
79,eval,,0.5262,0.0002,0.4735,0.0001,0.0000,0.3262,
79,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_c5_S0234_noise005_seed2/epoch_80.pt
80,train,0.509712,,,,,,,
81,train,0.456632,,,,,,,
82,train,0.448540,,,,,,,
83,train,0.497595,,,,,,,
84,train,0.417435,,,,,,,
85,train,0.697271,,,,,,,
86,train,0.438367,,,,,,,
87,train,0.390860,,,,,,,
88,train,0.468213,,,,,,,
89,train,0.460079,,,,,,,
90,train,0.472569,,,,,,,
91,train,0.774937,,,,,,,
92,train,0.416569,,,,,,,
