epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.764766,,,,,,,start
1,train,0.533324,,,,,,,
2,train,0.339604,,,,,,,
3,train,0.548563,,,,,,,
4,train,0.809799,,,,,,,
5,train,0.547444,,,,,,,
6,train,0.705119,,,,,,,
7,train,0.376322,,,,,,,
8,train,0.469401,,,,,,,
9,train,0.461820,,,,,,,
10,train,0.413238,,,,,,,
11,train,0.423857,,,,,,,
12,train,0.357768,,,,,,,
13,train,0.379571,,,,,,,
14,train,0.371577,,,,,,,
15,train,0.354203,,,,,,,
16,train,0.446136,,,,,,,
17,train,0.594979,,,,,,,
18,train,0.414299,,,,,,,
19,train,0.376788,,,,,,,
19,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
20,train,0.387228,,,,,,,
21,train,0.397167,,,,,,,
22,train,0.365816,,,,,,,
23,train,0.615791,,,,,,,
24,train,0.392701,,,,,,,
25,train,0.343133,,,,,,,
26,train,0.471835,,,,,,,
27,train,0.365685,,,,,,,
28,train,0.372395,,,,,,,
29,train,0.424197,,,,,,,
30,train,0.393913,,,,,,,
31,train,0.369404,,,,,,,
32,train,0.351505,,,,,,,
33,train,0.401653,,,,,,,
34,train,0.377146,,,,,,,
35,train,0.333946,,,,,,,
36,train,0.337325,,,,,,,
37,train,0.468769,,,,,,,
38,train,0.364071,,,,,,,
39,train,0.363024,,,,,,,
39,eval,,0.0000,0.0001,0.9997,0.0002,0.0000,0.7997,
39,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_c5_S23_stability_seed0/epoch_40.pt
40,train,0.451146,,,,,,,
41,train,0.397779,,,,,,,
42,train,0.412752,,,,,,,
43,train,0.384736,,,,,,,
44,train,0.362631,,,,,,,
45,train,0.357754,,,,,,,
46,train,0.594434,,,,,,,
47,train,0.365059,,,,,,,
48,train,0.408686,,,,,,,
49,train,0.333276,,,,,,,
50,train,0.655590,,,,,,,
51,train,0.741311,,,,,,,
52,train,0.687754,,,,,,,
53,train,0.696082,,,,,,,
54,train,0.672372,,,,,,,
55,train,0.410023,,,,,,,
56,train,0.619483,,,,,,,
57,train,0.386011,,,,,,,
58,train,0.324052,,,,,,,
59,train,0.433593,,,,,,,
59,eval,,0.0000,0.0000,0.9999,0.0001,0.0000,0.7999,
60,train,0.353426,,,,,,,
61,train,0.534921,,,,,,,
62,train,0.404294,,,,,,,
63,train,0.547141,,,,,,,
64,train,0.560682,,,,,,,
65,train,0.383073,,,,,,,
66,train,0.421593,,,,,,,
67,train,0.311937,,,,,,,
68,train,0.373098,,,,,,,
69,train,0.367681,,,,,,,
70,train,0.406633,,,,,,,
71,train,0.407605,,,,,,,
72,train,0.263214,,,,,,,
73,train,0.379331,,,,,,,
74,train,0.447374,,,,,,,
75,train,0.346262,,,,,,,
76,train,0.361726,,,,,,,
77,train,0.341758,,,,,,,
78,train,0.457489,,,,,,,
79,train,0.394637,,,,,,,
79,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
79,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_c5_S23_stability_seed0/epoch_80.pt
80,train,0.404365,,,,,,,
81,train,0.430101,,,,,,,
82,train,0.380306,,,,,,,
83,train,0.479524,,,,,,,
84,train,0.345886,,,,,,,
85,train,0.332216,,,,,,,
86,train,0.349610,,,,,,,
87,train,0.331135,,,,,,,
88,train,0.325011,,,,,,,
89,train,0.282934,,,,,,,
90,train,0.343560,,,,,,,
91,train,0.337423,,,,,,,
92,train,0.458619,,,,,,,
93,train,0.459664,,,,,,,
94,train,0.347856,,,,,,,
95,train,0.452094,,,,,,,
96,train,0.278302,,,,,,,
97,train,0.412407,,,,,,,
98,train,0.393743,,,,,,,
99,train,0.339711,,,,,,,
99,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
100,train,0.368176,,,,,,,
101,train,0.268034,,,,,,,
102,train,0.349730,,,,,,,
103,train,0.344986,,,,,,,
104,train,0.282821,,,,,,,
105,train,0.424004,,,,,,,
106,train,0.313596,,,,,,,
107,train,0.331437,,,,,,,
108,train,0.327457,,,,,,,
109,train,0.367127,,,,,,,
110,train,0.346695,,,,,,,
111,train,0.357889,,,,,,,
112,train,0.347621,,,,,,,
113,train,0.331970,,,,,,,
114,train,0.456528,,,,,,,
115,train,0.370986,,,,,,,
116,train,0.341533,,,,,,,
117,train,0.434428,,,,,,,
118,train,0.456920,,,,,,,
119,train,0.355375,,,,,,,
119,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
119,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_c5_S23_stability_seed0/epoch_120.pt
120,train,0.240528,,,,,,,
121,train,0.391211,,,,,,,
122,train,0.362618,,,,,,,
123,train,0.283520,,,,,,,
124,train,0.321719,,,,,,,
125,train,0.371224,,,,,,,
126,train,0.401145,,,,,,,
127,train,0.246733,,,,,,,
128,train,0.400355,,,,,,,
129,train,0.378569,,,,,,,
130,train,0.260272,,,,,,,
131,train,0.388260,,,,,,,
132,train,0.375064,,,,,,,
133,train,0.354816,,,,,,,
134,train,0.372243,,,,,,,
135,train,0.357255,,,,,,,
136,train,0.397610,,,,,,,
137,train,0.338852,,,,,,,
138,train,0.483797,,,,,,,
139,train,0.458052,,,,,,,
139,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
140,train,0.379162,,,,,,,
141,train,0.542433,,,,,,,
142,train,0.329003,,,,,,,
143,train,0.360882,,,,,,,
144,train,0.333503,,,,,,,
145,train,0.347079,,,,,,,
146,train,0.372448,,,,,,,
147,train,0.366745,,,,,,,
148,train,0.383386,,,,,,,
149,train,0.324986,,,,,,,
150,train,0.344600,,,,,,,
151,train,0.315861,,,,,,,
152,train,0.312663,,,,,,,
153,train,0.334989,,,,,,,
154,train,0.442681,,,,,,,
155,train,0.356123,,,,,,,
156,train,0.421941,,,,,,,
157,train,0.335594,,,,,,,
158,train,0.323408,,,,,,,
159,train,0.392259,,,,,,,
159,eval,,0.0000,0.0001,0.9999,0.0000,0.0000,0.7999,
159,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_c5_S23_stability_seed0/epoch_160.pt
160,train,0.342449,,,,,,,
161,train,0.460728,,,,,,,
162,train,0.364544,,,,,,,
163,train,0.354758,,,,,,,
164,train,0.401565,,,,,,,
165,train,0.424515,,,,,,,
166,train,0.342717,,,,,,,
167,train,0.363233,,,,,,,
168,train,0.357378,,,,,,,
169,train,0.324996,,,,,,,
170,train,0.322431,,,,,,,
171,train,0.359190,,,,,,,
172,train,0.360195,,,,,,,
173,train,0.395291,,,,,,,
174,train,0.282351,,,,,,,
175,train,0.363124,,,,,,,
176,train,0.458440,,,,,,,
177,train,0.331651,,,,,,,
178,train,0.338178,,,,,,,
179,train,0.286684,,,,,,,
179,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
180,train,0.363541,,,,,,,
181,train,0.428739,,,,,,,
182,train,0.422567,,,,,,,
183,train,0.272321,,,,,,,
184,train,0.556833,,,,,,,
185,train,0.457679,,,,,,,
186,train,0.381431,,,,,,,
187,train,0.309557,,,,,,,
188,train,0.371828,,,,,,,
189,train,0.345607,,,,,,,
190,train,0.345691,,,,,,,
191,train,0.609278,,,,,,,
192,train,0.449690,,,,,,,
193,train,0.396776,,,,,,,
194,train,0.339314,,,,,,,
195,train,0.419351,,,,,,,
196,train,0.308895,,,,,,,
197,train,0.286286,,,,,,,
198,train,0.413896,,,,,,,
199,train,0.298728,,,,,,,
199,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
199,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_c5_S23_stability_seed0/epoch_200.pt
