epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,1.139361,,,,,,,start
1,train,0.794047,,,,,,,
2,train,0.667029,,,,,,,
3,train,0.862804,,,,,,,
4,train,1.101353,,,,,,,
5,train,0.918495,,,,,,,
6,train,0.977321,,,,,,,
7,train,0.718501,,,,,,,
8,train,0.770016,,,,,,,
9,train,1.121145,,,,,,,
10,train,0.985569,,,,,,,
11,train,0.850967,,,,,,,
12,train,0.522907,,,,,,,
13,train,0.583044,,,,,,,
14,train,0.754354,,,,,,,
15,train,0.461509,,,,,,,
16,train,0.529810,,,,,,,
17,train,0.540634,,,,,,,
18,train,0.713576,,,,,,,
19,train,0.565837,,,,,,,
19,eval,,0.2038,0.3768,0.0002,0.0003,0.4189,0.3866,
20,train,0.769127,,,,,,,
21,train,0.506561,,,,,,,
22,train,0.493060,,,,,,,
23,train,0.568610,,,,,,,
24,train,0.685811,,,,,,,
25,train,0.702411,,,,,,,
26,train,0.904352,,,,,,,
27,train,0.779523,,,,,,,
28,train,0.967078,,,,,,,
29,train,0.926685,,,,,,,
30,train,0.735449,,,,,,,
31,train,0.732988,,,,,,,
32,train,0.768492,,,,,,,
33,train,0.501020,,,,,,,
34,train,0.534765,,,,,,,
35,train,0.545626,,,,,,,
36,train,0.583316,,,,,,,
37,train,0.497898,,,,,,,
38,train,0.926606,,,,,,,
39,train,0.643489,,,,,,,
39,eval,,0.1995,0.3876,0.0004,0.0004,0.4121,0.3798,
39,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_w5_S014_stability_seed2/epoch_40.pt
40,train,0.519446,,,,,,,
41,train,0.759091,,,,,,,
42,train,0.749675,,,,,,,
43,train,0.726357,,,,,,,
44,train,0.718237,,,,,,,
45,train,0.649831,,,,,,,
46,train,0.563987,,,,,,,
47,train,0.545391,,,,,,,
48,train,0.621456,,,,,,,
49,train,0.638335,,,,,,,
50,train,1.175950,,,,,,,
51,train,0.871564,,,,,,,
52,train,0.795667,,,,,,,
53,train,0.791859,,,,,,,
54,train,0.611211,,,,,,,
55,train,0.587056,,,,,,,
56,train,0.454315,,,,,,,
57,train,0.569370,,,,,,,
58,train,0.757739,,,,,,,
59,train,0.634537,,,,,,,
59,eval,,0.2171,0.3707,0.0002,0.0001,0.4119,0.3796,
60,train,0.980311,,,,,,,
61,train,0.798277,,,,,,,
62,train,0.765854,,,,,,,
63,train,0.661641,,,,,,,
64,train,0.407920,,,,,,,
65,train,0.617082,,,,,,,
66,train,0.606492,,,,,,,
67,train,0.756283,,,,,,,
68,train,0.712369,,,,,,,
69,train,0.503305,,,,,,,
70,train,0.640760,,,,,,,
71,train,0.824833,,,,,,,
72,train,0.438922,,,,,,,
73,train,0.538874,,,,,,,
74,train,0.840688,,,,,,,
75,train,0.680092,,,,,,,
76,train,0.712562,,,,,,,
77,train,0.991125,,,,,,,
78,train,0.899077,,,,,,,
79,train,0.489413,,,,,,,
79,eval,,0.2051,0.3811,0.0010,0.0006,0.4122,0.3799,
79,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_w5_S014_stability_seed2/epoch_80.pt
80,train,0.664030,,,,,,,
81,train,0.641438,,,,,,,
82,train,0.735509,,,,,,,
83,train,0.593074,,,,,,,
84,train,0.983704,,,,,,,
85,train,0.466090,,,,,,,
86,train,0.962699,,,,,,,
87,train,0.697350,,,,,,,
88,train,0.864405,,,,,,,
89,train,0.661396,,,,,,,
90,train,1.211042,,,,,,,
91,train,0.434807,,,,,,,
92,train,0.720543,,,,,,,
93,train,0.544676,,,,,,,
94,train,0.404645,,,,,,,
95,train,1.025890,,,,,,,
96,train,0.858181,,,,,,,
97,train,0.720053,,,,,,,
98,train,0.636441,,,,,,,
99,train,0.862263,,,,,,,
99,eval,,0.2078,0.3748,0.0009,0.0007,0.4158,0.3835,
100,train,0.975655,,,,,,,
101,train,0.407259,,,,,,,
102,train,0.818530,,,,,,,
103,train,0.711876,,,,,,,
104,train,1.020729,,,,,,,
105,train,0.582512,,,,,,,
106,train,0.506001,,,,,,,
107,train,0.475767,,,,,,,
108,train,1.007743,,,,,,,
109,train,0.851671,,,,,,,
110,train,0.674888,,,,,,,
111,train,0.463286,,,,,,,
112,train,0.991079,,,,,,,
113,train,0.363415,,,,,,,
114,train,0.665793,,,,,,,
115,train,0.494746,,,,,,,
116,train,0.570905,,,,,,,
117,train,0.663622,,,,,,,
118,train,0.629937,,,,,,,
119,train,0.798587,,,,,,,
119,eval,,0.1961,0.3870,0.0010,0.0006,0.4153,0.3830,
119,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_w5_S014_stability_seed2/epoch_120.pt
120,train,0.586264,,,,,,,
121,train,1.190533,,,,,,,
122,train,0.944656,,,,,,,
123,train,0.802419,,,,,,,
124,train,0.858460,,,,,,,
125,train,0.643664,,,,,,,
126,train,0.705144,,,,,,,
127,train,0.674641,,,,,,,
128,train,0.786695,,,,,,,
129,train,0.816907,,,,,,,
130,train,0.330595,,,,,,,
131,train,0.570972,,,,,,,
132,train,1.120860,,,,,,,
133,train,0.596875,,,,,,,
134,train,0.819989,,,,,,,
135,train,0.611919,,,,,,,
136,train,0.678975,,,,,,,
137,train,0.387637,,,,,,,
138,train,0.471063,,,,,,,
139,train,0.555765,,,,,,,
139,eval,,0.2101,0.3791,0.0009,0.0009,0.4090,0.3767,
140,train,0.552330,,,,,,,
141,train,0.583522,,,,,,,
142,train,0.454973,,,,,,,
143,train,0.606781,,,,,,,
144,train,0.727152,,,,,,,
145,train,0.637488,,,,,,,
146,train,0.588885,,,,,,,
147,train,0.867564,,,,,,,
148,train,0.567187,,,,,,,
149,train,0.574607,,,,,,,
150,train,0.766403,,,,,,,
151,train,0.421856,,,,,,,
152,train,0.688646,,,,,,,
153,train,0.494482,,,,,,,
154,train,0.604581,,,,,,,
155,train,0.712935,,,,,,,
156,train,0.809056,,,,,,,
157,train,0.671458,,,,,,,
158,train,0.546257,,,,,,,
159,train,0.770343,,,,,,,
159,eval,,0.2163,0.3783,0.0008,0.0006,0.4040,0.3717,
159,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_w5_S014_stability_seed2/epoch_160.pt
160,train,0.634199,,,,,,,
161,train,0.447081,,,,,,,
162,train,0.596529,,,,,,,
163,train,0.772424,,,,,,,
164,train,0.770843,,,,,,,
165,train,0.780867,,,,,,,
166,train,0.820688,,,,,,,
167,train,1.079096,,,,,,,
168,train,0.571211,,,,,,,
169,train,1.358388,,,,,,,
170,train,0.711350,,,,,,,
171,train,1.062025,,,,,,,
172,train,0.814121,,,,,,,
173,train,0.627123,,,,,,,
174,train,1.106346,,,,,,,
175,train,0.620517,,,,,,,
176,train,0.563666,,,,,,,
177,train,0.486564,,,,,,,
178,train,1.141441,,,,,,,
179,train,0.771572,,,,,,,
179,eval,,0.2135,0.3851,0.0016,0.0007,0.3991,0.3668,
180,train,0.666501,,,,,,,
181,train,0.626049,,,,,,,
182,train,0.783890,,,,,,,
183,train,0.975880,,,,,,,
184,train,0.469981,,,,,,,
