epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,91.102196,,,,,,,start
1,train,53.472725,,,,,,,
2,train,30.450104,,,,,,,
3,train,17.081814,,,,,,,
4,train,7.893497,,,,,,,
5,train,5.494285,,,,,,,
6,train,4.641124,,,,,,,
7,train,4.247939,,,,,,,
8,train,3.744903,,,,,,,
9,train,3.928899,,,,,,,
10,train,3.790506,,,,,,,
11,train,3.687666,,,,,,,
12,train,3.738795,,,,,,,
13,train,2.931069,,,,,,,
14,train,2.955753,,,,,,,
15,train,3.102685,,,,,,,
16,train,2.661173,,,,,,,
17,train,3.220823,,,,,,,
18,train,2.743022,,,,,,,
19,train,1.750726,,,,,,,
19,eval,,0.3969,0.0016,0.0144,0.5837,0.0034,0.5192,
20,train,1.729495,,,,,,,
21,train,1.447058,,,,,,,
22,train,1.772766,,,,,,,
23,train,1.898140,,,,,,,
24,train,2.042001,,,,,,,
25,train,1.310723,,,,,,,
26,train,1.518795,,,,,,,
27,train,1.532924,,,,,,,
28,train,1.120332,,,,,,,
29,train,1.356120,,,,,,,
30,train,1.211446,,,,,,,
31,train,1.604687,,,,,,,
32,train,1.115112,,,,,,,
33,train,1.197132,,,,,,,
34,train,1.324747,,,,,,,
35,train,1.343377,,,,,,,
36,train,1.617910,,,,,,,
37,train,1.230343,,,,,,,
38,train,0.880130,,,,,,,
39,train,0.748424,,,,,,,
39,eval,,0.3935,0.0008,0.0104,0.5949,0.0004,0.5304,
39,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_w5_S023_noise005_seed1/epoch_40.pt
40,train,0.724580,,,,,,,
41,train,0.799879,,,,,,,
42,train,0.956591,,,,,,,
43,train,0.861376,,,,,,,
44,train,0.641976,,,,,,,
45,train,0.974589,,,,,,,
46,train,0.791165,,,,,,,
47,train,0.599438,,,,,,,
48,train,0.668350,,,,,,,
49,train,0.834712,,,,,,,
50,train,1.034255,,,,,,,
51,train,1.004395,,,,,,,
52,train,0.792433,,,,,,,
53,train,0.733978,,,,,,,
54,train,0.777861,,,,,,,
55,train,0.774784,,,,,,,
56,train,0.638825,,,,,,,
57,train,0.973152,,,,,,,
58,train,1.044404,,,,,,,
59,train,0.859896,,,,,,,
59,eval,,0.3939,0.0003,0.0096,0.5958,0.0004,0.5313,
60,train,0.618935,,,,,,,
61,train,0.592953,,,,,,,
62,train,0.762658,,,,,,,
63,train,0.590018,,,,,,,
64,train,0.659777,,,,,,,
65,train,0.501107,,,,,,,
66,train,0.743619,,,,,,,
67,train,0.404661,,,,,,,
68,train,0.697679,,,,,,,
69,train,0.489150,,,,,,,
70,train,0.890665,,,,,,,
71,train,0.744338,,,,,,,
72,train,0.596954,,,,,,,
73,train,0.491627,,,,,,,
74,train,0.618464,,,,,,,
75,train,0.869393,,,,,,,
76,train,0.780023,,,,,,,
77,train,0.602607,,,,,,,
78,train,0.552198,,,,,,,
79,train,0.877210,,,,,,,
79,eval,,0.3982,0.0009,0.0146,0.5859,0.0004,0.5214,
79,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_w5_S023_noise005_seed1/epoch_80.pt
80,train,0.544742,,,,,,,
81,train,0.581224,,,,,,,
82,train,0.908254,,,,,,,
83,train,0.776828,,,,,,,
84,train,0.548142,,,,,,,
85,train,0.644387,,,,,,,
86,train,0.758180,,,,,,,
87,train,0.848617,,,,,,,
88,train,0.729390,,,,,,,
89,train,0.798913,,,,,,,
90,train,0.923446,,,,,,,
91,train,0.720498,,,,,,,
92,train,0.843405,,,,,,,
93,train,0.852444,,,,,,,
94,train,0.706212,,,,,,,
95,train,0.781474,,,,,,,
96,train,0.545996,,,,,,,
97,train,0.961551,,,,,,,
98,train,1.114177,,,,,,,
99,train,0.835451,,,,,,,
99,eval,,0.4009,0.0008,0.0158,0.5821,0.0004,0.5176,
100,train,0.735699,,,,,,,
101,train,0.737588,,,,,,,
102,train,1.013394,,,,,,,
103,train,0.629929,,,,,,,
104,train,0.884988,,,,,,,
105,train,0.747887,,,,,,,
106,train,1.019891,,,,,,,
107,train,0.842578,,,,,,,
108,train,1.071504,,,,,,,
109,train,0.977276,,,,,,,
110,train,1.030435,,,,,,,
111,train,0.764676,,,,,,,
112,train,0.732368,,,,,,,
113,train,1.073843,,,,,,,
114,train,0.584625,,,,,,,
115,train,0.588951,,,,,,,
116,train,0.733057,,,,,,,
117,train,0.902587,,,,,,,
118,train,1.203931,,,,,,,
119,train,0.874603,,,,,,,
119,eval,,0.4162,0.0009,0.0179,0.5638,0.0012,0.4993,
119,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_w5_S023_noise005_seed1/epoch_120.pt
120,train,1.129205,,,,,,,
121,train,0.718021,,,,,,,
122,train,0.636088,,,,,,,
123,train,0.628370,,,,,,,
124,train,0.859212,,,,,,,
125,train,1.584374,,,,,,,
126,train,0.837865,,,,,,,
127,train,0.870032,,,,,,,
128,train,0.848529,,,,,,,
129,train,0.655595,,,,,,,
130,train,0.935842,,,,,,,
131,train,1.089649,,,,,,,
132,train,1.339935,,,,,,,
133,train,1.031149,,,,,,,
134,train,1.067706,,,,,,,
135,train,0.896451,,,,,,,
136,train,0.850381,,,,,,,
137,train,1.013588,,,,,,,
138,train,1.105173,,,,,,,
139,train,0.989164,,,,,,,
139,eval,,0.4026,0.0007,0.0337,0.5617,0.0013,0.4972,
140,train,0.877338,,,,,,,
141,train,1.273856,,,,,,,
142,train,1.066725,,,,,,,
143,train,0.915443,,,,,,,
144,train,0.791112,,,,,,,
145,train,0.810731,,,,,,,
146,train,1.075268,,,,,,,
147,train,1.163338,,,,,,,
148,train,1.120294,,,,,,,
149,train,1.533556,,,,,,,
150,train,1.481151,,,,,,,
151,train,0.657566,,,,,,,
152,train,1.171441,,,,,,,
153,train,1.026742,,,,,,,
154,train,1.075436,,,,,,,
155,train,1.103125,,,,,,,
156,train,1.490930,,,,,,,
157,train,1.559150,,,,,,,
158,train,1.166706,,,,,,,
159,train,1.030805,,,,,,,
159,eval,,0.4107,0.0005,0.0590,0.5281,0.0017,0.4636,
159,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_w5_S023_noise005_seed1/epoch_160.pt
160,train,0.831876,,,,,,,
161,train,1.359041,,,,,,,
162,train,1.033794,,,,,,,
163,train,1.044965,,,,,,,
164,train,1.487123,,,,,,,
165,train,1.428727,,,,,,,
166,train,1.615775,,,,,,,
167,train,1.909397,,,,,,,
168,train,1.285373,,,,,,,
169,train,1.305968,,,,,,,
170,train,1.506393,,,,,,,
171,train,1.472488,,,,,,,
172,train,1.029411,,,,,,,
173,train,1.123707,,,,,,,
174,train,1.148276,,,,,,,
175,train,1.650805,,,,,,,
176,train,1.525262,,,,,,,
177,train,1.084838,,,,,,,
178,train,1.722642,,,,,,,
179,train,1.462880,,,,,,,
179,eval,,0.4047,0.0008,0.0940,0.4987,0.0018,0.4342,
180,train,1.770271,,,,,,,
181,train,1.284371,,,,,,,
182,train,1.342852,,,,,,,
183,train,1.193208,,,,,,,
184,train,0.850526,,,,,,,
185,train,1.438235,,,,,,,
186,train,1.557953,,,,,,,
187,train,1.596665,,,,,,,
188,train,1.942761,,,,,,,
189,train,1.563606,,,,,,,
190,train,1.399346,,,,,,,
191,train,1.649128,,,,,,,
192,train,1.848303,,,,,,,
193,train,1.624912,,,,,,,
194,train,1.512370,,,,,,,
195,train,1.465297,,,,,,,
196,train,1.374325,,,,,,,
197,train,1.840245,,,,,,,
198,train,1.967378,,,,,,,
199,train,1.480462,,,,,,,
199,eval,,0.4127,0.0008,0.1810,0.4043,0.0012,0.3398,
199,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_w5_S023_noise005_seed1/epoch_200.pt
