epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,56.141541,,,,,,,start
1,train,57.638577,,,,,,,
2,train,55.145081,,,,,,,
3,train,57.010098,,,,,,,
4,train,56.845600,,,,,,,
5,train,54.430916,,,,,,,
6,train,54.384464,,,,,,,
7,train,53.426865,,,,,,,
8,train,51.603779,,,,,,,
9,train,54.749603,,,,,,,
10,train,53.062771,,,,,,,
11,train,51.885384,,,,,,,
12,train,52.021992,,,,,,,
13,train,54.168373,,,,,,,
14,train,49.931313,,,,,,,
15,train,52.900070,,,,,,,
16,train,49.749561,,,,,,,
17,train,52.952553,,,,,,,
18,train,54.188347,,,,,,,
19,train,50.617863,,,,,,,
20,train,49.534313,,,,,,,
21,train,49.343685,,,,,,,
22,train,51.235168,,,,,,,
23,train,51.297401,,,,,,,
24,train,47.024345,,,,,,,
25,train,50.077187,,,,,,,
26,train,49.677383,,,,,,,
27,train,47.323463,,,,,,,
28,train,48.921936,,,,,,,
29,train,45.506203,,,,,,,
30,train,44.790680,,,,,,,
31,train,44.847488,,,,,,,
32,train,48.308342,,,,,,,
33,train,47.491409,,,,,,,
34,train,52.242935,,,,,,,
35,train,47.310879,,,,,,,
36,train,44.520477,,,,,,,
37,train,45.311470,,,,,,,
38,train,45.337646,,,,,,,
39,train,41.925049,,,,,,,
40,train,41.723747,,,,,,,
41,train,42.453430,,,,,,,
42,train,38.218254,,,,,,,
43,train,38.931118,,,,,,,
44,train,40.923027,,,,,,,
45,train,39.292953,,,,,,,
46,train,40.625744,,,,,,,
47,train,41.351280,,,,,,,
48,train,38.832619,,,,,,,
49,train,38.285103,,,,,,,
50,train,40.345570,,,,,,,
51,train,38.895542,,,,,,,
52,train,37.403740,,,,,,,
53,train,37.021877,,,,,,,
54,train,35.615158,,,,,,,
55,train,36.696754,,,,,,,
56,train,35.876976,,,,,,,
57,train,34.455887,,,,,,,
58,train,33.290462,,,,,,,
59,train,34.054020,,,,,,,
60,train,33.830193,,,,,,,
61,train,32.266098,,,,,,,
62,train,30.468288,,,,,,,
63,train,31.759541,,,,,,,
64,train,29.353374,,,,,,,
65,train,31.596189,,,,,,,
66,train,27.306454,,,,,,,
67,train,28.217520,,,,,,,
68,train,30.405054,,,,,,,
69,train,28.023262,,,,,,,
70,train,30.985579,,,,,,,
71,train,29.591892,,,,,,,
72,train,28.740885,,,,,,,
73,train,28.270565,,,,,,,
74,train,26.730274,,,,,,,
75,train,28.803185,,,,,,,
76,train,23.791311,,,,,,,
77,train,27.702568,,,,,,,
78,train,24.347145,,,,,,,
79,train,22.617687,,,,,,,
80,train,25.657703,,,,,,,
81,train,25.563492,,,,,,,
82,train,24.212650,,,,,,,
83,train,21.758329,,,,,,,
84,train,27.906822,,,,,,,
85,train,23.026434,,,,,,,
86,train,22.117260,,,,,,,
87,train,21.975418,,,,,,,
88,train,21.524609,,,,,,,
89,train,21.837364,,,,,,,
90,train,21.418447,,,,,,,
91,train,23.480595,,,,,,,
92,train,20.603046,,,,,,,
93,train,19.003021,,,,,,,
94,train,21.713852,,,,,,,
95,train,19.951359,,,,,,,
96,train,19.006563,,,,,,,
97,train,19.152229,,,,,,,
98,train,19.022638,,,,,,,
99,train,18.025684,,,,,,,
100,train,17.108719,,,,,,,
101,train,17.720110,,,,,,,
102,train,17.541523,,,,,,,
103,train,16.678604,,,,,,,
104,train,18.793974,,,,,,,
105,train,15.211271,,,,,,,
106,train,16.020489,,,,,,,
107,train,14.816109,,,,,,,
108,train,14.320137,,,,,,,
109,train,12.788297,,,,,,,
110,train,14.358929,,,,,,,
111,train,12.935762,,,,,,,
112,train,13.328716,,,,,,,
113,train,14.781886,,,,,,,
114,train,11.135523,,,,,,,
115,train,12.117508,,,,,,,
116,train,11.747844,,,,,,,
117,train,10.666553,,,,,,,
118,train,11.020590,,,,,,,
119,train,8.034863,,,,,,,
120,train,9.749101,,,,,,,
121,train,8.809411,,,,,,,
122,train,9.545881,,,,,,,
123,train,8.390324,,,,,,,
124,train,8.256478,,,,,,,
125,train,8.285616,,,,,,,
126,train,7.383561,,,,,,,
127,train,8.718362,,,,,,,
128,train,7.496455,,,,,,,
129,train,7.642533,,,,,,,
130,train,6.632870,,,,,,,
131,train,5.642032,,,,,,,
132,train,5.988012,,,,,,,
133,train,6.805316,,,,,,,
134,train,5.283656,,,,,,,
135,train,5.180947,,,,,,,
136,train,4.385776,,,,,,,
137,train,5.078074,,,,,,,
138,train,4.702872,,,,,,,
139,train,4.898957,,,,,,,
140,train,3.526485,,,,,,,
141,train,4.130384,,,,,,,
142,train,3.796436,,,,,,,
143,train,4.369181,,,,,,,
144,train,3.093736,,,,,,,
145,train,3.317934,,,,,,,
146,train,2.633570,,,,,,,
147,train,3.668699,,,,,,,
148,train,2.845469,,,,,,,
149,train,2.462026,,,,,,,
150,train,3.636527,,,,,,,
151,train,2.659362,,,,,,,
152,train,2.673198,,,,,,,
153,train,3.039302,,,,,,,
154,train,1.850006,,,,,,,
