epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.632761,,,,,,,start
1,train,0.529799,,,,,,,
2,train,0.687043,,,,,,,
3,train,0.559831,,,,,,,
4,train,0.608357,,,,,,,
5,train,0.626778,,,,,,,
6,train,0.591886,,,,,,,
7,train,0.511497,,,,,,,
8,train,0.553599,,,,,,,
9,train,0.596976,,,,,,,
10,train,0.425774,,,,,,,
11,train,0.605033,,,,,,,
12,train,0.505693,,,,,,,
13,train,0.604936,,,,,,,
14,train,0.435360,,,,,,,
15,train,0.613081,,,,,,,
16,train,0.519678,,,,,,,
17,train,0.706950,,,,,,,
18,train,0.561726,,,,,,,
19,train,0.420056,,,,,,,
19,eval,,0.4992,0.0006,0.0006,0.4934,0.0062,0.4289,
20,train,0.497317,,,,,,,
21,train,0.497386,,,,,,,
22,train,0.649253,,,,,,,
23,train,0.498482,,,,,,,
24,train,0.596719,,,,,,,
25,train,0.587212,,,,,,,
26,train,0.635864,,,,,,,
27,train,0.715042,,,,,,,
28,train,0.418077,,,,,,,
29,train,0.545223,,,,,,,
30,train,0.599732,,,,,,,
31,train,0.721448,,,,,,,
32,train,0.714242,,,,,,,
33,train,0.511817,,,,,,,
34,train,0.434437,,,,,,,
35,train,0.410717,,,,,,,
36,train,0.507281,,,,,,,
37,train,0.627924,,,,,,,
38,train,0.583204,,,,,,,
39,train,0.563914,,,,,,,
39,eval,,0.5193,0.0007,0.0007,0.4743,0.0050,0.4098,
39,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_w5rho3_S03_stability_seed0/epoch_40.pt
40,train,0.615537,,,,,,,
41,train,0.643000,,,,,,,
42,train,0.414243,,,,,,,
43,train,0.506793,,,,,,,
44,train,0.446574,,,,,,,
45,train,0.599450,,,,,,,
46,train,0.531081,,,,,,,
47,train,0.467381,,,,,,,
48,train,0.469170,,,,,,,
49,train,0.570462,,,,,,,
50,train,0.526746,,,,,,,
51,train,0.526978,,,,,,,
52,train,0.656631,,,,,,,
53,train,0.391401,,,,,,,
54,train,0.412768,,,,,,,
55,train,0.309011,,,,,,,
56,train,0.473251,,,,,,,
57,train,0.518412,,,,,,,
58,train,0.377053,,,,,,,
59,train,0.470620,,,,,,,
59,eval,,0.5036,0.0006,0.0006,0.4923,0.0029,0.4278,
60,train,0.351364,,,,,,,
61,train,0.446238,,,,,,,
62,train,0.314295,,,,,,,
63,train,0.557726,,,,,,,
64,train,0.558821,,,,,,,
65,train,0.465822,,,,,,,
66,train,0.539680,,,,,,,
67,train,0.402232,,,,,,,
68,train,0.567658,,,,,,,
69,train,0.390384,,,,,,,
70,train,0.460101,,,,,,,
71,train,0.586074,,,,,,,
72,train,0.433094,,,,,,,
73,train,0.429119,,,,,,,
74,train,0.514222,,,,,,,
75,train,0.378114,,,,,,,
76,train,0.417898,,,,,,,
77,train,0.632173,,,,,,,
78,train,0.638024,,,,,,,
79,train,0.471240,,,,,,,
79,eval,,0.5112,0.0010,0.0011,0.4805,0.0062,0.4160,
79,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_w5rho3_S03_stability_seed0/epoch_80.pt
80,train,0.464098,,,,,,,
81,train,0.530834,,,,,,,
82,train,0.539292,,,,,,,
83,train,0.511425,,,,,,,
84,train,0.400903,,,,,,,
85,train,0.593188,,,,,,,
86,train,0.661470,,,,,,,
87,train,0.558718,,,,,,,
88,train,0.518148,,,,,,,
89,train,0.369118,,,,,,,
90,train,0.614763,,,,,,,
91,train,0.376205,,,,,,,
92,train,0.491037,,,,,,,
93,train,0.506079,,,,,,,
94,train,0.474050,,,,,,,
95,train,0.575972,,,,,,,
96,train,0.536690,,,,,,,
97,train,0.505897,,,,,,,
98,train,0.601398,,,,,,,
99,train,0.410945,,,,,,,
99,eval,,0.5084,0.0008,0.0013,0.4820,0.0075,0.4175,
100,train,0.567616,,,,,,,
