epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,39.321491,,,,,,,start
1,train,40.941551,,,,,,,
2,train,40.266151,,,,,,,
3,train,38.665886,,,,,,,
4,train,38.831734,,,,,,,
5,train,37.354374,,,,,,,
6,train,38.816486,,,,,,,
7,train,38.488724,,,,,,,
8,train,38.848145,,,,,,,
9,train,40.118816,,,,,,,
10,train,39.324173,,,,,,,
11,train,38.003349,,,,,,,
12,train,39.608452,,,,,,,
13,train,40.812679,,,,,,,
14,train,39.008842,,,,,,,
15,train,38.516586,,,,,,,
16,train,38.740677,,,,,,,
17,train,36.492912,,,,,,,
18,train,39.077984,,,,,,,
19,train,39.017784,,,,,,,
20,train,37.401287,,,,,,,
21,train,37.593460,,,,,,,
22,train,40.560905,,,,,,,
23,train,36.269592,,,,,,,
24,train,38.452614,,,,,,,
25,train,38.295570,,,,,,,
26,train,36.567863,,,,,,,
27,train,36.693371,,,,,,,
28,train,36.135723,,,,,,,
29,train,39.051453,,,,,,,
30,train,36.260178,,,,,,,
31,train,37.417934,,,,,,,
32,train,33.967995,,,,,,,
33,train,34.821503,,,,,,,
34,train,32.483383,,,,,,,
35,train,34.633369,,,,,,,
36,train,35.782955,,,,,,,
37,train,32.336781,,,,,,,
38,train,33.823929,,,,,,,
39,train,36.128258,,,,,,,
40,train,35.625824,,,,,,,
41,train,36.175625,,,,,,,
42,train,34.732513,,,,,,,
43,train,32.722290,,,,,,,
44,train,33.417938,,,,,,,
45,train,30.747528,,,,,,,
46,train,34.239529,,,,,,,
47,train,32.593239,,,,,,,
48,train,32.718513,,,,,,,
49,train,34.361633,,,,,,,
50,train,31.130222,,,,,,,
51,train,32.667511,,,,,,,
52,train,31.693737,,,,,,,
53,train,32.342407,,,,,,,
54,train,31.680750,,,,,,,
55,train,31.831623,,,,,,,
56,train,29.977055,,,,,,,
57,train,30.904610,,,,,,,
58,train,30.986919,,,,,,,
59,train,29.608692,,,,,,,
60,train,29.858524,,,,,,,
61,train,30.402203,,,,,,,
62,train,27.593338,,,,,,,
63,train,28.802032,,,,,,,
64,train,29.032711,,,,,,,
65,train,28.525713,,,,,,,
66,train,26.807264,,,,,,,
67,train,27.396122,,,,,,,
68,train,29.150993,,,,,,,
69,train,27.577669,,,,,,,
70,train,26.916420,,,,,,,
71,train,28.533924,,,,,,,
72,train,27.043489,,,,,,,
73,train,27.951427,,,,,,,
74,train,27.581392,,,,,,,
75,train,25.651615,,,,,,,
76,train,25.350033,,,,,,,
77,train,26.139158,,,,,,,
78,train,25.325623,,,,,,,
79,train,25.159901,,,,,,,
80,train,24.702221,,,,,,,
81,train,23.186110,,,,,,,
82,train,27.046463,,,,,,,
83,train,25.089863,,,,,,,
84,train,24.653723,,,,,,,
85,train,24.386730,,,,,,,
86,train,23.048468,,,,,,,
87,train,26.935995,,,,,,,
88,train,24.320423,,,,,,,
89,train,25.024870,,,,,,,
90,train,24.800392,,,,,,,
91,train,22.937401,,,,,,,
92,train,23.066751,,,,,,,
93,train,23.309566,,,,,,,
94,train,22.639217,,,,,,,
95,train,23.101742,,,,,,,
96,train,22.849312,,,,,,,
97,train,21.899742,,,,,,,
98,train,24.588493,,,,,,,
99,train,20.780077,,,,,,,
100,train,21.269102,,,,,,,
101,train,19.353756,,,,,,,
102,train,23.454538,,,,,,,
103,train,18.838127,,,,,,,
104,train,20.602657,,,,,,,
105,train,20.063580,,,,,,,
106,train,20.208956,,,,,,,
107,train,19.813217,,,,,,,
108,train,20.881767,,,,,,,
109,train,18.379616,,,,,,,
110,train,18.678406,,,,,,,
111,train,19.248775,,,,,,,
112,train,17.938053,,,,,,,
113,train,17.986074,,,,,,,
114,train,17.946384,,,,,,,
115,train,18.043530,,,,,,,
116,train,17.629158,,,,,,,
117,train,18.726542,,,,,,,
118,train,16.729740,,,,,,,
119,train,16.664440,,,,,,,
120,train,15.705158,,,,,,,
121,train,15.132613,,,,,,,
122,train,16.681580,,,,,,,
123,train,16.170212,,,,,,,
124,train,16.181643,,,,,,,
125,train,15.225833,,,,,,,
126,train,15.408148,,,,,,,
127,train,15.724097,,,,,,,
128,train,15.102978,,,,,,,
129,train,15.678976,,,,,,,
130,train,15.498544,,,,,,,
131,train,14.447777,,,,,,,
132,train,14.812987,,,,,,,
133,train,13.344873,,,,,,,
134,train,13.372203,,,,,,,
135,train,12.452909,,,,,,,
136,train,13.326982,,,,,,,
137,train,12.225504,,,,,,,
138,train,11.703741,,,,,,,
139,train,12.104111,,,,,,,
140,train,12.027784,,,,,,,
141,train,11.496233,,,,,,,
142,train,12.645364,,,,,,,
143,train,10.222435,,,,,,,
144,train,10.657747,,,,,,,
145,train,10.363902,,,,,,,
146,train,10.935534,,,,,,,
147,train,10.506246,,,,,,,
148,train,9.577768,,,,,,,
149,train,10.063646,,,,,,,
150,train,10.377106,,,,,,,
151,train,9.981158,,,,,,,
152,train,9.110368,,,,,,,
153,train,9.427416,,,,,,,
154,train,10.038086,,,,,,,
155,train,8.419378,,,,,,,
156,train,9.692821,,,,,,,
157,train,8.904387,,,,,,,
158,train,7.756912,,,,,,,
159,train,7.622953,,,,,,,
160,train,8.445593,,,,,,,
161,train,6.917805,,,,,,,
162,train,8.014418,,,,,,,
163,train,7.794599,,,,,,,
164,train,8.202667,,,,,,,
165,train,7.505833,,,,,,,
166,train,6.997602,,,,,,,
167,train,7.882476,,,,,,,
168,train,7.694610,,,,,,,
169,train,6.470773,,,,,,,
170,train,6.699449,,,,,,,
171,train,6.847036,,,,,,,
172,train,6.038341,,,,,,,
173,train,6.224432,,,,,,,
174,train,6.280962,,,,,,,
175,train,5.980163,,,,,,,
176,train,6.743758,,,,,,,
177,train,5.715327,,,,,,,
178,train,5.593935,,,,,,,
179,train,4.861263,,,,,,,
180,train,5.749533,,,,,,,
181,train,4.747834,,,,,,,
182,train,4.521909,,,,,,,
183,train,4.851367,,,,,,,
184,train,4.788478,,,,,,,
185,train,4.078125,,,,,,,
