epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.397793,,,,,,,start
1,train,0.557161,,,,,,,
2,train,0.383783,,,,,,,
3,train,0.437154,,,,,,,
4,train,0.794671,,,,,,,
5,train,0.595022,,,,,,,
6,train,0.695814,,,,,,,
7,train,0.456520,,,,,,,
8,train,0.647818,,,,,,,
9,train,0.565879,,,,,,,
10,train,0.666912,,,,,,,
11,train,0.480066,,,,,,,
12,train,0.663824,,,,,,,
13,train,0.452277,,,,,,,
14,train,0.368921,,,,,,,
15,train,0.455296,,,,,,,
16,train,0.461903,,,,,,,
17,train,0.402724,,,,,,,
18,train,0.387057,,,,,,,
19,train,0.492559,,,,,,,
19,eval,,0.0003,0.0011,0.0000,0.9986,0.0000,0.7986,
20,train,0.654552,,,,,,,
21,train,0.507290,,,,,,,
22,train,0.429239,,,,,,,
23,train,0.697839,,,,,,,
24,train,0.434597,,,,,,,
25,train,0.535740,,,,,,,
26,train,0.435803,,,,,,,
27,train,0.490418,,,,,,,
28,train,0.454947,,,,,,,
29,train,0.429105,,,,,,,
30,train,0.519677,,,,,,,
31,train,0.768314,,,,,,,
32,train,0.369551,,,,,,,
33,train,0.843762,,,,,,,
34,train,0.371620,,,,,,,
35,train,0.490099,,,,,,,
36,train,0.611843,,,,,,,
37,train,0.549828,,,,,,,
38,train,0.562682,,,,,,,
39,train,0.576492,,,,,,,
39,eval,,0.0005,0.0020,0.0000,0.9975,0.0000,0.7975,
40,train,0.402781,,,,,,,
41,train,0.902448,,,,,,,
42,train,0.472093,,,,,,,
43,train,0.407051,,,,,,,
44,train,0.408667,,,,,,,
45,train,0.674209,,,,,,,
46,train,0.359809,,,,,,,
47,train,0.712688,,,,,,,
48,train,0.819032,,,,,,,
49,train,0.414211,,,,,,,
50,train,0.447941,,,,,,,
51,train,0.502369,,,,,,,
52,train,0.587431,,,,,,,
53,train,0.720281,,,,,,,
54,train,0.411991,,,,,,,
55,train,0.466398,,,,,,,
56,train,0.712951,,,,,,,
57,train,0.556648,,,,,,,
58,train,0.749059,,,,,,,
59,train,0.308162,,,,,,,
59,eval,,0.0005,0.0021,0.0002,0.9972,0.0000,0.7972,
60,train,0.503537,,,,,,,
61,train,0.510659,,,,,,,
62,train,0.646851,,,,,,,
63,train,0.702698,,,,,,,
64,train,0.323151,,,,,,,
65,train,0.635609,,,,,,,
66,train,0.580363,,,,,,,
67,train,0.576534,,,,,,,
68,train,0.336830,,,,,,,
69,train,0.431548,,,,,,,
70,train,0.433182,,,,,,,
71,train,0.444976,,,,,,,
72,train,0.463779,,,,,,,
73,train,0.764903,,,,,,,
74,train,0.758556,,,,,,,
75,train,0.900815,,,,,,,
76,train,0.407700,,,,,,,
77,train,0.570886,,,,,,,
78,train,0.255934,,,,,,,
79,train,0.614160,,,,,,,
79,eval,,0.0001,0.0019,0.0005,0.9975,0.0000,0.7975,
80,train,0.658548,,,,,,,
81,train,0.464302,,,,,,,
82,train,0.584292,,,,,,,
83,train,0.504259,,,,,,,
84,train,0.521868,,,,,,,
85,train,0.514188,,,,,,,
86,train,0.419545,,,,,,,
87,train,0.575954,,,,,,,
