epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.403081,,,,,,,start
1,train,0.455114,,,,,,,
2,train,0.361555,,,,,,,
3,train,0.388180,,,,,,,
4,train,0.577293,,,,,,,
5,train,0.531261,,,,,,,
6,train,0.364033,,,,,,,
7,train,0.314447,,,,,,,
8,train,0.464682,,,,,,,
9,train,0.502157,,,,,,,
10,train,0.456067,,,,,,,
11,train,0.414881,,,,,,,
12,train,0.493745,,,,,,,
13,train,0.396450,,,,,,,
14,train,0.330549,,,,,,,
15,train,0.403295,,,,,,,
16,train,0.391976,,,,,,,
17,train,0.374311,,,,,,,
18,train,0.349734,,,,,,,
19,train,0.392494,,,,,,,
19,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
20,train,0.648269,,,,,,,
21,train,0.365301,,,,,,,
22,train,0.401498,,,,,,,
23,train,0.480699,,,,,,,
24,train,0.404409,,,,,,,
25,train,0.441313,,,,,,,
26,train,0.349541,,,,,,,
27,train,0.424564,,,,,,,
28,train,0.398787,,,,,,,
29,train,0.331056,,,,,,,
30,train,0.350717,,,,,,,
31,train,0.349646,,,,,,,
32,train,0.369283,,,,,,,
33,train,0.452063,,,,,,,
34,train,0.338519,,,,,,,
35,train,0.397866,,,,,,,
36,train,0.391465,,,,,,,
37,train,0.515509,,,,,,,
38,train,0.363972,,,,,,,
39,train,0.461938,,,,,,,
39,eval,,0.0001,0.9999,0.0000,0.0000,0.0000,0.7999,
40,train,0.366826,,,,,,,
41,train,0.384743,,,,,,,
42,train,0.495882,,,,,,,
43,train,0.374376,,,,,,,
44,train,0.369202,,,,,,,
45,train,0.378697,,,,,,,
46,train,0.317979,,,,,,,
47,train,0.417725,,,,,,,
48,train,0.351720,,,,,,,
49,train,0.301000,,,,,,,
50,train,0.379313,,,,,,,
51,train,0.507447,,,,,,,
52,train,0.515320,,,,,,,
53,train,0.420135,,,,,,,
54,train,0.370397,,,,,,,
55,train,0.327560,,,,,,,
56,train,0.454268,,,,,,,
57,train,0.393288,,,,,,,
58,train,0.415000,,,,,,,
59,train,0.269123,,,,,,,
59,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
60,train,0.443340,,,,,,,
61,train,0.427868,,,,,,,
62,train,0.387000,,,,,,,
63,train,0.350939,,,,,,,
64,train,0.305409,,,,,,,
65,train,0.451235,,,,,,,
66,train,0.530450,,,,,,,
67,train,0.410959,,,,,,,
68,train,0.333895,,,,,,,
69,train,0.370100,,,,,,,
