epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.546901,,,,,,,start
1,train,0.647257,,,,,,,
2,train,0.355405,,,,,,,
3,train,0.344619,,,,,,,
4,train,0.389827,,,,,,,
5,train,0.524704,,,,,,,
6,train,0.635665,,,,,,,
7,train,0.344655,,,,,,,
8,train,0.366182,,,,,,,
9,train,0.398453,,,,,,,
10,train,0.428419,,,,,,,
11,train,0.448517,,,,,,,
12,train,0.497860,,,,,,,
13,train,0.402080,,,,,,,
14,train,0.395691,,,,,,,
15,train,0.549347,,,,,,,
16,train,0.329835,,,,,,,
17,train,0.474814,,,,,,,
18,train,0.407907,,,,,,,
19,train,0.481342,,,,,,,
19,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
20,train,0.348526,,,,,,,
21,train,0.370838,,,,,,,
22,train,0.312016,,,,,,,
23,train,0.492877,,,,,,,
24,train,0.436395,,,,,,,
25,train,0.340484,,,,,,,
26,train,0.414005,,,,,,,
27,train,0.629540,,,,,,,
28,train,0.300936,,,,,,,
29,train,0.307407,,,,,,,
30,train,0.422754,,,,,,,
31,train,0.308063,,,,,,,
32,train,0.395316,,,,,,,
33,train,0.405992,,,,,,,
34,train,0.353530,,,,,,,
35,train,0.448675,,,,,,,
36,train,0.290509,,,,,,,
37,train,0.309209,,,,,,,
38,train,0.289084,,,,,,,
39,train,0.375020,,,,,,,
39,eval,,0.0001,0.9998,0.0001,0.0000,0.0000,0.7998,
40,train,0.398223,,,,,,,
41,train,0.356743,,,,,,,
42,train,0.438845,,,,,,,
43,train,0.366453,,,,,,,
44,train,0.432713,,,,,,,
45,train,0.405021,,,,,,,
46,train,0.369140,,,,,,,
47,train,0.418632,,,,,,,
48,train,0.416933,,,,,,,
49,train,0.352735,,,,,,,
50,train,0.424650,,,,,,,
51,train,0.425421,,,,,,,
52,train,0.459410,,,,,,,
53,train,0.355624,,,,,,,
54,train,0.594654,,,,,,,
55,train,0.524744,,,,,,,
56,train,0.307281,,,,,,,
57,train,0.423229,,,,,,,
58,train,0.655547,,,,,,,
59,train,0.429999,,,,,,,
59,eval,,0.0003,0.9996,0.0001,0.0000,0.0000,0.7996,
60,train,0.497637,,,,,,,
61,train,0.421053,,,,,,,
62,train,0.440685,,,,,,,
63,train,0.364460,,,,,,,
64,train,0.352295,,,,,,,
65,train,0.310445,,,,,,,
66,train,0.310869,,,,,,,
67,train,0.348741,,,,,,,
68,train,0.371423,,,,,,,
69,train,0.318959,,,,,,,
70,train,0.331233,,,,,,,
71,train,0.366593,,,,,,,
72,train,0.395751,,,,,,,
73,train,0.341159,,,,,,,
74,train,0.320828,,,,,,,
75,train,0.346129,,,,,,,
76,train,0.275676,,,,,,,
77,train,0.450154,,,,,,,
78,train,0.589172,,,,,,,
79,train,0.374389,,,,,,,
79,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
80,train,0.480992,,,,,,,
81,train,0.385265,,,,,,,
82,train,0.367469,,,,,,,
83,train,0.380467,,,,,,,
84,train,0.377034,,,,,,,
85,train,0.422870,,,,,,,
86,train,0.392905,,,,,,,
87,train,0.405434,,,,,,,
88,train,0.368816,,,,,,,
89,train,0.462021,,,,,,,
90,train,0.479745,,,,,,,
91,train,0.344751,,,,,,,
92,train,0.411344,,,,,,,
93,train,0.397662,,,,,,,
94,train,0.297695,,,,,,,
95,train,0.375039,,,,,,,
96,train,0.390690,,,,,,,
97,train,0.404980,,,,,,,
98,train,0.339972,,,,,,,
99,train,0.395515,,,,,,,
99,eval,,0.0001,0.9999,0.0000,0.0000,0.0000,0.7999,
100,train,0.361749,,,,,,,
101,train,0.382444,,,,,,,
