epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.404247,,,,,,,start
1,train,0.410020,,,,,,,
2,train,0.412740,,,,,,,
3,train,0.407312,,,,,,,
4,train,0.401542,,,,,,,
5,train,0.435295,,,,,,,
6,train,0.414992,,,,,,,
7,train,0.338752,,,,,,,
8,train,0.340281,,,,,,,
9,train,0.360373,,,,,,,
10,train,0.447240,,,,,,,
11,train,0.374814,,,,,,,
12,train,0.414157,,,,,,,
13,train,0.369042,,,,,,,
14,train,0.301096,,,,,,,
15,train,0.368973,,,,,,,
16,train,0.326046,,,,,,,
17,train,0.508340,,,,,,,
18,train,0.427780,,,,,,,
19,train,0.518112,,,,,,,
19,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.7419,
20,train,0.401296,,,,,,,
21,train,0.335743,,,,,,,
22,train,0.387702,,,,,,,
23,train,0.432842,,,,,,,
24,train,0.478003,,,,,,,
25,train,0.390789,,,,,,,
26,train,0.409769,,,,,,,
27,train,0.521903,,,,,,,
28,train,0.336654,,,,,,,
29,train,0.435663,,,,,,,
30,train,0.372991,,,,,,,
31,train,0.488780,,,,,,,
32,train,0.361349,,,,,,,
33,train,0.344108,,,,,,,
34,train,0.294318,,,,,,,
35,train,0.299117,,,,,,,
36,train,0.374365,,,,,,,
37,train,0.393842,,,,,,,
38,train,0.315416,,,,,,,
39,train,0.505754,,,,,,,
39,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.7419,
40,train,0.519287,,,,,,,
41,train,0.383345,,,,,,,
42,train,0.373612,,,,,,,
43,train,0.398617,,,,,,,
44,train,0.436954,,,,,,,
45,train,0.529072,,,,,,,
46,train,0.309031,,,,,,,
47,train,0.480712,,,,,,,
48,train,0.381042,,,,,,,
49,train,0.442452,,,,,,,
50,train,0.409333,,,,,,,
51,train,0.361757,,,,,,,
52,train,0.452054,,,,,,,
53,train,0.336955,,,,,,,
54,train,0.435563,,,,,,,
55,train,0.418388,,,,,,,
56,train,0.455378,,,,,,,
57,train,0.420814,,,,,,,
58,train,0.395463,,,,,,,
59,train,0.282939,,,,,,,
59,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.7419,
60,train,0.416717,,,,,,,
61,train,0.292667,,,,,,,
62,train,0.459120,,,,,,,
63,train,0.279287,,,,,,,
64,train,0.360514,,,,,,,
65,train,0.339963,,,,,,,
66,train,0.382199,,,,,,,
67,train,0.425752,,,,,,,
68,train,0.299023,,,,,,,
69,train,0.336316,,,,,,,
70,train,0.487355,,,,,,,
71,train,0.448330,,,,,,,
72,train,0.320048,,,,,,,
73,train,0.404754,,,,,,,
74,train,0.365069,,,,,,,
75,train,0.373255,,,,,,,
76,train,0.378167,,,,,,,
77,train,0.419367,,,,,,,
78,train,0.269024,,,,,,,
79,train,0.393714,,,,,,,
79,eval,,0.0001,0.9999,0.0000,0.0000,0.0000,0.7418,
80,train,0.373969,,,,,,,
81,train,0.395197,,,,,,,
82,train,0.503101,,,,,,,
83,train,0.448494,,,,,,,
84,train,0.360923,,,,,,,
85,train,0.455104,,,,,,,
86,train,0.252248,,,,,,,
87,train,0.398911,,,,,,,
88,train,0.360232,,,,,,,
89,train,0.375305,,,,,,,
90,train,0.368890,,,,,,,
91,train,0.288674,,,,,,,
92,train,0.388169,,,,,,,
93,train,0.372973,,,,,,,
94,train,0.372630,,,,,,,
95,train,0.493103,,,,,,,
96,train,0.372371,,,,,,,
97,train,0.295896,,,,,,,
98,train,0.345181,,,,,,,
99,train,0.281572,,,,,,,
99,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.7419,
100,train,0.466525,,,,,,,
101,train,0.376887,,,,,,,
102,train,0.326914,,,,,,,
103,train,0.274452,,,,,,,
104,train,0.256912,,,,,,,
105,train,0.276997,,,,,,,
106,train,0.324964,,,,,,,
107,train,0.287455,,,,,,,
108,train,0.394335,,,,,,,
109,train,0.363140,,,,,,,
110,train,0.421646,,,,,,,
111,train,0.367166,,,,,,,
112,train,0.412568,,,,,,,
113,train,0.335246,,,,,,,
114,train,0.335702,,,,,,,
115,train,0.402887,,,,,,,
116,train,0.445038,,,,,,,
117,train,0.378073,,,,,,,
118,train,0.418494,,,,,,,
119,train,0.385029,,,,,,,
119,eval,,0.0000,0.9999,0.0001,0.0000,0.0000,0.7418,
120,train,0.312006,,,,,,,
121,train,0.332641,,,,,,,
122,train,0.329285,,,,,,,
123,train,0.484560,,,,,,,
124,train,0.310164,,,,,,,
125,train,0.301652,,,,,,,
126,train,0.325145,,,,,,,
127,train,0.324178,,,,,,,
128,train,0.370560,,,,,,,
129,train,0.370608,,,,,,,
130,train,0.274627,,,,,,,
131,train,0.285625,,,,,,,
132,train,0.358112,,,,,,,
133,train,0.302563,,,,,,,
134,train,0.371686,,,,,,,
135,train,0.367680,,,,,,,
136,train,0.336704,,,,,,,
137,train,0.423146,,,,,,,
138,train,0.333546,,,,,,,
139,train,0.500692,,,,,,,
139,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.7419,
140,train,0.427098,,,,,,,
141,train,0.420776,,,,,,,
142,train,0.337824,,,,,,,
143,train,0.386634,,,,,,,
144,train,0.436298,,,,,,,
145,train,0.413929,,,,,,,
146,train,0.317668,,,,,,,
147,train,0.311269,,,,,,,
148,train,0.344889,,,,,,,
149,train,0.281564,,,,,,,
150,train,0.303477,,,,,,,
151,train,0.328938,,,,,,,
152,train,0.345564,,,,,,,
153,train,0.297233,,,,,,,
154,train,0.309410,,,,,,,
155,train,0.376875,,,,,,,
156,train,0.408924,,,,,,,
157,train,0.347014,,,,,,,
158,train,0.410251,,,,,,,
159,train,0.371214,,,,,,,
159,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.7419,
160,train,0.343822,,,,,,,
161,train,0.311627,,,,,,,
162,train,0.407951,,,,,,,
163,train,0.290881,,,,,,,
164,train,0.421337,,,,,,,
165,train,0.340261,,,,,,,
166,train,0.307259,,,,,,,
167,train,0.318839,,,,,,,
168,train,0.367806,,,,,,,
169,train,0.402924,,,,,,,
170,train,0.329183,,,,,,,
171,train,0.367643,,,,,,,
172,train,0.324333,,,,,,,
173,train,0.269289,,,,,,,
174,train,0.339531,,,,,,,
175,train,0.364845,,,,,,,
176,train,0.455081,,,,,,,
177,train,0.383344,,,,,,,
178,train,0.373853,,,,,,,
179,train,0.366803,,,,,,,
179,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.7419,
180,train,0.291208,,,,,,,
181,train,0.434445,,,,,,,
182,train,0.321513,,,,,,,
183,train,0.381781,,,,,,,
184,train,0.278232,,,,,,,
185,train,0.496236,,,,,,,
186,train,0.330688,,,,,,,
187,train,0.384598,,,,,,,
188,train,0.271277,,,,,,,
189,train,0.403864,,,,,,,
190,train,0.382026,,,,,,,
191,train,0.419056,,,,,,,
192,train,0.353831,,,,,,,
193,train,0.359245,,,,,,,
194,train,0.487995,,,,,,,
195,train,0.364036,,,,,,,
196,train,0.387722,,,,,,,
197,train,0.363345,,,,,,,
198,train,0.303650,,,,,,,
199,train,0.392274,,,,,,,
199,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.7419,
200,train,0.354691,,,,,,,
201,train,0.441612,,,,,,,
202,train,0.379918,,,,,,,
203,train,0.292743,,,,,,,
204,train,0.350549,,,,,,,
205,train,0.418211,,,,,,,
206,train,0.308179,,,,,,,
207,train,0.361654,,,,,,,
208,train,0.401097,,,,,,,
209,train,0.413055,,,,,,,
210,train,0.306339,,,,,,,
211,train,0.322277,,,,,,,
212,train,0.350531,,,,,,,
213,train,0.319184,,,,,,,
214,train,0.261413,,,,,,,
215,train,0.279349,,,,,,,
216,train,0.370569,,,,,,,
217,train,0.375508,,,,,,,
218,train,0.283570,,,,,,,
219,train,0.340379,,,,,,,
219,eval,,0.0001,0.9998,0.0001,0.0000,0.0000,0.7417,
220,train,0.392778,,,,,,,
221,train,0.345168,,,,,,,
222,train,0.377589,,,,,,,
223,train,0.329648,,,,,,,
224,train,0.379808,,,,,,,
225,train,0.386980,,,,,,,
226,train,0.373808,,,,,,,
227,train,0.267059,,,,,,,
228,train,0.320105,,,,,,,
229,train,0.328985,,,,,,,
230,train,0.391886,,,,,,,
231,train,0.330253,,,,,,,
232,train,0.257264,,,,,,,
233,train,0.348784,,,,,,,
234,train,0.367034,,,,,,,
235,train,0.397129,,,,,,,
236,train,0.351171,,,,,,,
237,train,0.393605,,,,,,,
238,train,0.392991,,,,,,,
239,train,0.303365,,,,,,,
239,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.7419,
240,train,0.314615,,,,,,,
241,train,0.385476,,,,,,,
242,train,0.317570,,,,,,,
243,train,0.356398,,,,,,,
244,train,0.356440,,,,,,,
245,train,0.281808,,,,,,,
246,train,0.399747,,,,,,,
247,train,0.421654,,,,,,,
248,train,0.379919,,,,,,,
249,train,0.406023,,,,,,,
250,train,0.297739,,,,,,,
251,train,0.379874,,,,,,,
252,train,0.342755,,,,,,,
253,train,0.275411,,,,,,,
254,train,0.299945,,,,,,,
255,train,0.298860,,,,,,,
256,train,0.337177,,,,,,,
257,train,0.326308,,,,,,,
258,train,0.362529,,,,,,,
259,train,0.243469,,,,,,,
259,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.7419,
260,train,0.255361,,,,,,,
261,train,0.339166,,,,,,,
262,train,0.382627,,,,,,,
263,train,0.373539,,,,,,,
264,train,0.311027,,,,,,,
265,train,0.298150,,,,,,,
266,train,0.637473,,,,,,,
267,train,0.315303,,,,,,,
268,train,0.316199,,,,,,,
269,train,0.319547,,,,,,,
270,train,0.505933,,,,,,,
271,train,0.351554,,,,,,,
272,train,0.317083,,,,,,,
273,train,0.312209,,,,,,,
274,train,0.284403,,,,,,,
275,train,0.361649,,,,,,,
276,train,0.316546,,,,,,,
277,train,0.304290,,,,,,,
278,train,0.358198,,,,,,,
279,train,0.386329,,,,,,,
279,eval,,0.0000,0.9999,0.0001,0.0000,0.0000,0.7418,
280,train,0.260943,,,,,,,
281,train,0.379062,,,,,,,
282,train,0.345225,,,,,,,
283,train,0.350136,,,,,,,
284,train,0.314138,,,,,,,
285,train,0.339044,,,,,,,
286,train,0.330190,,,,,,,
287,train,0.389930,,,,,,,
288,train,0.281379,,,,,,,
289,train,0.353800,,,,,,,
290,train,0.348716,,,,,,,
291,train,0.328043,,,,,,,
292,train,0.292201,,,,,,,
293,train,0.425076,,,,,,,
294,train,0.237409,,,,,,,
295,train,0.340431,,,,,,,
296,train,0.317026,,,,,,,
297,train,0.290902,,,,,,,
298,train,0.238358,,,,,,,
299,train,0.370106,,,,,,,
299,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.7419,
299,checkpoint,,,,,,,,saved result/checkpoints/goal5_as_w5_S1_eta1.5_seed4/epoch_300.pt
