epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.880351,,,,,,,start
1,train,0.600358,,,,,,,
2,train,0.389873,,,,,,,
3,train,0.510208,,,,,,,
4,train,0.703413,,,,,,,
5,train,0.509160,,,,,,,
6,train,0.502607,,,,,,,
7,train,0.487100,,,,,,,
8,train,0.456601,,,,,,,
9,train,0.447399,,,,,,,
10,train,0.369061,,,,,,,
11,train,0.434195,,,,,,,
12,train,0.399282,,,,,,,
13,train,0.382850,,,,,,,
14,train,0.414952,,,,,,,
15,train,0.477504,,,,,,,
16,train,0.438951,,,,,,,
17,train,0.450170,,,,,,,
18,train,0.426251,,,,,,,
19,train,0.420269,,,,,,,
19,eval,,0.0002,0.9994,0.0004,0.0000,0.0000,0.7994,
20,train,0.448559,,,,,,,
21,train,0.485261,,,,,,,
22,train,0.401153,,,,,,,
23,train,0.492777,,,,,,,
24,train,0.472774,,,,,,,
25,train,0.336177,,,,,,,
26,train,0.492169,,,,,,,
27,train,0.406032,,,,,,,
28,train,0.350343,,,,,,,
29,train,0.428418,,,,,,,
30,train,0.492689,,,,,,,
31,train,0.410667,,,,,,,
32,train,0.413457,,,,,,,
33,train,0.474541,,,,,,,
34,train,0.397806,,,,,,,
35,train,0.340828,,,,,,,
36,train,0.532710,,,,,,,
37,train,0.511640,,,,,,,
38,train,0.362510,,,,,,,
39,train,0.477783,,,,,,,
39,eval,,0.0000,0.9999,0.0001,0.0000,0.0000,0.7999,
40,train,0.566752,,,,,,,
41,train,0.440415,,,,,,,
42,train,0.564484,,,,,,,
43,train,0.400546,,,,,,,
44,train,0.430746,,,,,,,
45,train,0.411422,,,,,,,
46,train,0.438712,,,,,,,
47,train,0.390956,,,,,,,
48,train,0.421857,,,,,,,
49,train,0.328581,,,,,,,
50,train,0.633489,,,,,,,
51,train,0.857632,,,,,,,
52,train,0.660556,,,,,,,
53,train,0.686074,,,,,,,
54,train,0.460347,,,,,,,
55,train,0.426196,,,,,,,
56,train,0.538797,,,,,,,
57,train,0.322522,,,,,,,
58,train,0.349173,,,,,,,
59,train,0.432223,,,,,,,
59,eval,,0.0001,0.9999,0.0000,0.0000,0.0000,0.7999,
60,train,0.441567,,,,,,,
61,train,0.578835,,,,,,,
62,train,0.395799,,,,,,,
63,train,0.487247,,,,,,,
64,train,0.484236,,,,,,,
65,train,0.401638,,,,,,,
66,train,0.381303,,,,,,,
67,train,0.364435,,,,,,,
68,train,0.401026,,,,,,,
69,train,0.353429,,,,,,,
70,train,0.399302,,,,,,,
71,train,0.348752,,,,,,,
72,train,0.299001,,,,,,,
73,train,0.324273,,,,,,,
74,train,0.411558,,,,,,,
75,train,0.386896,,,,,,,
76,train,0.373616,,,,,,,
77,train,0.342169,,,,,,,
78,train,0.447801,,,,,,,
79,train,0.475707,,,,,,,
79,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
80,train,0.379638,,,,,,,
81,train,0.392963,,,,,,,
82,train,0.377997,,,,,,,
83,train,0.416061,,,,,,,
84,train,0.445965,,,,,,,
85,train,0.386072,,,,,,,
86,train,0.376345,,,,,,,
87,train,0.386855,,,,,,,
88,train,0.345437,,,,,,,
89,train,0.266597,,,,,,,
90,train,0.442195,,,,,,,
91,train,0.291974,,,,,,,
92,train,0.482661,,,,,,,
93,train,0.406231,,,,,,,
94,train,0.348233,,,,,,,
95,train,0.441509,,,,,,,
96,train,0.238060,,,,,,,
97,train,0.409520,,,,,,,
98,train,0.433052,,,,,,,
99,train,0.370512,,,,,,,
99,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
100,train,0.403634,,,,,,,
101,train,0.256079,,,,,,,
102,train,0.357764,,,,,,,
103,train,0.310338,,,,,,,
104,train,0.339241,,,,,,,
105,train,0.552855,,,,,,,
106,train,0.329246,,,,,,,
107,train,0.404164,,,,,,,
108,train,0.362085,,,,,,,
109,train,0.359675,,,,,,,
110,train,0.367837,,,,,,,
111,train,0.319745,,,,,,,
112,train,0.301816,,,,,,,
113,train,0.370599,,,,,,,
114,train,0.413903,,,,,,,
115,train,0.387054,,,,,,,
116,train,0.408370,,,,,,,
117,train,0.398603,,,,,,,
118,train,0.474802,,,,,,,
119,train,0.290288,,,,,,,
119,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
120,train,0.255562,,,,,,,
121,train,0.448505,,,,,,,
122,train,0.343341,,,,,,,
123,train,0.289925,,,,,,,
124,train,0.345535,,,,,,,
125,train,0.386557,,,,,,,
126,train,0.420832,,,,,,,
127,train,0.269924,,,,,,,
128,train,0.422917,,,,,,,
129,train,0.301960,,,,,,,
130,train,0.245261,,,,,,,
131,train,0.378414,,,,,,,
132,train,0.326386,,,,,,,
133,train,0.359731,,,,,,,
134,train,0.425481,,,,,,,
135,train,0.344929,,,,,,,
136,train,0.376296,,,,,,,
137,train,0.353905,,,,,,,
138,train,0.437711,,,,,,,
139,train,0.514457,,,,,,,
139,eval,,0.0000,0.9999,0.0001,0.0000,0.0000,0.7999,
140,train,0.352607,,,,,,,
141,train,0.668347,,,,,,,
142,train,0.305118,,,,,,,
143,train,0.332902,,,,,,,
144,train,0.345891,,,,,,,
145,train,0.319997,,,,,,,
146,train,0.325961,,,,,,,
147,train,0.351483,,,,,,,
148,train,0.359456,,,,,,,
149,train,0.362031,,,,,,,
150,train,0.327810,,,,,,,
151,train,0.347697,,,,,,,
152,train,0.301454,,,,,,,
153,train,0.368013,,,,,,,
154,train,0.362312,,,,,,,
155,train,0.339376,,,,,,,
156,train,0.390818,,,,,,,
157,train,0.324778,,,,,,,
158,train,0.302507,,,,,,,
159,train,0.446920,,,,,,,
159,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
160,train,0.319868,,,,,,,
161,train,0.423488,,,,,,,
162,train,0.351711,,,,,,,
163,train,0.385164,,,,,,,
164,train,0.414406,,,,,,,
165,train,0.444246,,,,,,,
166,train,0.308576,,,,,,,
167,train,0.345117,,,,,,,
168,train,0.363065,,,,,,,
169,train,0.339520,,,,,,,
170,train,0.344521,,,,,,,
171,train,0.364249,,,,,,,
172,train,0.356779,,,,,,,
173,train,0.396513,,,,,,,
174,train,0.313609,,,,,,,
175,train,0.369216,,,,,,,
176,train,0.464912,,,,,,,
177,train,0.354039,,,,,,,
178,train,0.330364,,,,,,,
179,train,0.345570,,,,,,,
179,eval,,0.0000,0.9999,0.0001,0.0000,0.0000,0.7999,
180,train,0.376977,,,,,,,
181,train,0.388397,,,,,,,
182,train,0.310112,,,,,,,
183,train,0.309758,,,,,,,
184,train,0.458179,,,,,,,
185,train,0.382399,,,,,,,
186,train,0.322167,,,,,,,
187,train,0.341732,,,,,,,
188,train,0.366281,,,,,,,
189,train,0.327951,,,,,,,
190,train,0.327251,,,,,,,
191,train,0.477671,,,,,,,
192,train,0.421390,,,,,,,
193,train,0.450559,,,,,,,
194,train,0.325488,,,,,,,
195,train,0.352298,,,,,,,
196,train,0.312644,,,,,,,
197,train,0.315022,,,,,,,
198,train,0.366182,,,,,,,
199,train,0.310629,,,,,,,
199,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
200,train,0.426803,,,,,,,
201,train,0.329689,,,,,,,
202,train,0.311792,,,,,,,
203,train,0.340664,,,,,,,
204,train,0.326367,,,,,,,
205,train,0.407477,,,,,,,
206,train,0.287573,,,,,,,
207,train,0.380528,,,,,,,
208,train,0.405763,,,,,,,
209,train,0.327350,,,,,,,
210,train,0.317490,,,,,,,
211,train,0.312823,,,,,,,
212,train,0.438371,,,,,,,
213,train,0.428974,,,,,,,
214,train,0.429630,,,,,,,
215,train,0.268281,,,,,,,
216,train,0.281977,,,,,,,
217,train,0.419197,,,,,,,
218,train,0.341592,,,,,,,
219,train,0.332074,,,,,,,
219,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
220,train,0.597735,,,,,,,
221,train,0.365251,,,,,,,
222,train,0.330251,,,,,,,
223,train,0.319414,,,,,,,
224,train,0.376242,,,,,,,
225,train,0.447756,,,,,,,
226,train,0.323818,,,,,,,
227,train,0.388246,,,,,,,
228,train,0.345063,,,,,,,
229,train,0.470499,,,,,,,
230,train,0.416693,,,,,,,
231,train,0.311936,,,,,,,
232,train,0.306710,,,,,,,
233,train,0.330824,,,,,,,
234,train,0.393733,,,,,,,
235,train,0.491863,,,,,,,
236,train,0.370933,,,,,,,
237,train,0.338633,,,,,,,
238,train,0.451349,,,,,,,
239,train,0.337635,,,,,,,
239,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
240,train,0.385080,,,,,,,
241,train,0.305146,,,,,,,
242,train,0.350334,,,,,,,
243,train,0.360339,,,,,,,
244,train,0.368450,,,,,,,
245,train,0.369543,,,,,,,
246,train,0.308907,,,,,,,
247,train,0.396035,,,,,,,
248,train,0.377692,,,,,,,
249,train,0.338492,,,,,,,
250,train,0.472235,,,,,,,
251,train,0.302840,,,,,,,
252,train,0.347049,,,,,,,
253,train,0.383049,,,,,,,
254,train,0.367013,,,,,,,
255,train,0.302754,,,,,,,
256,train,0.356076,,,,,,,
257,train,0.302893,,,,,,,
258,train,0.366357,,,,,,,
259,train,0.304445,,,,,,,
259,eval,,0.0000,0.9999,0.0001,0.0000,0.0000,0.7999,
260,train,0.322985,,,,,,,
261,train,0.331930,,,,,,,
262,train,0.314103,,,,,,,
263,train,0.264006,,,,,,,
264,train,0.418257,,,,,,,
265,train,0.330443,,,,,,,
266,train,0.304526,,,,,,,
267,train,0.396717,,,,,,,
268,train,0.452130,,,,,,,
269,train,0.415483,,,,,,,
270,train,0.332220,,,,,,,
271,train,0.347180,,,,,,,
272,train,0.350232,,,,,,,
273,train,0.342024,,,,,,,
274,train,0.376414,,,,,,,
275,train,0.342978,,,,,,,
276,train,0.368373,,,,,,,
277,train,0.322469,,,,,,,
278,train,0.306225,,,,,,,
279,train,0.375613,,,,,,,
279,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
280,train,0.366575,,,,,,,
281,train,0.374818,,,,,,,
282,train,0.261784,,,,,,,
283,train,0.328999,,,,,,,
284,train,0.284148,,,,,,,
285,train,0.307442,,,,,,,
286,train,0.333088,,,,,,,
287,train,0.386481,,,,,,,
288,train,0.363097,,,,,,,
289,train,0.366246,,,,,,,
290,train,0.327294,,,,,,,
291,train,0.371139,,,,,,,
292,train,0.325980,,,,,,,
293,train,0.420900,,,,,,,
294,train,0.432662,,,,,,,
295,train,0.299018,,,,,,,
296,train,0.386500,,,,,,,
297,train,0.280462,,,,,,,
298,train,0.345904,,,,,,,
299,train,0.331843,,,,,,,
299,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
299,checkpoint,,,,,,,,saved result/checkpoints/goal5_asbs_c5_S1_eta6_seed0/epoch_300.pt
