epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.794208,,,,,,,start
1,train,0.564586,,,,,,,
2,train,0.419548,,,,,,,
3,train,0.624232,,,,,,,
4,train,0.740790,,,,,,,
5,train,0.586272,,,,,,,
6,train,0.443359,,,,,,,
7,train,0.487140,,,,,,,
8,train,0.381074,,,,,,,
9,train,0.350274,,,,,,,
10,train,0.400784,,,,,,,
11,train,0.504366,,,,,,,
12,train,0.340173,,,,,,,
13,train,0.415598,,,,,,,
14,train,0.437799,,,,,,,
15,train,0.357010,,,,,,,
16,train,0.339939,,,,,,,
17,train,0.503697,,,,,,,
18,train,0.419948,,,,,,,
19,train,0.340940,,,,,,,
19,eval,,0.0000,0.0001,0.9998,0.0001,0.0000,0.8708,
20,train,0.421630,,,,,,,
21,train,0.427433,,,,,,,
22,train,0.452391,,,,,,,
23,train,0.273960,,,,,,,
24,train,0.425662,,,,,,,
25,train,0.405180,,,,,,,
26,train,0.363412,,,,,,,
27,train,0.421668,,,,,,,
28,train,0.410064,,,,,,,
29,train,0.432736,,,,,,,
30,train,0.488215,,,,,,,
31,train,0.374336,,,,,,,
32,train,0.408021,,,,,,,
33,train,0.445229,,,,,,,
34,train,0.587661,,,,,,,
35,train,0.464954,,,,,,,
36,train,0.373031,,,,,,,
37,train,0.467916,,,,,,,
38,train,0.583351,,,,,,,
39,train,0.439837,,,,,,,
39,eval,,0.0000,0.0002,0.9998,0.0000,0.0000,0.8708,
40,train,0.368630,,,,,,,
41,train,0.403181,,,,,,,
42,train,0.317724,,,,,,,
43,train,0.449973,,,,,,,
44,train,0.483334,,,,,,,
45,train,0.380756,,,,,,,
46,train,0.409816,,,,,,,
47,train,0.394686,,,,,,,
48,train,0.440721,,,,,,,
49,train,0.394576,,,,,,,
50,train,0.603012,,,,,,,
51,train,0.712632,,,,,,,
52,train,0.734213,,,,,,,
53,train,0.572462,,,,,,,
54,train,0.677580,,,,,,,
55,train,0.557505,,,,,,,
56,train,0.436043,,,,,,,
57,train,0.347602,,,,,,,
58,train,0.415085,,,,,,,
59,train,0.418357,,,,,,,
59,eval,,0.0000,0.0001,0.9999,0.0000,0.0000,0.8709,
60,train,0.386347,,,,,,,
61,train,0.630917,,,,,,,
