epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.883455,,,,,,,start
1,train,0.600463,,,,,,,
2,train,0.454695,,,,,,,
3,train,0.824559,,,,,,,
4,train,0.633498,,,,,,,
5,train,0.569485,,,,,,,
6,train,0.563250,,,,,,,
7,train,0.577139,,,,,,,
8,train,0.506314,,,,,,,
9,train,0.450741,,,,,,,
10,train,0.461486,,,,,,,
11,train,0.385709,,,,,,,
12,train,0.406201,,,,,,,
13,train,0.367708,,,,,,,
14,train,0.469791,,,,,,,
15,train,0.410551,,,,,,,
16,train,0.380260,,,,,,,
17,train,0.456569,,,,,,,
18,train,0.473879,,,,,,,
19,train,0.352026,,,,,,,
19,eval,,0.0000,0.0001,0.9999,0.0000,0.0000,0.8709,
20,train,0.351103,,,,,,,
21,train,0.381401,,,,,,,
22,train,0.344546,,,,,,,
23,train,0.331457,,,,,,,
24,train,0.408667,,,,,,,
25,train,0.572267,,,,,,,
26,train,0.476326,,,,,,,
27,train,0.311919,,,,,,,
28,train,0.368444,,,,,,,
29,train,0.383834,,,,,,,
30,train,0.409357,,,,,,,
31,train,0.465736,,,,,,,
32,train,0.465049,,,,,,,
33,train,0.428723,,,,,,,
34,train,0.352532,,,,,,,
35,train,0.359316,,,,,,,
36,train,0.391398,,,,,,,
37,train,0.306472,,,,,,,
38,train,0.540258,,,,,,,
39,train,0.399455,,,,,,,
39,eval,,0.0000,0.0000,0.9999,0.0001,0.0000,0.8709,
40,train,0.409408,,,,,,,
41,train,0.457070,,,,,,,
42,train,0.395974,,,,,,,
43,train,0.417721,,,,,,,
44,train,0.392694,,,,,,,
45,train,0.508873,,,,,,,
46,train,0.350466,,,,,,,
47,train,0.385486,,,,,,,
48,train,0.352220,,,,,,,
49,train,0.478118,,,,,,,
50,train,0.717896,,,,,,,
51,train,0.662469,,,,,,,
52,train,0.600503,,,,,,,
53,train,0.575145,,,,,,,
54,train,0.493673,,,,,,,
55,train,0.339278,,,,,,,
56,train,0.318278,,,,,,,
57,train,0.363747,,,,,,,
58,train,0.523449,,,,,,,
59,train,0.402941,,,,,,,
59,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8710,
60,train,0.479840,,,,,,,
61,train,0.391635,,,,,,,
62,train,0.460199,,,,,,,
63,train,0.400466,,,,,,,
64,train,0.358115,,,,,,,
65,train,0.416526,,,,,,,
66,train,0.340665,,,,,,,
67,train,0.302576,,,,,,,
68,train,0.272914,,,,,,,
69,train,0.402750,,,,,,,
70,train,0.358385,,,,,,,
71,train,0.359794,,,,,,,
72,train,0.332455,,,,,,,
73,train,0.427287,,,,,,,
74,train,0.392832,,,,,,,
75,train,0.352858,,,,,,,
76,train,0.301546,,,,,,,
77,train,0.370978,,,,,,,
78,train,0.342440,,,,,,,
79,train,0.352806,,,,,,,
79,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8710,
80,train,0.329628,,,,,,,
81,train,0.367171,,,,,,,
82,train,0.421096,,,,,,,
83,train,0.389656,,,,,,,
84,train,0.558411,,,,,,,
85,train,0.340975,,,,,,,
