epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.395448,,,,,,,start
1,train,72.565887,,,,,,,
2,train,45.662128,,,,,,,
3,train,10.049866,,,,,,,
4,train,4.869586,,,,,,,
5,train,3.494803,,,,,,,
6,train,2.284020,,,,,,,
7,train,2.874124,,,,,,,
8,train,3.647103,,,,,,,
9,train,0.821077,,,,,,,
10,train,1.328856,,,,,,,
11,train,0.792231,,,,,,,
12,train,0.709060,,,,,,,
13,train,0.989554,,,,,,,
14,train,0.467965,,,,,,,
15,train,0.986046,,,,,,,
16,train,1.179439,,,,,,,
17,train,0.914161,,,,,,,
18,train,0.686941,,,,,,,
19,train,0.919888,,,,,,,
19,eval,,0.0005,0.0026,0.0003,0.9966,0.0000,0.7966,
20,train,0.981984,,,,,,,
21,train,1.101662,,,,,,,
22,train,0.783188,,,,,,,
23,train,1.124925,,,,,,,
24,train,0.768014,,,,,,,
25,train,0.485354,,,,,,,
26,train,2.033215,,,,,,,
27,train,0.630364,,,,,,,
28,train,0.504034,,,,,,,
29,train,0.404021,,,,,,,
30,train,1.417210,,,,,,,
31,train,0.690341,,,,,,,
32,train,0.390690,,,,,,,
33,train,0.560632,,,,,,,
34,train,1.650310,,,,,,,
35,train,0.410023,,,,,,,
36,train,0.508279,,,,,,,
37,train,1.256878,,,,,,,
38,train,0.601266,,,,,,,
39,train,0.426482,,,,,,,
39,eval,,0.0000,0.0002,0.0001,0.9997,0.0000,0.7997,
40,train,0.504127,,,,,,,
41,train,0.561945,,,,,,,
42,train,0.493206,,,,,,,
43,train,0.326100,,,,,,,
44,train,0.864654,,,,,,,
45,train,0.981067,,,,,,,
46,train,0.745535,,,,,,,
47,train,0.274550,,,,,,,
48,train,0.572338,,,,,,,
49,train,0.872981,,,,,,,
50,train,0.613159,,,,,,,
51,train,0.793210,,,,,,,
52,train,0.542371,,,,,,,
53,train,0.952287,,,,,,,
54,train,0.585053,,,,,,,
55,train,0.478627,,,,,,,
56,train,0.582536,,,,,,,
57,train,0.431694,,,,,,,
58,train,0.522445,,,,,,,
59,train,0.168607,,,,,,,
59,eval,,0.0000,0.0002,0.0000,0.9998,0.0000,0.7998,
60,train,0.619185,,,,,,,
61,train,0.639579,,,,,,,
62,train,0.830485,,,,,,,
63,train,0.393110,,,,,,,
64,train,0.423608,,,,,,,
65,train,0.861027,,,,,,,
