epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.392530,,,,,,,start
1,train,0.695307,,,,,,,
2,train,0.465353,,,,,,,
3,train,0.433996,,,,,,,
4,train,0.364305,,,,,,,
5,train,0.433581,,,,,,,
6,train,0.534194,,,,,,,
7,train,0.539938,,,,,,,
8,train,0.667495,,,,,,,
9,train,0.543655,,,,,,,
10,train,0.585489,,,,,,,
11,train,0.429233,,,,,,,
12,train,0.682416,,,,,,,
13,train,0.803776,,,,,,,
14,train,0.459804,,,,,,,
15,train,0.555891,,,,,,,
16,train,0.476713,,,,,,,
17,train,0.426451,,,,,,,
18,train,0.426124,,,,,,,
19,train,0.402787,,,,,,,
19,eval,,0.0001,0.0020,0.0003,0.9976,0.0000,0.7976,
20,train,0.442135,,,,,,,
21,train,0.411246,,,,,,,
22,train,0.383053,,,,,,,
23,train,0.444959,,,,,,,
24,train,0.519533,,,,,,,
25,train,0.948163,,,,,,,
26,train,0.479980,,,,,,,
27,train,0.430675,,,,,,,
28,train,0.602724,,,,,,,
29,train,0.341427,,,,,,,
30,train,0.390120,,,,,,,
31,train,1.200886,,,,,,,
32,train,0.764535,,,,,,,
33,train,0.356674,,,,,,,
34,train,0.500730,,,,,,,
35,train,0.458026,,,,,,,
36,train,0.503100,,,,,,,
37,train,0.401220,,,,,,,
38,train,0.440459,,,,,,,
39,train,0.726033,,,,,,,
39,eval,,0.0002,0.0014,0.0003,0.9981,0.0000,0.7981,
40,train,0.517108,,,,,,,
41,train,0.732945,,,,,,,
42,train,0.411149,,,,,,,
43,train,0.519521,,,,,,,
44,train,1.018387,,,,,,,
45,train,0.623618,,,,,,,
46,train,0.687139,,,,,,,
47,train,0.341002,,,,,,,
48,train,0.361273,,,,,,,
49,train,0.545385,,,,,,,
50,train,0.369687,,,,,,,
51,train,0.382808,,,,,,,
52,train,0.739034,,,,,,,
53,train,0.945831,,,,,,,
54,train,0.594824,,,,,,,
55,train,0.443425,,,,,,,
56,train,0.407024,,,,,,,
57,train,0.647778,,,,,,,
58,train,0.321110,,,,,,,
59,train,0.584889,,,,,,,
