epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.588885,,,,,,,start
1,train,0.587993,,,,,,,
2,train,0.406023,,,,,,,
3,train,0.350370,,,,,,,
4,train,0.460948,,,,,,,
5,train,0.351349,,,,,,,
6,train,0.672997,,,,,,,
7,train,0.323506,,,,,,,
8,train,0.491443,,,,,,,
9,train,0.400777,,,,,,,
10,train,0.799376,,,,,,,
11,train,0.624794,,,,,,,
12,train,0.725327,,,,,,,
13,train,0.585313,,,,,,,
14,train,0.428703,,,,,,,
15,train,0.545154,,,,,,,
16,train,0.357214,,,,,,,
17,train,0.795180,,,,,,,
18,train,0.523508,,,,,,,
19,train,0.567270,,,,,,,
19,eval,,0.0002,0.0016,0.0002,0.9980,0.0000,0.7980,
20,train,0.365951,,,,,,,
21,train,0.584498,,,,,,,
22,train,0.296720,,,,,,,
23,train,0.434322,,,,,,,
24,train,0.528983,,,,,,,
25,train,0.341568,,,,,,,
26,train,0.509144,,,,,,,
27,train,1.065662,,,,,,,
28,train,0.321463,,,,,,,
29,train,0.307760,,,,,,,
30,train,0.471223,,,,,,,
31,train,0.387735,,,,,,,
32,train,0.434782,,,,,,,
33,train,0.721685,,,,,,,
34,train,0.388929,,,,,,,
35,train,0.601926,,,,,,,
36,train,0.442784,,,,,,,
37,train,0.339585,,,,,,,
38,train,0.676163,,,,,,,
39,train,0.539520,,,,,,,
39,eval,,0.0000,0.0014,0.0001,0.9985,0.0000,0.7985,
40,train,0.860684,,,,,,,
41,train,0.602242,,,,,,,
42,train,0.759627,,,,,,,
43,train,0.422551,,,,,,,
44,train,0.501851,,,,,,,
45,train,0.478007,,,,,,,
46,train,0.400829,,,,,,,
47,train,0.442424,,,,,,,
48,train,0.418872,,,,,,,
49,train,0.379110,,,,,,,
50,train,0.316164,,,,,,,
51,train,0.501792,,,,,,,
52,train,0.532831,,,,,,,
53,train,0.693704,,,,,,,
54,train,0.653736,,,,,,,
55,train,0.851185,,,,,,,
56,train,0.390366,,,,,,,
57,train,0.465160,,,,,,,
58,train,0.833480,,,,,,,
59,train,0.504494,,,,,,,
