epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.392530,,,,,,,start
1,train,12.684568,,,,,,,
2,train,17.126312,,,,,,,
3,train,16.169239,,,,,,,
4,train,6.490041,,,,,,,
5,train,0.915843,,,,,,,
6,train,1.519994,,,,,,,
7,train,2.704247,,,,,,,
8,train,3.490897,,,,,,,
9,train,3.094181,,,,,,,
10,train,2.312683,,,,,,,
11,train,0.849453,,,,,,,
12,train,0.614280,,,,,,,
13,train,1.000684,,,,,,,
14,train,1.323198,,,,,,,
15,train,1.729043,,,,,,,
16,train,1.392228,,,,,,,
17,train,0.850090,,,,,,,
18,train,0.705695,,,,,,,
19,train,0.677707,,,,,,,
19,eval,,0.0001,0.0008,0.0000,0.9991,0.0000,0.7991,
20,train,0.754199,,,,,,,
21,train,0.676978,,,,,,,
22,train,0.533300,,,,,,,
23,train,0.425743,,,,,,,
24,train,0.455320,,,,,,,
25,train,0.527079,,,,,,,
26,train,0.512232,,,,,,,
27,train,0.436588,,,,,,,
28,train,0.456809,,,,,,,
29,train,0.283228,,,,,,,
30,train,0.353944,,,,,,,
31,train,0.402990,,,,,,,
32,train,0.696325,,,,,,,
33,train,0.325877,,,,,,,
34,train,0.493455,,,,,,,
35,train,0.402831,,,,,,,
36,train,0.372873,,,,,,,
37,train,0.389391,,,,,,,
38,train,0.432090,,,,,,,
39,train,0.466197,,,,,,,
39,eval,,0.0000,0.0004,0.0003,0.9993,0.0000,0.7993,
40,train,0.446114,,,,,,,
41,train,0.365126,,,,,,,
42,train,0.386838,,,,,,,
43,train,0.412477,,,,,,,
44,train,0.383925,,,,,,,
45,train,0.521821,,,,,,,
46,train,0.475155,,,,,,,
47,train,0.360932,,,,,,,
48,train,0.338495,,,,,,,
49,train,0.388769,,,,,,,
50,train,0.342391,,,,,,,
51,train,0.331567,,,,,,,
52,train,0.507357,,,,,,,
53,train,0.392011,,,,,,,
54,train,0.403546,,,,,,,
55,train,0.416479,,,,,,,
56,train,0.359208,,,,,,,
57,train,0.405230,,,,,,,
58,train,0.417850,,,,,,,
59,train,0.332364,,,,,,,
59,eval,,0.0000,0.0000,0.0000,1.0000,0.0000,0.8000,
60,train,0.375444,,,,,,,
61,train,0.391352,,,,,,,
62,train,0.331996,,,,,,,
63,train,0.411029,,,,,,,
64,train,0.411917,,,,,,,
65,train,0.360615,,,,,,,
66,train,0.376508,,,,,,,
67,train,0.349839,,,,,,,
68,train,0.447073,,,,,,,
69,train,0.366960,,,,,,,
70,train,0.344797,,,,,,,
71,train,0.791663,,,,,,,
72,train,0.358514,,,,,,,
73,train,0.496458,,,,,,,
74,train,0.338728,,,,,,,
75,train,0.466882,,,,,,,
76,train,0.337930,,,,,,,
77,train,0.417318,,,,,,,
78,train,0.416876,,,,,,,
79,train,0.430067,,,,,,,
79,eval,,0.0000,0.0001,0.0000,0.9999,0.0000,0.7999,
80,train,0.343245,,,,,,,
81,train,0.348314,,,,,,,
82,train,0.373993,,,,,,,
83,train,0.367306,,,,,,,
84,train,0.434405,,,,,,,
85,train,0.460733,,,,,,,
86,train,0.404357,,,,,,,
87,train,0.447761,,,,,,,
88,train,0.432261,,,,,,,
89,train,0.424779,,,,,,,
90,train,0.423845,,,,,,,
91,train,0.311462,,,,,,,
92,train,0.364570,,,,,,,
93,train,0.287014,,,,,,,
94,train,0.422439,,,,,,,
95,train,0.333406,,,,,,,
96,train,0.352771,,,,,,,
97,train,0.362989,,,,,,,
98,train,0.385711,,,,,,,
99,train,0.442639,,,,,,,
99,eval,,0.0000,0.0000,0.0000,1.0000,0.0000,0.8000,
100,train,0.342717,,,,,,,
101,train,0.315755,,,,,,,
102,train,0.341664,,,,,,,
103,train,0.324957,,,,,,,
104,train,0.402262,,,,,,,
105,train,0.444395,,,,,,,
106,train,0.412258,,,,,,,
107,train,0.286252,,,,,,,
108,train,0.338168,,,,,,,
109,train,0.413314,,,,,,,
110,train,0.422951,,,,,,,
111,train,0.345240,,,,,,,
112,train,0.342325,,,,,,,
113,train,0.336524,,,,,,,
114,train,0.321871,,,,,,,
115,train,0.324277,,,,,,,
116,train,0.350766,,,,,,,
117,train,0.319078,,,,,,,
118,train,0.329868,,,,,,,
119,train,0.341663,,,,,,,
119,eval,,0.0000,0.0000,0.0000,0.9999,0.0001,0.7999,
120,train,0.331326,,,,,,,
121,train,0.337650,,,,,,,
122,train,0.367283,,,,,,,
123,train,0.452996,,,,,,,
124,train,0.308208,,,,,,,
125,train,0.328740,,,,,,,
126,train,0.366736,,,,,,,
127,train,0.399581,,,,,,,
128,train,0.325712,,,,,,,
129,train,0.330830,,,,,,,
130,train,0.349015,,,,,,,
131,train,0.329542,,,,,,,
132,train,0.350930,,,,,,,
133,train,0.392302,,,,,,,
134,train,0.393324,,,,,,,
135,train,0.356391,,,,,,,
136,train,0.401538,,,,,,,
137,train,0.321893,,,,,,,
138,train,0.341237,,,,,,,
139,train,0.455355,,,,,,,
139,eval,,0.0001,0.0007,0.0000,0.9990,0.0002,0.7990,
140,train,0.401360,,,,,,,
141,train,0.355623,,,,,,,
142,train,4.668368,,,,,,,
143,train,2.655865,,,,,,,
144,train,0.333530,,,,,,,
145,train,0.481537,,,,,,,
146,train,0.348939,,,,,,,
147,train,0.810022,,,,,,,
148,train,0.306618,,,,,,,
149,train,0.303042,,,,,,,
150,train,0.310068,,,,,,,
151,train,0.392157,,,,,,,
152,train,0.317188,,,,,,,
153,train,0.393231,,,,,,,
154,train,0.355644,,,,,,,
155,train,0.344518,,,,,,,
156,train,0.684250,,,,,,,
157,train,0.466478,,,,,,,
158,train,0.477266,,,,,,,
159,train,0.337567,,,,,,,
159,eval,,0.0000,0.0001,0.0000,0.9999,0.0000,0.7999,
160,train,0.381963,,,,,,,
161,train,0.402490,,,,,,,
162,train,0.312094,,,,,,,
163,train,0.367565,,,,,,,
164,train,0.420642,,,,,,,
165,train,0.394468,,,,,,,
166,train,0.352005,,,,,,,
167,train,0.336341,,,,,,,
168,train,0.357477,,,,,,,
169,train,0.372460,,,,,,,
170,train,0.409827,,,,,,,
171,train,0.346210,,,,,,,
172,train,0.381113,,,,,,,
173,train,0.363487,,,,,,,
174,train,0.294091,,,,,,,
175,train,0.294348,,,,,,,
176,train,0.374145,,,,,,,
177,train,0.399553,,,,,,,
178,train,0.280652,,,,,,,
179,train,0.320717,,,,,,,
179,eval,,0.0000,0.0000,0.0000,1.0000,0.0000,0.8000,
180,train,0.480221,,,,,,,
181,train,0.409794,,,,,,,
182,train,0.312240,,,,,,,
183,train,0.349862,,,,,,,
184,train,0.313587,,,,,,,
185,train,0.272732,,,,,,,
186,train,0.306130,,,,,,,
187,train,0.371131,,,,,,,
188,train,0.382937,,,,,,,
189,train,0.390642,,,,,,,
190,train,0.417360,,,,,,,
191,train,0.428448,,,,,,,
192,train,0.341771,,,,,,,
193,train,0.425671,,,,,,,
194,train,0.377753,,,,,,,
195,train,0.321924,,,,,,,
196,train,0.331030,,,,,,,
197,train,0.285434,,,,,,,
198,train,0.374254,,,,,,,
199,train,0.358241,,,,,,,
199,eval,,0.0000,0.0000,0.0000,1.0000,0.0000,0.8000,
200,train,0.351306,,,,,,,
201,train,0.410403,,,,,,,
202,train,0.370777,,,,,,,
203,train,0.311855,,,,,,,
204,train,0.340133,,,,,,,
205,train,0.311340,,,,,,,
206,train,0.330019,,,,,,,
207,train,0.423176,,,,,,,
208,train,0.439755,,,,,,,
209,train,0.436965,,,,,,,
210,train,0.406478,,,,,,,
211,train,0.344978,,,,,,,
212,train,0.380148,,,,,,,
213,train,0.433567,,,,,,,
214,train,0.390215,,,,,,,
215,train,0.315244,,,,,,,
216,train,0.296528,,,,,,,
217,train,0.326475,,,,,,,
218,train,0.315956,,,,,,,
219,train,0.240964,,,,,,,
219,eval,,0.0000,0.0000,0.0000,1.0000,0.0000,0.8000,
220,train,0.345846,,,,,,,
221,train,0.363737,,,,,,,
222,train,0.368639,,,,,,,
223,train,0.343529,,,,,,,
224,train,0.413261,,,,,,,
225,train,0.366419,,,,,,,
226,train,0.352766,,,,,,,
227,train,0.363953,,,,,,,
228,train,0.334324,,,,,,,
229,train,0.304288,,,,,,,
230,train,0.321986,,,,,,,
231,train,0.291017,,,,,,,
232,train,0.401707,,,,,,,
233,train,0.337874,,,,,,,
234,train,0.381132,,,,,,,
235,train,0.488023,,,,,,,
236,train,0.287267,,,,,,,
237,train,0.271032,,,,,,,
238,train,0.403478,,,,,,,
239,train,0.429392,,,,,,,
239,eval,,0.0000,0.0000,0.0000,1.0000,0.0000,0.8000,
240,train,0.356089,,,,,,,
241,train,0.321584,,,,,,,
242,train,0.297508,,,,,,,
243,train,0.313189,,,,,,,
244,train,0.281462,,,,,,,
245,train,0.354073,,,,,,,
246,train,0.336816,,,,,,,
247,train,0.295640,,,,,,,
248,train,0.348470,,,,,,,
249,train,0.405139,,,,,,,
250,train,0.425152,,,,,,,
251,train,0.305613,,,,,,,
252,train,0.281493,,,,,,,
253,train,0.325995,,,,,,,
