epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.873778,,,,,,,start
1,train,0.357258,,,,,,,
2,train,0.463082,,,,,,,
3,train,0.865960,,,,,,,
4,train,0.640385,,,,,,,
5,train,0.462217,,,,,,,
6,train,0.514078,,,,,,,
7,train,0.369951,,,,,,,
8,train,0.432497,,,,,,,
9,train,0.444320,,,,,,,
10,train,0.552083,,,,,,,
11,train,0.547427,,,,,,,
12,train,0.519394,,,,,,,
13,train,0.396542,,,,,,,
14,train,0.622120,,,,,,,
15,train,0.469801,,,,,,,
16,train,0.456284,,,,,,,
17,train,0.710189,,,,,,,
18,train,0.511006,,,,,,,
19,train,0.836609,,,,,,,
19,eval,,0.0001,0.0013,0.0003,0.9983,0.0000,0.7983,
20,train,1.131016,,,,,,,
21,train,0.794422,,,,,,,
22,train,0.462099,,,,,,,
23,train,0.617058,,,,,,,
24,train,0.691580,,,,,,,
25,train,0.502707,,,,,,,
26,train,0.921405,,,,,,,
27,train,0.457547,,,,,,,
28,train,0.707095,,,,,,,
29,train,1.017687,,,,,,,
30,train,0.484822,,,,,,,
31,train,0.555306,,,,,,,
32,train,0.576762,,,,,,,
33,train,0.518647,,,,,,,
34,train,0.398080,,,,,,,
35,train,0.373605,,,,,,,
36,train,0.512491,,,,,,,
37,train,0.573662,,,,,,,
38,train,0.451071,,,,,,,
39,train,0.525428,,,,,,,
39,eval,,0.0001,0.0010,0.0005,0.9984,0.0000,0.7984,
40,train,0.910558,,,,,,,
41,train,0.584180,,,,,,,
42,train,0.564929,,,,,,,
43,train,0.503124,,,,,,,
44,train,0.897184,,,,,,,
45,train,0.630621,,,,,,,
46,train,0.398984,,,,,,,
47,train,1.013954,,,,,,,
48,train,0.577527,,,,,,,
49,train,0.956665,,,,,,,
50,train,0.520704,,,,,,,
51,train,0.686043,,,,,,,
52,train,0.646741,,,,,,,
53,train,0.345186,,,,,,,
54,train,0.635544,,,,,,,
55,train,0.825457,,,,,,,
56,train,0.919257,,,,,,,
57,train,0.748850,,,,,,,
58,train,0.856317,,,,,,,
59,train,0.466075,,,,,,,
59,eval,,0.0002,0.0031,0.0011,0.9956,0.0000,0.7956,
60,train,1.083887,,,,,,,
61,train,0.666318,,,,,,,
62,train,0.730637,,,,,,,
63,train,0.861036,,,,,,,
64,train,0.774018,,,,,,,
65,train,1.018885,,,,,,,
66,train,0.888871,,,,,,,
67,train,0.825073,,,,,,,
68,train,0.434238,,,,,,,
69,train,0.627665,,,,,,,
70,train,0.691200,,,,,,,
71,train,1.288785,,,,,,,
72,train,0.741807,,,,,,,
73,train,0.914493,,,,,,,
74,train,0.725959,,,,,,,
75,train,0.674553,,,,,,,
76,train,0.517992,,,,,,,
77,train,0.728928,,,,,,,
78,train,0.342461,,,,,,,
79,train,0.675382,,,,,,,
79,eval,,0.0004,0.0031,0.0006,0.9959,0.0000,0.7959,
80,train,0.380085,,,,,,,
81,train,0.468782,,,,,,,
82,train,0.878389,,,,,,,
83,train,0.704427,,,,,,,
84,train,0.505267,,,,,,,
85,train,0.536246,,,,,,,
86,train,0.431395,,,,,,,
87,train,0.502841,,,,,,,
88,train,0.417733,,,,,,,
89,train,0.746700,,,,,,,
90,train,0.633540,,,,,,,
91,train,0.409953,,,,,,,
92,train,0.453976,,,,,,,
93,train,0.351668,,,,,,,
94,train,0.386148,,,,,,,
95,train,0.363377,,,,,,,
96,train,0.397135,,,,,,,
97,train,0.316332,,,,,,,
98,train,0.404875,,,,,,,
99,train,0.384404,,,,,,,
99,eval,,0.0003,0.0015,0.0001,0.9981,0.0000,0.7981,
100,train,0.988653,,,,,,,
101,train,1.174684,,,,,,,
102,train,0.548031,,,,,,,
103,train,0.483516,,,,,,,
104,train,0.365543,,,,,,,
105,train,0.587775,,,,,,,
106,train,0.417526,,,,,,,
107,train,0.715932,,,,,,,
108,train,0.981301,,,,,,,
109,train,0.771037,,,,,,,
110,train,0.649962,,,,,,,
111,train,0.711551,,,,,,,
112,train,1.482694,,,,,,,
113,train,0.922662,,,,,,,
114,train,0.884133,,,,,,,
115,train,1.094065,,,,,,,
116,train,0.863535,,,,,,,
117,train,0.756980,,,,,,,
118,train,0.636375,,,,,,,
119,train,0.744640,,,,,,,
119,eval,,0.0001,0.0036,0.0011,0.9952,0.0000,0.7952,
120,train,0.685079,,,,,,,
121,train,0.703328,,,,,,,
122,train,0.765200,,,,,,,
123,train,0.795521,,,,,,,
124,train,0.564204,,,,,,,
125,train,0.704380,,,,,,,
126,train,0.511346,,,,,,,
127,train,1.006950,,,,,,,
128,train,1.002089,,,,,,,
129,train,0.647107,,,,,,,
130,train,0.634995,,,,,,,
131,train,0.363093,,,,,,,
132,train,0.439859,,,,,,,
133,train,0.478441,,,,,,,
134,train,0.745479,,,,,,,
135,train,0.719617,,,,,,,
136,train,0.575556,,,,,,,
137,train,0.608031,,,,,,,
138,train,0.706099,,,,,,,
139,train,0.761179,,,,,,,
139,eval,,0.0002,0.0012,0.0003,0.9983,0.0000,0.7983,
140,train,0.745483,,,,,,,
141,train,0.511565,,,,,,,
142,train,0.605907,,,,,,,
143,train,0.468397,,,,,,,
144,train,0.444958,,,,,,,
145,train,0.523111,,,,,,,
146,train,0.382635,,,,,,,
147,train,0.422102,,,,,,,
148,train,0.570555,,,,,,,
149,train,0.301553,,,,,,,
150,train,0.356113,,,,,,,
151,train,0.459227,,,,,,,
152,train,0.385739,,,,,,,
153,train,0.435750,,,,,,,
154,train,0.535527,,,,,,,
155,train,0.450479,,,,,,,
156,train,0.396740,,,,,,,
157,train,0.734415,,,,,,,
158,train,0.491993,,,,,,,
159,train,0.498417,,,,,,,
159,eval,,0.0002,0.0004,0.0000,0.9994,0.0000,0.7994,
160,train,0.470586,,,,,,,
161,train,0.412652,,,,,,,
162,train,0.508946,,,,,,,
163,train,0.564009,,,,,,,
164,train,0.549322,,,,,,,
165,train,0.647868,,,,,,,
166,train,0.478246,,,,,,,
167,train,0.448118,,,,,,,
168,train,0.518579,,,,,,,
169,train,0.537857,,,,,,,
170,train,0.398796,,,,,,,
171,train,0.505672,,,,,,,
172,train,0.480114,,,,,,,
173,train,0.321883,,,,,,,
174,train,0.483362,,,,,,,
175,train,0.640419,,,,,,,
176,train,0.502308,,,,,,,
177,train,0.524946,,,,,,,
178,train,0.783888,,,,,,,
179,train,0.471553,,,,,,,
179,eval,,0.0000,0.0007,0.0003,0.9990,0.0000,0.7990,
180,train,0.399727,,,,,,,
181,train,0.550283,,,,,,,
182,train,0.349604,,,,,,,
183,train,0.526964,,,,,,,
184,train,0.429893,,,,,,,
185,train,0.523840,,,,,,,
186,train,0.418594,,,,,,,
187,train,0.533957,,,,,,,
188,train,0.321392,,,,,,,
189,train,0.461134,,,,,,,
190,train,0.538931,,,,,,,
191,train,0.462904,,,,,,,
192,train,0.441476,,,,,,,
193,train,0.662999,,,,,,,
194,train,0.649518,,,,,,,
195,train,0.511767,,,,,,,
196,train,0.563338,,,,,,,
197,train,0.436113,,,,,,,
198,train,0.486355,,,,,,,
199,train,0.454081,,,,,,,
199,eval,,0.0000,0.0008,0.0003,0.9988,0.0001,0.7988,
200,train,0.362402,,,,,,,
201,train,0.514163,,,,,,,
202,train,0.600252,,,,,,,
203,train,0.375672,,,,,,,
204,train,0.498075,,,,,,,
205,train,0.821076,,,,,,,
206,train,0.359210,,,,,,,
207,train,0.701326,,,,,,,
208,train,0.845684,,,,,,,
209,train,0.750084,,,,,,,
210,train,0.815829,,,,,,,
211,train,0.408334,,,,,,,
212,train,0.578396,,,,,,,
213,train,26.559149,,,,,,,
214,train,0.856751,,,,,,,
215,train,0.941809,,,,,,,
216,train,44.372036,,,,,,,
217,train,0.774023,,,,,,,
218,train,0.480906,,,,,,,
219,train,0.668295,,,,,,,
219,eval,,0.0004,0.0026,0.0007,0.9960,0.0003,0.7960,
220,train,1.073685,,,,,,,
221,train,0.759278,,,,,,,
222,train,0.465793,,,,,,,
223,train,0.554100,,,,,,,
224,train,0.574586,,,,,,,
225,train,0.610136,,,,,,,
226,train,0.433607,,,,,,,
227,train,0.442293,,,,,,,
228,train,0.682380,,,,,,,
229,train,0.716785,,,,,,,
230,train,0.566660,,,,,,,
231,train,0.462683,,,,,,,
232,train,0.561275,,,,,,,
233,train,0.680352,,,,,,,
234,train,0.502480,,,,,,,
235,train,0.586401,,,,,,,
236,train,0.697341,,,,,,,
237,train,0.670830,,,,,,,
238,train,0.449933,,,,,,,
239,train,0.499247,,,,,,,
239,eval,,0.0000,0.0012,0.0004,0.9984,0.0000,0.7984,
240,train,0.694575,,,,,,,
241,train,0.677612,,,,,,,
242,train,0.368986,,,,,,,
243,train,0.758864,,,,,,,
244,train,0.544692,,,,,,,
245,train,0.495216,,,,,,,
246,train,0.542686,,,,,,,
247,train,0.649567,,,,,,,
248,train,0.862899,,,,,,,
249,train,0.936606,,,,,,,
250,train,0.601311,,,,,,,
251,train,0.553983,,,,,,,
252,train,1.080325,,,,,,,
253,train,0.758468,,,,,,,
254,train,0.539743,,,,,,,
255,train,0.693279,,,,,,,
256,train,0.648368,,,,,,,
257,train,0.833697,,,,,,,
258,train,0.822753,,,,,,,
259,train,0.726741,,,,,,,
259,eval,,0.0026,0.0074,0.0022,0.9878,0.0000,0.7878,
260,train,0.767547,,,,,,,
261,train,0.683445,,,,,,,
262,train,0.602240,,,,,,,
263,train,0.918507,,,,,,,
264,train,0.789482,,,,,,,
265,train,0.614968,,,,,,,
266,train,0.534740,,,,,,,
267,train,0.400478,,,,,,,
268,train,0.575227,,,,,,,
269,train,0.468644,,,,,,,
270,train,0.606019,,,,,,,
271,train,0.562410,,,,,,,
272,train,0.451016,,,,,,,
273,train,0.375759,,,,,,,
274,train,0.305364,,,,,,,
275,train,0.468479,,,,,,,
276,train,0.349650,,,,,,,
277,train,0.392790,,,,,,,
278,train,0.451016,,,,,,,
