epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.366935,,,,,,,start
1,train,0.444259,,,,,,,
2,train,0.425631,,,,,,,
3,train,0.382833,,,,,,,
4,train,0.406318,,,,,,,
5,train,0.411274,,,,,,,
6,train,0.462370,,,,,,,
7,train,0.369433,,,,,,,
8,train,0.547143,,,,,,,
9,train,0.333241,,,,,,,
10,train,0.478145,,,,,,,
11,train,0.350167,,,,,,,
12,train,0.437998,,,,,,,
13,train,0.337546,,,,,,,
14,train,0.311144,,,,,,,
15,train,0.374546,,,,,,,
16,train,0.341455,,,,,,,
17,train,0.459756,,,,,,,
18,train,0.392819,,,,,,,
19,train,0.554256,,,,,,,
19,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.8000,
20,train,0.441526,,,,,,,
21,train,0.417975,,,,,,,
22,train,0.347313,,,,,,,
23,train,0.429463,,,,,,,
24,train,0.389335,,,,,,,
25,train,0.509134,,,,,,,
26,train,0.429917,,,,,,,
27,train,0.432099,,,,,,,
28,train,0.531837,,,,,,,
29,train,0.522188,,,,,,,
30,train,0.423147,,,,,,,
31,train,0.341682,,,,,,,
32,train,0.346438,,,,,,,
33,train,0.361954,,,,,,,
34,train,0.344823,,,,,,,
35,train,0.405186,,,,,,,
36,train,0.418958,,,,,,,
37,train,0.340358,,,,,,,
38,train,0.293377,,,,,,,
39,train,0.461607,,,,,,,
39,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.8000,
40,train,0.506136,,,,,,,
41,train,0.579959,,,,,,,
42,train,0.388618,,,,,,,
43,train,0.482925,,,,,,,
44,train,0.445315,,,,,,,
45,train,0.372621,,,,,,,
46,train,0.383109,,,,,,,
47,train,0.377048,,,,,,,
48,train,0.470150,,,,,,,
49,train,0.635490,,,,,,,
50,train,0.363363,,,,,,,
51,train,0.318217,,,,,,,
52,train,0.621038,,,,,,,
53,train,0.392299,,,,,,,
54,train,0.455356,,,,,,,
55,train,0.463715,,,,,,,
56,train,0.427765,,,,,,,
57,train,0.477709,,,,,,,
58,train,0.456968,,,,,,,
59,train,0.297782,,,,,,,
59,eval,,0.9999,0.0001,0.0000,0.0000,0.0000,0.7999,
60,train,0.458915,,,,,,,
61,train,0.356928,,,,,,,
62,train,0.354575,,,,,,,
63,train,0.376829,,,,,,,
64,train,0.387207,,,,,,,
65,train,0.405820,,,,,,,
66,train,0.408249,,,,,,,
67,train,0.462930,,,,,,,
68,train,0.326276,,,,,,,
69,train,0.341941,,,,,,,
70,train,0.438776,,,,,,,
71,train,0.488164,,,,,,,
72,train,0.387528,,,,,,,
73,train,0.404854,,,,,,,
74,train,0.437797,,,,,,,
75,train,0.362371,,,,,,,
76,train,0.391631,,,,,,,
77,train,0.392150,,,,,,,
78,train,0.323497,,,,,,,
79,train,0.372632,,,,,,,
79,eval,,0.9997,0.0002,0.0000,0.0000,0.0001,0.7997,
80,train,0.529762,,,,,,,
81,train,0.416082,,,,,,,
82,train,0.437083,,,,,,,
83,train,0.433700,,,,,,,
84,train,0.493717,,,,,,,
85,train,0.321278,,,,,,,
86,train,0.287895,,,,,,,
87,train,0.388074,,,,,,,
88,train,0.449900,,,,,,,
89,train,0.411137,,,,,,,
90,train,0.477866,,,,,,,
91,train,0.314394,,,,,,,
92,train,0.413345,,,,,,,
93,train,0.430510,,,,,,,
94,train,0.447621,,,,,,,
95,train,0.362889,,,,,,,
96,train,0.401928,,,,,,,
97,train,0.333833,,,,,,,
98,train,0.364696,,,,,,,
99,train,0.359786,,,,,,,
99,eval,,0.9998,0.0002,0.0000,0.0000,0.0000,0.7998,
100,train,0.550732,,,,,,,
101,train,0.443876,,,,,,,
102,train,0.369115,,,,,,,
103,train,0.302863,,,,,,,
104,train,0.383390,,,,,,,
105,train,0.305713,,,,,,,
106,train,0.316764,,,,,,,
107,train,0.367111,,,,,,,
108,train,0.374298,,,,,,,
109,train,0.430237,,,,,,,
110,train,0.409890,,,,,,,
111,train,0.441806,,,,,,,
112,train,0.512217,,,,,,,
113,train,0.459405,,,,,,,
114,train,0.331733,,,,,,,
115,train,0.394615,,,,,,,
116,train,0.402263,,,,,,,
117,train,0.596958,,,,,,,
118,train,0.422662,,,,,,,
119,train,0.403814,,,,,,,
119,eval,,0.9997,0.0002,0.0000,0.0000,0.0001,0.7997,
120,train,0.380871,,,,,,,
121,train,0.298383,,,,,,,
