epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.403081,,,,,,,start
1,train,0.434546,,,,,,,
2,train,0.351809,,,,,,,
3,train,0.400975,,,,,,,
4,train,0.540785,,,,,,,
5,train,0.506544,,,,,,,
6,train,0.359344,,,,,,,
7,train,0.338040,,,,,,,
8,train,0.491403,,,,,,,
9,train,0.504448,,,,,,,
10,train,0.448067,,,,,,,
11,train,0.427620,,,,,,,
12,train,0.494999,,,,,,,
13,train,0.395941,,,,,,,
14,train,0.332785,,,,,,,
15,train,0.417220,,,,,,,
16,train,0.414155,,,,,,,
17,train,0.371225,,,,,,,
18,train,0.328233,,,,,,,
19,train,0.409355,,,,,,,
19,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
20,train,0.635875,,,,,,,
21,train,0.366080,,,,,,,
22,train,0.411950,,,,,,,
23,train,0.509136,,,,,,,
24,train,0.441442,,,,,,,
25,train,0.454524,,,,,,,
26,train,0.366085,,,,,,,
27,train,0.460171,,,,,,,
28,train,0.417790,,,,,,,
29,train,0.354642,,,,,,,
30,train,0.361526,,,,,,,
31,train,0.370384,,,,,,,
32,train,0.389171,,,,,,,
33,train,0.476771,,,,,,,
34,train,0.357616,,,,,,,
35,train,0.407154,,,,,,,
36,train,0.400576,,,,,,,
37,train,0.522198,,,,,,,
38,train,0.382133,,,,,,,
39,train,0.470256,,,,,,,
39,eval,,0.0001,0.9999,0.0000,0.0000,0.0000,0.7999,
40,train,0.370449,,,,,,,
41,train,0.393283,,,,,,,
42,train,0.498173,,,,,,,
43,train,0.372418,,,,,,,
44,train,0.363444,,,,,,,
45,train,0.383617,,,,,,,
46,train,0.318048,,,,,,,
47,train,0.416951,,,,,,,
48,train,0.358591,,,,,,,
49,train,0.299588,,,,,,,
50,train,0.375845,,,,,,,
51,train,0.513620,,,,,,,
52,train,0.524029,,,,,,,
53,train,0.392349,,,,,,,
54,train,0.395965,,,,,,,
55,train,0.334060,,,,,,,
56,train,0.478676,,,,,,,
57,train,0.418867,,,,,,,
58,train,0.440611,,,,,,,
59,train,0.285466,,,,,,,
59,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
60,train,0.460855,,,,,,,
61,train,0.454235,,,,,,,
62,train,0.393903,,,,,,,
63,train,0.365992,,,,,,,
64,train,0.322284,,,,,,,
65,train,0.474436,,,,,,,
66,train,0.548784,,,,,,,
67,train,0.422572,,,,,,,
68,train,0.340798,,,,,,,
69,train,0.375751,,,,,,,
70,train,0.408715,,,,,,,
71,train,0.356386,,,,,,,
72,train,0.447370,,,,,,,
73,train,0.642251,,,,,,,
74,train,0.380116,,,,,,,
75,train,0.387740,,,,,,,
76,train,0.347713,,,,,,,
77,train,0.338562,,,,,,,
78,train,0.242581,,,,,,,
79,train,0.307726,,,,,,,
79,eval,,0.0001,0.9999,0.0000,0.0000,0.0000,0.7999,
80,train,0.401766,,,,,,,
81,train,0.348963,,,,,,,
82,train,0.348962,,,,,,,
83,train,0.385403,,,,,,,
84,train,0.348252,,,,,,,
85,train,0.469758,,,,,,,
86,train,0.349366,,,,,,,
87,train,0.357856,,,,,,,
88,train,0.474085,,,,,,,
89,train,0.371160,,,,,,,
90,train,0.371438,,,,,,,
91,train,0.436999,,,,,,,
92,train,0.321303,,,,,,,
93,train,0.323896,,,,,,,
94,train,0.303506,,,,,,,
95,train,0.490532,,,,,,,
96,train,0.390687,,,,,,,
97,train,0.309423,,,,,,,
98,train,0.362421,,,,,,,
99,train,0.385222,,,,,,,
99,eval,,0.0000,0.9999,0.0001,0.0000,0.0000,0.7999,
100,train,0.374732,,,,,,,
101,train,0.279465,,,,,,,
102,train,0.338869,,,,,,,
103,train,0.372796,,,,,,,
104,train,0.401983,,,,,,,
105,train,0.347313,,,,,,,
106,train,0.377714,,,,,,,
107,train,0.437265,,,,,,,
108,train,0.522258,,,,,,,
109,train,0.335110,,,,,,,
110,train,0.420503,,,,,,,
111,train,0.354261,,,,,,,
112,train,0.352215,,,,,,,
113,train,0.414243,,,,,,,
114,train,0.429652,,,,,,,
115,train,0.447772,,,,,,,
116,train,0.408543,,,,,,,
117,train,0.400922,,,,,,,
118,train,0.402016,,,,,,,
119,train,0.375727,,,,,,,
119,eval,,0.0000,0.9999,0.0001,0.0000,0.0000,0.7999,
120,train,0.457927,,,,,,,
121,train,0.490905,,,,,,,
122,train,0.460204,,,,,,,
123,train,0.376676,,,,,,,
124,train,0.248629,,,,,,,
125,train,0.395293,,,,,,,
126,train,0.345010,,,,,,,
127,train,0.319215,,,,,,,
128,train,0.316838,,,,,,,
129,train,0.291492,,,,,,,
130,train,0.412246,,,,,,,
131,train,0.397738,,,,,,,
132,train,0.364039,,,,,,,
133,train,0.439007,,,,,,,
134,train,0.378243,,,,,,,
135,train,0.444471,,,,,,,
136,train,0.326721,,,,,,,
137,train,0.431193,,,,,,,
138,train,0.433192,,,,,,,
139,train,0.369966,,,,,,,
139,eval,,0.0001,0.9998,0.0001,0.0000,0.0000,0.7998,
140,train,0.439724,,,,,,,
141,train,0.349360,,,,,,,
142,train,0.318270,,,,,,,
143,train,0.353815,,,,,,,
144,train,0.371660,,,,,,,
145,train,0.284777,,,,,,,
146,train,0.393288,,,,,,,
147,train,0.366637,,,,,,,
148,train,0.414067,,,,,,,
149,train,0.297114,,,,,,,
150,train,0.457037,,,,,,,
151,train,0.276271,,,,,,,
