epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.404247,,,,,,,start
1,train,3363.360840,,,,,,,
2,train,672.452637,,,,,,,
3,train,86.229149,,,,,,,
4,train,11.163996,,,,,,,
5,train,2.360672,,,,,,,
6,train,3.504559,,,,,,,
7,train,2.153519,,,,,,,
8,train,0.936762,,,,,,,
9,train,1.287079,,,,,,,
10,train,2.006481,,,,,,,
11,train,0.894160,,,,,,,
12,train,0.711804,,,,,,,
13,train,0.789488,,,,,,,
14,train,0.971797,,,,,,,
15,train,1.018572,,,,,,,
16,train,0.597173,,,,,,,
17,train,0.651722,,,,,,,
18,train,0.907851,,,,,,,
19,train,0.927109,,,,,,,
19,eval,,0.0004,0.9995,0.0001,0.0000,0.0000,0.7995,
20,train,0.695134,,,,,,,
21,train,0.745374,,,,,,,
22,train,0.944801,,,,,,,
23,train,0.720712,,,,,,,
24,train,0.526519,,,,,,,
25,train,0.544313,,,,,,,
26,train,0.687521,,,,,,,
27,train,0.679305,,,,,,,
28,train,0.683336,,,,,,,
29,train,0.559507,,,,,,,
30,train,0.471655,,,,,,,
31,train,0.501456,,,,,,,
32,train,0.484291,,,,,,,
33,train,0.340949,,,,,,,
34,train,0.330366,,,,,,,
35,train,0.408799,,,,,,,
36,train,0.421491,,,,,,,
37,train,463.172485,,,,,,,
38,train,0.512198,,,,,,,
39,train,0.545805,,,,,,,
39,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
40,train,0.641527,,,,,,,
41,train,0.387353,,,,,,,
42,train,0.421182,,,,,,,
43,train,0.427798,,,,,,,
44,train,0.431071,,,,,,,
45,train,0.402429,,,,,,,
46,train,0.379870,,,,,,,
47,train,0.440844,,,,,,,
48,train,0.510885,,,,,,,
49,train,0.604449,,,,,,,
50,train,0.436026,,,,,,,
51,train,0.428419,,,,,,,
52,train,0.546129,,,,,,,
53,train,0.374578,,,,,,,
54,train,0.526426,,,,,,,
55,train,0.513278,,,,,,,
56,train,0.492746,,,,,,,
57,train,0.526004,,,,,,,
58,train,0.585471,,,,,,,
59,train,0.350380,,,,,,,
