epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.355907,,,,,,,start
1,train,21.578810,,,,,,,
2,train,15.221605,,,,,,,
3,train,6.784711,,,,,,,
4,train,5.398440,,,,,,,
5,train,4.067747,,,,,,,
6,train,2.433901,,,,,,,
7,train,2.781728,,,,,,,
8,train,2.300412,,,,,,,
9,train,1.110475,,,,,,,
10,train,0.690883,,,,,,,
11,train,0.534140,,,,,,,
12,train,0.460957,,,,,,,
13,train,0.441630,,,,,,,
14,train,0.466717,,,,,,,
15,train,0.418237,,,,,,,
16,train,0.415521,,,,,,,
17,train,0.485056,,,,,,,
18,train,0.476169,,,,,,,
19,train,0.478617,,,,,,,
19,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
20,train,0.478891,,,,,,,
21,train,0.511285,,,,,,,
22,train,0.394259,,,,,,,
23,train,0.451183,,,,,,,
24,train,0.475730,,,,,,,
25,train,0.423853,,,,,,,
26,train,0.439425,,,,,,,
27,train,0.387522,,,,,,,
28,train,0.525642,,,,,,,
29,train,0.553726,,,,,,,
30,train,0.476232,,,,,,,
31,train,0.559560,,,,,,,
32,train,0.600309,,,,,,,
33,train,0.444004,,,,,,,
34,train,0.458365,,,,,,,
35,train,0.411626,,,,,,,
36,train,0.377635,,,,,,,
37,train,0.433736,,,,,,,
38,train,0.391273,,,,,,,
39,train,0.404043,,,,,,,
39,eval,,0.0000,0.0000,0.9987,0.0000,0.0013,0.7987,
40,train,9.005543,,,,,,,
41,train,0.491745,,,,,,,
42,train,0.427676,,,,,,,
43,train,0.401034,,,,,,,
44,train,0.392592,,,,,,,
45,train,0.390771,,,,,,,
46,train,0.394325,,,,,,,
47,train,0.384994,,,,,,,
48,train,0.408641,,,,,,,
49,train,0.390160,,,,,,,
50,train,0.366651,,,,,,,
51,train,0.449228,,,,,,,
52,train,0.480082,,,,,,,
53,train,0.819856,,,,,,,
54,train,0.376628,,,,,,,
55,train,0.370575,,,,,,,
56,train,0.373595,,,,,,,
57,train,0.384610,,,,,,,
58,train,0.450855,,,,,,,
59,train,0.422666,,,,,,,
59,eval,,0.0000,0.0001,0.9999,0.0000,0.0000,0.7999,
60,train,0.408499,,,,,,,
61,train,0.377277,,,,,,,
62,train,0.368416,,,,,,,
63,train,0.396990,,,,,,,
64,train,0.368961,,,,,,,
65,train,0.434364,,,,,,,
66,train,0.381646,,,,,,,
67,train,0.381567,,,,,,,
68,train,0.410803,,,,,,,
69,train,0.381857,,,,,,,
70,train,0.390436,,,,,,,
71,train,0.396502,,,,,,,
72,train,0.377154,,,,,,,
73,train,0.354142,,,,,,,
74,train,0.369451,,,,,,,
75,train,0.403209,,,,,,,
76,train,0.422707,,,,,,,
77,train,0.423208,,,,,,,
78,train,0.519186,,,,,,,
79,train,0.402557,,,,,,,
79,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
80,train,0.371313,,,,,,,
81,train,0.359260,,,,,,,
82,train,0.352883,,,,,,,
83,train,0.396081,,,,,,,
84,train,0.397123,,,,,,,
85,train,0.559290,,,,,,,
86,train,0.479004,,,,,,,
87,train,0.374577,,,,,,,
88,train,0.388210,,,,,,,
89,train,0.322348,,,,,,,
90,train,0.393640,,,,,,,
91,train,0.455011,,,,,,,
92,train,0.353514,,,,,,,
93,train,0.433757,,,,,,,
94,train,0.560095,,,,,,,
95,train,0.434453,,,,,,,
96,train,0.401881,,,,,,,
97,train,0.390596,,,,,,,
98,train,0.337227,,,,,,,
99,train,0.394069,,,,,,,
99,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
100,train,0.292017,,,,,,,
101,train,0.331212,,,,,,,
102,train,0.393765,,,,,,,
103,train,0.344046,,,,,,,
104,train,0.373062,,,,,,,
105,train,0.373599,,,,,,,
106,train,0.370566,,,,,,,
107,train,0.355330,,,,,,,
108,train,0.379655,,,,,,,
109,train,0.434805,,,,,,,
110,train,0.328059,,,,,,,
111,train,0.389314,,,,,,,
112,train,0.365996,,,,,,,
113,train,0.376370,,,,,,,
114,train,0.394265,,,,,,,
115,train,0.378019,,,,,,,
116,train,0.410744,,,,,,,
117,train,0.366867,,,,,,,
118,train,0.406381,,,,,,,
119,train,0.431825,,,,,,,
119,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
120,train,0.317762,,,,,,,
121,train,0.449786,,,,,,,
122,train,0.587448,,,,,,,
123,train,0.494783,,,,,,,
124,train,0.363493,,,,,,,
125,train,0.403855,,,,,,,
126,train,0.528687,,,,,,,
127,train,0.371757,,,,,,,
128,train,0.423685,,,,,,,
129,train,0.520810,,,,,,,
130,train,0.454800,,,,,,,
131,train,0.383853,,,,,,,
132,train,0.407928,,,,,,,
133,train,0.397254,,,,,,,
134,train,0.353012,,,,,,,
135,train,0.398757,,,,,,,
136,train,0.321015,,,,,,,
137,train,0.489659,,,,,,,
138,train,0.416138,,,,,,,
139,train,0.375573,,,,,,,
139,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
140,train,0.457314,,,,,,,
141,train,0.637443,,,,,,,
142,train,0.510136,,,,,,,
143,train,0.391817,,,,,,,
144,train,0.445494,,,,,,,
145,train,0.491537,,,,,,,
146,train,0.404044,,,,,,,
147,train,0.403664,,,,,,,
148,train,0.451207,,,,,,,
149,train,0.394375,,,,,,,
150,train,0.436335,,,,,,,
151,train,0.419565,,,,,,,
152,train,0.385014,,,,,,,
153,train,0.408712,,,,,,,
154,train,0.472523,,,,,,,
155,train,0.396470,,,,,,,
156,train,0.326525,,,,,,,
157,train,0.388775,,,,,,,
158,train,0.351954,,,,,,,
159,train,0.414515,,,,,,,
159,eval,,0.0001,0.0000,0.9999,0.0000,0.0000,0.7999,
160,train,0.517818,,,,,,,
161,train,0.362132,,,,,,,
162,train,0.449027,,,,,,,
163,train,0.493582,,,,,,,
164,train,0.425528,,,,,,,
165,train,0.351072,,,,,,,
166,train,0.315516,,,,,,,
167,train,0.344264,,,,,,,
168,train,0.388969,,,,,,,
169,train,0.429969,,,,,,,
170,train,0.370151,,,,,,,
171,train,0.449877,,,,,,,
172,train,0.506942,,,,,,,
173,train,0.475850,,,,,,,
