epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.383569,,,,,,,start
1,train,0.429458,,,,,,,
2,train,0.391510,,,,,,,
3,train,0.434756,,,,,,,
4,train,0.455687,,,,,,,
5,train,0.321622,,,,,,,
6,train,0.409595,,,,,,,
7,train,0.354833,,,,,,,
8,train,0.491634,,,,,,,
9,train,0.505756,,,,,,,
10,train,0.443406,,,,,,,
11,train,0.443923,,,,,,,
12,train,0.426167,,,,,,,
13,train,0.405246,,,,,,,
14,train,0.520898,,,,,,,
15,train,0.578209,,,,,,,
16,train,0.325735,,,,,,,
17,train,0.558136,,,,,,,
18,train,0.479767,,,,,,,
19,train,0.378640,,,,,,,
19,eval,,0.0000,0.0001,0.9998,0.0001,0.0000,0.7998,
20,train,0.298262,,,,,,,
21,train,0.448627,,,,,,,
22,train,0.452646,,,,,,,
23,train,0.451800,,,,,,,
24,train,0.392389,,,,,,,
25,train,0.527208,,,,,,,
26,train,0.693957,,,,,,,
27,train,0.599262,,,,,,,
28,train,0.314606,,,,,,,
29,train,0.453400,,,,,,,
30,train,0.535388,,,,,,,
31,train,0.315111,,,,,,,
32,train,0.577814,,,,,,,
33,train,0.486618,,,,,,,
34,train,0.539800,,,,,,,
35,train,0.471699,,,,,,,
36,train,0.351518,,,,,,,
37,train,0.477326,,,,,,,
38,train,0.410459,,,,,,,
39,train,0.412875,,,,,,,
39,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
40,train,0.425016,,,,,,,
41,train,0.435386,,,,,,,
42,train,0.523014,,,,,,,
43,train,0.404703,,,,,,,
44,train,0.365154,,,,,,,
45,train,0.599020,,,,,,,
46,train,0.426523,,,,,,,
47,train,0.402281,,,,,,,
48,train,0.425145,,,,,,,
49,train,0.431928,,,,,,,
50,train,0.327074,,,,,,,
51,train,0.414759,,,,,,,
52,train,0.444474,,,,,,,
53,train,0.447713,,,,,,,
54,train,0.478558,,,,,,,
55,train,0.533243,,,,,,,
56,train,0.403931,,,,,,,
57,train,0.465495,,,,,,,
58,train,0.538023,,,,,,,
59,train,0.508387,,,,,,,
59,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8000,
