epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.366935,,,,,,,start
1,train,0.444300,,,,,,,
2,train,0.422203,,,,,,,
3,train,0.385237,,,,,,,
4,train,0.410762,,,,,,,
5,train,0.411824,,,,,,,
6,train,0.462241,,,,,,,
7,train,0.373874,,,,,,,
8,train,0.544010,,,,,,,
9,train,0.350162,,,,,,,
10,train,0.471894,,,,,,,
11,train,0.365534,,,,,,,
12,train,0.438977,,,,,,,
13,train,0.339494,,,,,,,
14,train,0.306453,,,,,,,
15,train,0.378930,,,,,,,
16,train,0.347117,,,,,,,
17,train,0.460805,,,,,,,
18,train,0.389967,,,,,,,
19,train,0.554078,,,,,,,
19,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.4839,
20,train,0.445870,,,,,,,
21,train,0.419011,,,,,,,
22,train,0.343960,,,,,,,
23,train,0.438678,,,,,,,
24,train,0.386907,,,,,,,
25,train,0.494699,,,,,,,
26,train,0.432429,,,,,,,
27,train,0.431013,,,,,,,
28,train,0.510987,,,,,,,
29,train,0.511023,,,,,,,
30,train,0.414380,,,,,,,
31,train,0.338413,,,,,,,
32,train,0.341016,,,,,,,
33,train,0.359621,,,,,,,
34,train,0.327899,,,,,,,
35,train,0.378939,,,,,,,
36,train,0.400494,,,,,,,
37,train,0.374773,,,,,,,
38,train,0.296278,,,,,,,
39,train,0.451696,,,,,,,
39,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.4839,
40,train,0.493350,,,,,,,
41,train,0.582254,,,,,,,
42,train,0.367835,,,,,,,
43,train,0.449671,,,,,,,
44,train,0.441281,,,,,,,
45,train,0.386130,,,,,,,
46,train,0.377750,,,,,,,
47,train,0.379056,,,,,,,
48,train,0.446493,,,,,,,
49,train,0.640814,,,,,,,
50,train,0.378393,,,,,,,
51,train,0.315240,,,,,,,
52,train,0.574075,,,,,,,
53,train,0.390971,,,,,,,
54,train,0.455033,,,,,,,
55,train,0.432369,,,,,,,
56,train,0.421021,,,,,,,
57,train,0.466104,,,,,,,
58,train,0.433454,,,,,,,
59,train,0.296363,,,,,,,
59,eval,,0.9999,0.0001,0.0000,0.0000,0.0000,0.4838,
60,train,0.435199,,,,,,,
61,train,0.374590,,,,,,,
62,train,0.363671,,,,,,,
63,train,0.341815,,,,,,,
64,train,0.384592,,,,,,,
65,train,0.395924,,,,,,,
66,train,0.409279,,,,,,,
67,train,0.454130,,,,,,,
68,train,0.329032,,,,,,,
69,train,0.349741,,,,,,,
70,train,0.442626,,,,,,,
71,train,0.469932,,,,,,,
72,train,0.364754,,,,,,,
73,train,0.422611,,,,,,,
74,train,0.428662,,,,,,,
75,train,0.345479,,,,,,,
76,train,0.395900,,,,,,,
77,train,0.379741,,,,,,,
78,train,0.306356,,,,,,,
79,train,0.367570,,,,,,,
79,eval,,0.9998,0.0001,0.0000,0.0000,0.0001,0.4837,
80,train,0.495203,,,,,,,
81,train,0.406505,,,,,,,
82,train,0.426646,,,,,,,
83,train,0.431048,,,,,,,
84,train,0.442198,,,,,,,
85,train,0.301062,,,,,,,
86,train,0.268810,,,,,,,
87,train,0.382643,,,,,,,
88,train,0.408769,,,,,,,
89,train,0.387214,,,,,,,
90,train,0.430472,,,,,,,
91,train,0.303329,,,,,,,
92,train,0.404845,,,,,,,
93,train,0.379008,,,,,,,
94,train,0.426441,,,,,,,
95,train,0.337455,,,,,,,
96,train,0.379739,,,,,,,
97,train,0.311275,,,,,,,
98,train,0.363407,,,,,,,
99,train,0.330843,,,,,,,
99,eval,,0.9998,0.0002,0.0000,0.0000,0.0000,0.4837,
100,train,0.512744,,,,,,,
101,train,0.405741,,,,,,,
102,train,0.352763,,,,,,,
103,train,0.288377,,,,,,,
104,train,0.320750,,,,,,,
105,train,0.295947,,,,,,,
106,train,0.311257,,,,,,,
107,train,0.344453,,,,,,,
108,train,0.361814,,,,,,,
109,train,0.410861,,,,,,,
110,train,0.399722,,,,,,,
111,train,0.417396,,,,,,,
112,train,0.474381,,,,,,,
113,train,0.430720,,,,,,,
114,train,0.342754,,,,,,,
115,train,0.403825,,,,,,,
116,train,0.407941,,,,,,,
117,train,0.604423,,,,,,,
118,train,0.428257,,,,,,,
119,train,0.391025,,,,,,,
119,eval,,0.9998,0.0002,0.0000,0.0000,0.0000,0.4837,
120,train,0.372410,,,,,,,
121,train,0.290076,,,,,,,
122,train,0.347337,,,,,,,
123,train,0.433712,,,,,,,
124,train,0.296298,,,,,,,
125,train,0.314893,,,,,,,
126,train,0.318830,,,,,,,
127,train,0.368037,,,,,,,
128,train,0.462443,,,,,,,
129,train,0.400322,,,,,,,
130,train,0.285165,,,,,,,
131,train,0.318650,,,,,,,
132,train,0.351062,,,,,,,
133,train,0.310784,,,,,,,
134,train,0.360027,,,,,,,
135,train,0.319998,,,,,,,
136,train,0.330911,,,,,,,
137,train,0.339008,,,,,,,
138,train,0.412834,,,,,,,
139,train,0.459674,,,,,,,
139,eval,,0.9999,0.0000,0.0000,0.0000,0.0001,0.4838,
140,train,0.412121,,,,,,,
141,train,0.449385,,,,,,,
142,train,0.362145,,,,,,,
143,train,0.416035,,,,,,,
144,train,0.409113,,,,,,,
145,train,0.490947,,,,,,,
146,train,0.334932,,,,,,,
147,train,0.338718,,,,,,,
148,train,0.400922,,,,,,,
149,train,0.306766,,,,,,,
150,train,0.360665,,,,,,,
151,train,0.330356,,,,,,,
152,train,0.373918,,,,,,,
153,train,0.361977,,,,,,,
154,train,0.321113,,,,,,,
155,train,0.374706,,,,,,,
156,train,0.313347,,,,,,,
157,train,0.356928,,,,,,,
158,train,0.442160,,,,,,,
159,train,0.376242,,,,,,,
159,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.4839,
160,train,0.372511,,,,,,,
161,train,0.392075,,,,,,,
162,train,0.375112,,,,,,,
163,train,0.308956,,,,,,,
164,train,0.410074,,,,,,,
165,train,0.381936,,,,,,,
166,train,0.321143,,,,,,,
167,train,0.311337,,,,,,,
168,train,0.407440,,,,,,,
169,train,0.414159,,,,,,,
170,train,0.385301,,,,,,,
171,train,0.367977,,,,,,,
172,train,0.333580,,,,,,,
173,train,0.290743,,,,,,,
174,train,0.325670,,,,,,,
175,train,0.354005,,,,,,,
176,train,0.511652,,,,,,,
177,train,0.386460,,,,,,,
178,train,0.379780,,,,,,,
179,train,0.373412,,,,,,,
179,eval,,0.9999,0.0001,0.0000,0.0000,0.0000,0.4838,
180,train,0.279232,,,,,,,
181,train,0.403926,,,,,,,
182,train,0.340742,,,,,,,
183,train,0.389524,,,,,,,
184,train,0.283320,,,,,,,
185,train,0.380363,,,,,,,
186,train,0.332142,,,,,,,
187,train,0.443364,,,,,,,
188,train,0.295876,,,,,,,
189,train,0.459352,,,,,,,
190,train,0.374294,,,,,,,
191,train,0.439776,,,,,,,
192,train,0.352416,,,,,,,
193,train,0.326558,,,,,,,
194,train,0.472942,,,,,,,
195,train,0.376995,,,,,,,
196,train,0.385451,,,,,,,
197,train,0.348915,,,,,,,
198,train,0.321113,,,,,,,
199,train,0.339471,,,,,,,
199,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.4839,
200,train,0.357396,,,,,,,
201,train,0.416049,,,,,,,
202,train,0.355287,,,,,,,
203,train,0.345484,,,,,,,
204,train,0.340626,,,,,,,
205,train,0.385773,,,,,,,
206,train,0.331378,,,,,,,
207,train,0.382200,,,,,,,
208,train,0.373760,,,,,,,
209,train,0.398561,,,,,,,
210,train,0.286913,,,,,,,
211,train,0.294427,,,,,,,
212,train,0.400032,,,,,,,
213,train,0.292827,,,,,,,
214,train,0.283643,,,,,,,
215,train,0.291400,,,,,,,
216,train,0.429137,,,,,,,
217,train,0.392268,,,,,,,
218,train,0.277695,,,,,,,
219,train,0.292014,,,,,,,
219,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.4839,
220,train,0.353978,,,,,,,
221,train,0.387151,,,,,,,
222,train,0.376268,,,,,,,
