epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.369922,,,,,,,start
1,train,0.545409,,,,,,,
2,train,0.331426,,,,,,,
3,train,0.361942,,,,,,,
4,train,0.370934,,,,,,,
5,train,0.317202,,,,,,,
6,train,0.351574,,,,,,,
7,train,0.312948,,,,,,,
8,train,0.347460,,,,,,,
9,train,0.402286,,,,,,,
10,train,0.367433,,,,,,,
11,train,0.534363,,,,,,,
12,train,0.412905,,,,,,,
13,train,0.459824,,,,,,,
14,train,0.372792,,,,,,,
15,train,0.400185,,,,,,,
16,train,0.292285,,,,,,,
17,train,0.467460,,,,,,,
18,train,0.365630,,,,,,,
19,train,0.470448,,,,,,,
19,eval,,0.9998,0.0001,0.0000,0.0000,0.0001,0.4837,
20,train,0.364429,,,,,,,
21,train,0.279011,,,,,,,
22,train,0.328192,,,,,,,
23,train,0.407708,,,,,,,
24,train,0.452861,,,,,,,
25,train,0.335768,,,,,,,
26,train,0.383157,,,,,,,
27,train,0.450619,,,,,,,
28,train,0.278201,,,,,,,
29,train,0.325317,,,,,,,
30,train,0.400982,,,,,,,
31,train,0.388652,,,,,,,
32,train,0.461912,,,,,,,
33,train,0.260240,,,,,,,
34,train,0.338608,,,,,,,
35,train,0.440508,,,,,,,
36,train,0.355531,,,,,,,
37,train,0.324800,,,,,,,
38,train,0.293541,,,,,,,
39,train,0.358075,,,,,,,
39,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.4839,
40,train,0.376529,,,,,,,
41,train,0.339884,,,,,,,
42,train,0.382819,,,,,,,
43,train,0.550892,,,,,,,
44,train,0.362500,,,,,,,
45,train,0.455511,,,,,,,
46,train,0.340029,,,,,,,
47,train,0.389130,,,,,,,
48,train,0.395383,,,,,,,
49,train,0.355951,,,,,,,
50,train,0.300789,,,,,,,
51,train,0.441808,,,,,,,
52,train,0.439616,,,,,,,
53,train,0.344406,,,,,,,
54,train,0.389879,,,,,,,
55,train,0.369937,,,,,,,
56,train,0.318300,,,,,,,
57,train,0.527326,,,,,,,
58,train,0.495501,,,,,,,
59,train,0.436190,,,,,,,
59,eval,,0.9998,0.0002,0.0000,0.0000,0.0000,0.4837,
60,train,0.446918,,,,,,,
61,train,0.373038,,,,,,,
62,train,0.389182,,,,,,,
63,train,0.385941,,,,,,,
64,train,0.390480,,,,,,,
65,train,0.605850,,,,,,,
66,train,0.320078,,,,,,,
67,train,0.377190,,,,,,,
68,train,0.392612,,,,,,,
69,train,0.320815,,,,,,,
70,train,0.379037,,,,,,,
71,train,0.277697,,,,,,,
72,train,0.461865,,,,,,,
73,train,0.388791,,,,,,,
74,train,0.393005,,,,,,,
75,train,0.310261,,,,,,,
76,train,0.333906,,,,,,,
77,train,0.422523,,,,,,,
78,train,0.415198,,,,,,,
79,train,0.415062,,,,,,,
79,eval,,0.9998,0.0002,0.0000,0.0000,0.0000,0.4837,
80,train,0.459859,,,,,,,
81,train,0.365374,,,,,,,
82,train,0.601990,,,,,,,
83,train,0.375718,,,,,,,
84,train,0.372146,,,,,,,
85,train,0.549920,,,,,,,
86,train,0.404554,,,,,,,
87,train,0.424872,,,,,,,
88,train,0.362709,,,,,,,
89,train,0.384517,,,,,,,
90,train,0.540066,,,,,,,
91,train,0.353665,,,,,,,
92,train,0.408118,,,,,,,
93,train,0.520669,,,,,,,
94,train,0.341097,,,,,,,
95,train,0.389558,,,,,,,
96,train,0.407936,,,,,,,
97,train,0.511071,,,,,,,
98,train,0.380676,,,,,,,
99,train,0.417484,,,,,,,
99,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.4839,
100,train,0.436387,,,,,,,
101,train,0.475410,,,,,,,
102,train,0.260764,,,,,,,
103,train,0.498904,,,,,,,
104,train,0.473591,,,,,,,
105,train,0.368515,,,,,,,
106,train,0.390846,,,,,,,
107,train,0.537741,,,,,,,
108,train,0.370051,,,,,,,
109,train,0.339084,,,,,,,
110,train,0.416648,,,,,,,
111,train,0.343236,,,,,,,
112,train,0.386831,,,,,,,
113,train,0.645378,,,,,,,
114,train,0.333273,,,,,,,
115,train,0.497351,,,,,,,
116,train,0.326906,,,,,,,
117,train,0.439883,,,,,,,
118,train,0.391421,,,,,,,
119,train,0.473074,,,,,,,
119,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.4839,
120,train,0.363129,,,,,,,
121,train,0.374998,,,,,,,
122,train,0.385267,,,,,,,
123,train,0.433872,,,,,,,
124,train,0.373676,,,,,,,
125,train,0.405095,,,,,,,
126,train,0.368402,,,,,,,
127,train,0.401447,,,,,,,
128,train,0.388194,,,,,,,
129,train,0.261892,,,,,,,
130,train,0.406028,,,,,,,
131,train,0.391354,,,,,,,
132,train,0.431261,,,,,,,
133,train,0.421903,,,,,,,
134,train,0.435298,,,,,,,
135,train,0.425152,,,,,,,
136,train,0.405341,,,,,,,
137,train,0.384598,,,,,,,
138,train,0.423084,,,,,,,
139,train,0.372358,,,,,,,
139,eval,,0.9997,0.0001,0.0000,0.0000,0.0002,0.4836,
140,train,0.367635,,,,,,,
141,train,0.330844,,,,,,,
142,train,0.398232,,,,,,,
143,train,0.480578,,,,,,,
144,train,0.512317,,,,,,,
145,train,0.433220,,,,,,,
146,train,0.397326,,,,,,,
147,train,0.332150,,,,,,,
148,train,0.376072,,,,,,,
149,train,0.402442,,,,,,,
150,train,0.414502,,,,,,,
151,train,0.302312,,,,,,,
152,train,0.397675,,,,,,,
153,train,0.397538,,,,,,,
154,train,0.381592,,,,,,,
155,train,0.361675,,,,,,,
156,train,0.410527,,,,,,,
157,train,0.398126,,,,,,,
158,train,0.498465,,,,,,,
159,train,0.372352,,,,,,,
159,eval,,0.9999,0.0000,0.0000,0.0000,0.0001,0.4838,
160,train,0.390230,,,,,,,
161,train,0.435353,,,,,,,
162,train,0.420450,,,,,,,
163,train,0.449579,,,,,,,
164,train,0.388478,,,,,,,
165,train,0.333052,,,,,,,
166,train,0.325485,,,,,,,
167,train,0.344884,,,,,,,
168,train,0.408499,,,,,,,
169,train,0.674644,,,,,,,
170,train,0.433655,,,,,,,
171,train,0.373642,,,,,,,
172,train,0.388694,,,,,,,
173,train,0.401693,,,,,,,
174,train,0.566421,,,,,,,
175,train,0.355398,,,,,,,
176,train,0.353430,,,,,,,
177,train,0.303302,,,,,,,
178,train,0.397521,,,,,,,
179,train,0.474720,,,,,,,
179,eval,,0.9998,0.0000,0.0000,0.0000,0.0002,0.4837,
180,train,0.304943,,,,,,,
181,train,0.423347,,,,,,,
182,train,0.404700,,,,,,,
183,train,0.519269,,,,,,,
184,train,0.467405,,,,,,,
185,train,0.335730,,,,,,,
186,train,0.420792,,,,,,,
187,train,0.375520,,,,,,,
188,train,0.491409,,,,,,,
189,train,0.380345,,,,,,,
190,train,0.306709,,,,,,,
191,train,0.396315,,,,,,,
192,train,0.365633,,,,,,,
193,train,0.417558,,,,,,,
194,train,0.457025,,,,,,,
195,train,0.464881,,,,,,,
196,train,0.389912,,,,,,,
197,train,0.444303,,,,,,,
198,train,0.477709,,,,,,,
199,train,0.358619,,,,,,,
199,eval,,0.9999,0.0000,0.0000,0.0000,0.0001,0.4838,
200,train,0.439153,,,,,,,
201,train,0.420380,,,,,,,
202,train,0.395370,,,,,,,
203,train,0.246305,,,,,,,
204,train,0.387741,,,,,,,
205,train,0.434077,,,,,,,
206,train,0.333722,,,,,,,
207,train,0.362572,,,,,,,
208,train,0.327222,,,,,,,
209,train,0.467424,,,,,,,
210,train,0.419837,,,,,,,
211,train,0.560892,,,,,,,
212,train,0.433925,,,,,,,
213,train,0.403122,,,,,,,
214,train,0.417862,,,,,,,
215,train,0.402889,,,,,,,
216,train,0.361662,,,,,,,
217,train,0.361564,,,,,,,
218,train,0.376842,,,,,,,
219,train,0.372942,,,,,,,
219,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.4839,
220,train,0.569049,,,,,,,
221,train,0.393773,,,,,,,
222,train,0.360176,,,,,,,
223,train,0.400629,,,,,,,
224,train,0.375143,,,,,,,
225,train,0.366459,,,,,,,
226,train,0.539469,,,,,,,
227,train,0.331637,,,,,,,
228,train,0.431729,,,,,,,
229,train,0.395095,,,,,,,
230,train,0.392479,,,,,,,
231,train,0.368943,,,,,,,
232,train,0.399299,,,,,,,
233,train,0.364181,,,,,,,
234,train,0.345025,,,,,,,
235,train,0.369441,,,,,,,
236,train,0.382123,,,,,,,
237,train,0.382479,,,,,,,
238,train,0.423364,,,,,,,
239,train,0.500072,,,,,,,
239,eval,,0.9999,0.0000,0.0000,0.0000,0.0001,0.4838,
240,train,0.352670,,,,,,,
241,train,0.342021,,,,,,,
242,train,0.466097,,,,,,,
243,train,0.412057,,,,,,,
244,train,0.339845,,,,,,,
245,train,0.416933,,,,,,,
246,train,0.302334,,,,,,,
247,train,0.494765,,,,,,,
248,train,0.371405,,,,,,,
249,train,0.469369,,,,,,,
250,train,0.378083,,,,,,,
251,train,0.365094,,,,,,,
252,train,0.380533,,,,,,,
253,train,0.381044,,,,,,,
254,train,0.326604,,,,,,,
255,train,0.403327,,,,,,,
256,train,0.366598,,,,,,,
257,train,0.305354,,,,,,,
258,train,0.431174,,,,,,,
259,train,0.332794,,,,,,,
259,eval,,0.9998,0.0001,0.0000,0.0000,0.0001,0.4837,
260,train,0.355003,,,,,,,
261,train,0.453104,,,,,,,
262,train,0.399466,,,,,,,
263,train,0.341651,,,,,,,
264,train,0.412639,,,,,,,
265,train,0.484397,,,,,,,
266,train,0.483070,,,,,,,
267,train,0.515984,,,,,,,
268,train,0.560754,,,,,,,
269,train,0.386138,,,,,,,
270,train,0.419393,,,,,,,
271,train,0.368472,,,,,,,
272,train,0.350774,,,,,,,
273,train,0.340557,,,,,,,
274,train,0.327537,,,,,,,
275,train,0.348391,,,,,,,
276,train,0.374366,,,,,,,
277,train,0.512639,,,,,,,
278,train,0.373237,,,,,,,
279,train,0.451872,,,,,,,
279,eval,,0.9998,0.0000,0.0000,0.0000,0.0002,0.4837,
280,train,0.447354,,,,,,,
281,train,0.366064,,,,,,,
282,train,0.421150,,,,,,,
283,train,0.391979,,,,,,,
284,train,0.438232,,,,,,,
285,train,0.465950,,,,,,,
286,train,0.379561,,,,,,,
287,train,0.484661,,,,,,,
288,train,0.386076,,,,,,,
289,train,0.441792,,,,,,,
290,train,0.353586,,,,,,,
291,train,0.559282,,,,,,,
292,train,0.464913,,,,,,,
293,train,0.455116,,,,,,,
294,train,0.261204,,,,,,,
295,train,0.405276,,,,,,,
296,train,0.397870,,,,,,,
297,train,0.414939,,,,,,,
298,train,0.439695,,,,,,,
299,train,0.314396,,,,,,,
299,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.4839,
299,checkpoint,,,,,,,,saved result/checkpoints/goal5abl_as_w5_S0_opt_sgd_seed1/epoch_300.pt
