epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.397935,,,,,,,start
1,train,19.596102,,,,,,,
2,train,14.453442,,,,,,,
3,train,8.320595,,,,,,,
4,train,5.140924,,,,,,,
5,train,2.000465,,,,,,,
6,train,1.508505,,,,,,,
7,train,1.452532,,,,,,,
8,train,1.020538,,,,,,,
9,train,0.594971,,,,,,,
10,train,0.564891,,,,,,,
11,train,0.500943,,,,,,,
12,train,0.486555,,,,,,,
13,train,0.407375,,,,,,,
14,train,0.728944,,,,,,,
15,train,0.421305,,,,,,,
16,train,0.405019,,,,,,,
17,train,0.499808,,,,,,,
18,train,0.497861,,,,,,,
19,train,0.442270,,,,,,,
19,eval,,0.0000,0.0000,0.9999,0.0001,0.0000,0.8709,
20,train,0.377566,,,,,,,
21,train,0.416114,,,,,,,
22,train,0.443804,,,,,,,
23,train,0.504373,,,,,,,
24,train,0.440128,,,,,,,
25,train,0.466470,,,,,,,
26,train,0.444587,,,,,,,
27,train,0.495581,,,,,,,
28,train,0.364249,,,,,,,
29,train,0.548198,,,,,,,
30,train,0.666509,,,,,,,
31,train,0.486138,,,,,,,
32,train,0.599303,,,,,,,
33,train,0.649553,,,,,,,
34,train,0.491929,,,,,,,
35,train,0.498213,,,,,,,
36,train,0.566265,,,,,,,
37,train,0.406775,,,,,,,
38,train,0.372525,,,,,,,
39,train,0.458055,,,,,,,
39,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8710,
40,train,0.378428,,,,,,,
41,train,0.480688,,,,,,,
42,train,0.506002,,,,,,,
43,train,0.429546,,,,,,,
44,train,0.543777,,,,,,,
45,train,0.645923,,,,,,,
46,train,0.462767,,,,,,,
47,train,0.514543,,,,,,,
48,train,0.489041,,,,,,,
49,train,0.371892,,,,,,,
50,train,1.128111,,,,,,,
51,train,0.759939,,,,,,,
52,train,0.536144,,,,,,,
53,train,0.390898,,,,,,,
54,train,0.507421,,,,,,,
55,train,0.386130,,,,,,,
56,train,0.476690,,,,,,,
57,train,0.521525,,,,,,,
58,train,0.436092,,,,,,,
59,train,0.485003,,,,,,,
59,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8710,
60,train,0.605164,,,,,,,
61,train,0.419097,,,,,,,
62,train,0.423150,,,,,,,
63,train,0.512161,,,,,,,
64,train,0.314942,,,,,,,
65,train,0.397330,,,,,,,
66,train,0.491563,,,,,,,
67,train,0.406823,,,,,,,
68,train,0.337795,,,,,,,
69,train,0.394219,,,,,,,
70,train,0.375585,,,,,,,
71,train,0.411908,,,,,,,
72,train,0.515945,,,,,,,
73,train,0.382314,,,,,,,
74,train,0.445599,,,,,,,
75,train,0.423974,,,,,,,
76,train,0.353218,,,,,,,
77,train,0.501165,,,,,,,
78,train,0.526836,,,,,,,
79,train,0.439966,,,,,,,
79,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8710,
80,train,0.403258,,,,,,,
81,train,0.403912,,,,,,,
82,train,0.373646,,,,,,,
83,train,0.421870,,,,,,,
84,train,0.511941,,,,,,,
85,train,0.374686,,,,,,,
86,train,0.442397,,,,,,,
87,train,0.478408,,,,,,,
88,train,0.380525,,,,,,,
89,train,0.406918,,,,,,,
90,train,0.457980,,,,,,,
91,train,0.379917,,,,,,,
92,train,0.475135,,,,,,,
93,train,0.486766,,,,,,,
94,train,0.372168,,,,,,,
95,train,0.381817,,,,,,,
96,train,0.470948,,,,,,,
97,train,0.390539,,,,,,,
98,train,0.392758,,,,,,,
99,train,0.483467,,,,,,,
99,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8710,
100,train,0.454108,,,,,,,
101,train,0.429058,,,,,,,
102,train,0.440344,,,,,,,
103,train,0.353924,,,,,,,
104,train,0.378688,,,,,,,
105,train,0.459063,,,,,,,
106,train,0.372867,,,,,,,
107,train,0.466158,,,,,,,
108,train,0.464290,,,,,,,
109,train,0.405881,,,,,,,
110,train,0.422949,,,,,,,
111,train,0.456874,,,,,,,
112,train,0.353894,,,,,,,
113,train,0.470134,,,,,,,
114,train,0.425305,,,,,,,
115,train,0.405223,,,,,,,
116,train,0.400526,,,,,,,
117,train,0.467662,,,,,,,
118,train,0.383870,,,,,,,
119,train,0.420776,,,,,,,
119,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8710,
120,train,0.455714,,,,,,,
121,train,0.393207,,,,,,,
122,train,0.404676,,,,,,,
123,train,0.394055,,,,,,,
124,train,0.373603,,,,,,,
125,train,0.431642,,,,,,,
126,train,0.473722,,,,,,,
127,train,0.420739,,,,,,,
128,train,0.449957,,,,,,,
129,train,0.383782,,,,,,,
130,train,0.335319,,,,,,,
131,train,0.433543,,,,,,,
132,train,0.490924,,,,,,,
133,train,0.384391,,,,,,,
134,train,0.378541,,,,,,,
135,train,0.381587,,,,,,,
136,train,0.395764,,,,,,,
137,train,0.366969,,,,,,,
138,train,0.412502,,,,,,,
139,train,0.364244,,,,,,,
139,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8710,
140,train,0.401974,,,,,,,
141,train,0.429354,,,,,,,
142,train,0.387148,,,,,,,
143,train,0.414741,,,,,,,
144,train,0.436598,,,,,,,
145,train,0.372578,,,,,,,
146,train,0.368501,,,,,,,
147,train,0.424133,,,,,,,
148,train,0.384758,,,,,,,
149,train,0.381877,,,,,,,
150,train,0.427682,,,,,,,
151,train,0.347568,,,,,,,
152,train,0.378508,,,,,,,
153,train,0.412019,,,,,,,
154,train,0.383633,,,,,,,
155,train,0.405565,,,,,,,
156,train,0.429611,,,,,,,
157,train,0.397796,,,,,,,
158,train,0.376880,,,,,,,
159,train,0.429860,,,,,,,
159,eval,,0.0001,0.0000,0.9999,0.0000,0.0000,0.8709,
160,train,0.361111,,,,,,,
161,train,0.409317,,,,,,,
162,train,0.394364,,,,,,,
163,train,0.340887,,,,,,,
164,train,0.353006,,,,,,,
165,train,0.409018,,,,,,,
166,train,0.364591,,,,,,,
167,train,0.318300,,,,,,,
168,train,0.380799,,,,,,,
169,train,0.377734,,,,,,,
170,train,0.375627,,,,,,,
171,train,0.371166,,,,,,,
172,train,0.403677,,,,,,,
173,train,0.334596,,,,,,,
174,train,0.356106,,,,,,,
175,train,0.364113,,,,,,,
176,train,0.399422,,,,,,,
177,train,0.346501,,,,,,,
178,train,0.359955,,,,,,,
179,train,0.364638,,,,,,,
179,eval,,0.0001,0.0000,0.9999,0.0000,0.0000,0.8709,
180,train,0.352309,,,,,,,
181,train,0.359551,,,,,,,
182,train,0.323164,,,,,,,
183,train,0.431242,,,,,,,
184,train,0.437523,,,,,,,
185,train,0.321685,,,,,,,
186,train,0.358123,,,,,,,
187,train,0.370308,,,,,,,
188,train,0.352466,,,,,,,
189,train,0.385420,,,,,,,
190,train,0.389363,,,,,,,
191,train,0.417218,,,,,,,
192,train,0.391688,,,,,,,
193,train,0.351707,,,,,,,
194,train,0.369579,,,,,,,
195,train,0.333376,,,,,,,
196,train,0.437704,,,,,,,
197,train,0.370901,,,,,,,
198,train,0.379190,,,,,,,
199,train,0.323734,,,,,,,
199,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8710,
200,train,0.393101,,,,,,,
201,train,0.381812,,,,,,,
202,train,0.393001,,,,,,,
203,train,0.376576,,,,,,,
204,train,0.909929,,,,,,,
205,train,0.405985,,,,,,,
206,train,0.363708,,,,,,,
207,train,0.291271,,,,,,,
208,train,0.357459,,,,,,,
209,train,0.427142,,,,,,,
210,train,0.371444,,,,,,,
211,train,0.332295,,,,,,,
212,train,0.366991,,,,,,,
213,train,0.364916,,,,,,,
214,train,0.438046,,,,,,,
215,train,0.363987,,,,,,,
216,train,0.373833,,,,,,,
217,train,0.340489,,,,,,,
218,train,0.380259,,,,,,,
219,train,0.359703,,,,,,,
219,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8710,
220,train,0.408288,,,,,,,
221,train,0.387789,,,,,,,
222,train,0.341481,,,,,,,
223,train,0.367472,,,,,,,
224,train,0.358069,,,,,,,
225,train,0.356497,,,,,,,
226,train,0.359667,,,,,,,
227,train,0.374678,,,,,,,
228,train,0.415096,,,,,,,
229,train,0.350856,,,,,,,
230,train,0.380516,,,,,,,
231,train,0.339325,,,,,,,
232,train,0.363930,,,,,,,
233,train,0.358988,,,,,,,
234,train,0.369385,,,,,,,
235,train,0.362886,,,,,,,
236,train,0.365595,,,,,,,
237,train,0.395834,,,,,,,
238,train,0.393656,,,,,,,
239,train,0.440319,,,,,,,
239,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8710,
240,train,0.360177,,,,,,,
241,train,0.310010,,,,,,,
242,train,0.352982,,,,,,,
243,train,0.378795,,,,,,,
244,train,0.331941,,,,,,,
245,train,0.409683,,,,,,,
246,train,0.372190,,,,,,,
247,train,0.423205,,,,,,,
248,train,0.309000,,,,,,,
249,train,0.349145,,,,,,,
250,train,0.334870,,,,,,,
251,train,0.398085,,,,,,,
252,train,0.359665,,,,,,,
253,train,0.324274,,,,,,,
254,train,0.311015,,,,,,,
255,train,0.324914,,,,,,,
256,train,0.383875,,,,,,,
257,train,0.404602,,,,,,,
258,train,0.338611,,,,,,,
259,train,0.309254,,,,,,,
259,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8710,
260,train,0.326563,,,,,,,
261,train,0.397553,,,,,,,
262,train,0.363627,,,,,,,
263,train,0.365180,,,,,,,
264,train,0.381090,,,,,,,
265,train,0.389898,,,,,,,
266,train,0.356520,,,,,,,
267,train,0.370296,,,,,,,
268,train,0.368144,,,,,,,
269,train,0.420971,,,,,,,
270,train,0.324023,,,,,,,
271,train,0.416648,,,,,,,
272,train,0.353887,,,,,,,
273,train,0.347339,,,,,,,
274,train,0.374398,,,,,,,
275,train,0.370441,,,,,,,
276,train,0.339118,,,,,,,
277,train,0.357654,,,,,,,
278,train,0.354852,,,,,,,
279,train,0.391027,,,,,,,
279,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8710,
280,train,0.375431,,,,,,,
281,train,0.366666,,,,,,,
282,train,0.325316,,,,,,,
283,train,0.343613,,,,,,,
284,train,0.410864,,,,,,,
285,train,0.326447,,,,,,,
286,train,0.355265,,,,,,,
287,train,0.363692,,,,,,,
288,train,0.354488,,,,,,,
289,train,0.367853,,,,,,,
290,train,0.341890,,,,,,,
291,train,0.383815,,,,,,,
292,train,0.379189,,,,,,,
293,train,0.331854,,,,,,,
294,train,0.314778,,,,,,,
295,train,0.353953,,,,,,,
296,train,0.333687,,,,,,,
297,train,0.359171,,,,,,,
298,train,0.351671,,,,,,,
299,train,0.370501,,,,,,,
299,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8710,
299,checkpoint,,,,,,,,saved result/checkpoints/goal5abl_as_w5_S2_bs1024_seed1/epoch_300.pt
