epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.380504,,,,,,,start
1,train,23.377743,,,,,,,
2,train,17.248947,,,,,,,
3,train,7.112268,,,,,,,
4,train,1.326581,,,,,,,
5,train,11.757463,,,,,,,
6,train,24.274490,,,,,,,
7,train,24.305584,,,,,,,
8,train,15.771081,,,,,,,
9,train,7.618174,,,,,,,
10,train,4.161060,,,,,,,
11,train,3.664889,,,,,,,
12,train,2.930781,,,,,,,
13,train,1.542082,,,,,,,
14,train,1.052033,,,,,,,
15,train,0.992045,,,,,,,
16,train,0.768307,,,,,,,
17,train,0.547598,,,,,,,
18,train,0.556398,,,,,,,
19,train,0.847922,,,,,,,
19,eval,,0.0000,0.0000,0.9999,0.0000,0.0001,0.8709,
20,train,0.647220,,,,,,,
21,train,0.501992,,,,,,,
22,train,0.590574,,,,,,,
23,train,0.730803,,,,,,,
24,train,0.536751,,,,,,,
25,train,0.498196,,,,,,,
26,train,0.777738,,,,,,,
27,train,0.656948,,,,,,,
28,train,0.569628,,,,,,,
29,train,0.528025,,,,,,,
30,train,0.673202,,,,,,,
31,train,0.481678,,,,,,,
32,train,0.415513,,,,,,,
33,train,0.844820,,,,,,,
34,train,104.865967,,,,,,,
35,train,0.374442,,,,,,,
36,train,0.394839,,,,,,,
37,train,0.456646,,,,,,,
38,train,0.527445,,,,,,,
39,train,0.495184,,,,,,,
39,eval,,0.0000,0.0000,0.9999,0.0001,0.0000,0.8709,
40,train,0.638396,,,,,,,
41,train,0.854581,,,,,,,
42,train,0.455707,,,,,,,
43,train,0.434216,,,,,,,
44,train,0.703816,,,,,,,
45,train,0.453592,,,,,,,
46,train,0.390687,,,,,,,
47,train,0.377427,,,,,,,
48,train,0.365333,,,,,,,
49,train,0.582421,,,,,,,
50,train,0.472871,,,,,,,
51,train,0.561960,,,,,,,
52,train,0.816048,,,,,,,
53,train,1.284465,,,,,,,
54,train,0.726740,,,,,,,
55,train,0.488697,,,,,,,
56,train,0.910536,,,,,,,
57,train,0.246332,,,,,,,
58,train,0.372440,,,,,,,
59,train,0.289580,,,,,,,
59,eval,,0.0001,0.0000,0.9999,0.0000,0.0000,0.8709,
60,train,0.384405,,,,,,,
61,train,0.359616,,,,,,,
62,train,0.402239,,,,,,,
63,train,0.459922,,,,,,,
64,train,0.467974,,,,,,,
65,train,0.473458,,,,,,,
66,train,0.386647,,,,,,,
67,train,0.437920,,,,,,,
68,train,0.470177,,,,,,,
69,train,0.300163,,,,,,,
70,train,0.333619,,,,,,,
71,train,0.326465,,,,,,,
72,train,0.310723,,,,,,,
73,train,0.366252,,,,,,,
74,train,0.412096,,,,,,,
75,train,0.440067,,,,,,,
76,train,0.336647,,,,,,,
77,train,0.370766,,,,,,,
78,train,0.502669,,,,,,,
79,train,0.339901,,,,,,,
79,eval,,0.0001,0.0000,0.9997,0.0002,0.0000,0.8707,
80,train,0.319585,,,,,,,
81,train,0.445024,,,,,,,
82,train,0.372772,,,,,,,
83,train,0.368563,,,,,,,
84,train,0.324621,,,,,,,
85,train,0.385199,,,,,,,
86,train,0.400363,,,,,,,
87,train,0.448709,,,,,,,
88,train,0.459246,,,,,,,
89,train,0.284228,,,,,,,
90,train,0.378402,,,,,,,
91,train,0.362112,,,,,,,
92,train,0.398830,,,,,,,
93,train,0.486062,,,,,,,
94,train,0.342457,,,,,,,
95,train,0.439755,,,,,,,
96,train,0.301719,,,,,,,
97,train,0.399494,,,,,,,
98,train,0.359502,,,,,,,
