epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.447639,,,,,,,start
1,train,0.396599,,,,,,,
2,train,0.405176,,,,,,,
3,train,0.535199,,,,,,,
4,train,0.385687,,,,,,,
5,train,0.498637,,,,,,,
6,train,0.404106,,,,,,,
7,train,0.364661,,,,,,,
8,train,0.468924,,,,,,,
9,train,0.468316,,,,,,,
10,train,0.439738,,,,,,,
11,train,0.458889,,,,,,,
12,train,0.430415,,,,,,,
13,train,0.451872,,,,,,,
14,train,0.440361,,,,,,,
15,train,0.420842,,,,,,,
16,train,0.445887,,,,,,,
17,train,0.412483,,,,,,,
18,train,0.399272,,,,,,,
19,train,0.367620,,,,,,,
19,eval,,0.0000,0.0001,0.9998,0.0001,0.0000,0.8708,
20,train,0.614506,,,,,,,
21,train,0.682354,,,,,,,
22,train,0.475040,,,,,,,
23,train,0.468143,,,,,,,
24,train,0.472056,,,,,,,
25,train,0.540359,,,,,,,
26,train,0.490731,,,,,,,
27,train,0.550600,,,,,,,
28,train,0.392864,,,,,,,
29,train,0.348334,,,,,,,
30,train,0.539794,,,,,,,
31,train,0.478288,,,,,,,
32,train,0.539802,,,,,,,
33,train,0.533162,,,,,,,
34,train,0.438971,,,,,,,
35,train,0.488902,,,,,,,
36,train,0.779316,,,,,,,
37,train,0.493779,,,,,,,
38,train,0.412727,,,,,,,
39,train,0.519588,,,,,,,
39,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8710,
40,train,0.446685,,,,,,,
41,train,0.450563,,,,,,,
42,train,0.544113,,,,,,,
43,train,0.527543,,,,,,,
44,train,0.442587,,,,,,,
45,train,0.376401,,,,,,,
46,train,0.450378,,,,,,,
47,train,0.505959,,,,,,,
48,train,0.386636,,,,,,,
49,train,0.304711,,,,,,,
50,train,0.459109,,,,,,,
51,train,0.486519,,,,,,,
52,train,0.492616,,,,,,,
53,train,0.383694,,,,,,,
54,train,0.495279,,,,,,,
55,train,0.400447,,,,,,,
56,train,0.426323,,,,,,,
57,train,0.486780,,,,,,,
58,train,0.474889,,,,,,,
59,train,0.326275,,,,,,,
59,eval,,0.0000,0.0000,1.0000,0.0000,0.0000,0.8710,
60,train,0.405653,,,,,,,
61,train,0.473631,,,,,,,
62,train,0.467896,,,,,,,
63,train,0.407342,,,,,,,
64,train,0.388539,,,,,,,
65,train,0.419320,,,,,,,
66,train,0.557325,,,,,,,
67,train,0.353999,,,,,,,
68,train,0.357870,,,,,,,
69,train,1.223035,,,,,,,
70,train,0.700326,,,,,,,
71,train,1.929385,,,,,,,
72,train,0.874731,,,,,,,
73,train,0.500012,,,,,,,
74,train,0.713112,,,,,,,
75,train,0.407015,,,,,,,
76,train,0.438529,,,,,,,
77,train,0.404587,,,,,,,
78,train,0.743624,,,,,,,
79,train,1.099138,,,,,,,
79,eval,,0.0170,0.0112,0.9631,0.0003,0.0084,0.8341,
80,train,1.516516,,,,,,,
81,train,4.713411,,,,,,,
82,train,4.338716,,,,,,,
83,train,5.256319,,,,,,,
84,train,4.712091,,,,,,,
85,train,5.692760,,,,,,,
86,train,4.755218,,,,,,,
87,train,5.025599,,,,,,,
88,train,4.984638,,,,,,,
89,train,5.572441,,,,,,,
90,train,3.998988,,,,,,,
91,train,4.440423,,,,,,,
92,train,5.210294,,,,,,,
93,train,5.599030,,,,,,,
94,train,6.076863,,,,,,,
95,train,4.061759,,,,,,,
96,train,3.780849,,,,,,,
97,train,5.303191,,,,,,,
98,train,4.122309,,,,,,,
99,train,3.080634,,,,,,,
99,eval,,0.3797,0.2498,0.2896,0.0075,0.0734,0.1606,
100,train,2.860276,,,,,,,
101,train,1.885002,,,,,,,
102,train,2.535940,,,,,,,
103,train,2.415555,,,,,,,
104,train,1.758382,,,,,,,
105,train,1.870407,,,,,,,
106,train,1.482459,,,,,,,
107,train,1.363359,,,,,,,
108,train,1.821835,,,,,,,
109,train,1.171547,,,,,,,
110,train,1.265467,,,,,,,
111,train,1.515189,,,,,,,
112,train,2.254105,,,,,,,
113,train,2.242936,,,,,,,
114,train,1.873461,,,,,,,
115,train,1.932260,,,,,,,
116,train,2.203445,,,,,,,
117,train,2.461462,,,,,,,
118,train,2.947927,,,,,,,
119,train,2.184346,,,,,,,
119,eval,,0.3222,0.4095,0.1504,0.0186,0.0993,0.1939,
120,train,2.363773,,,,,,,
121,train,1.550600,,,,,,,
122,train,1.050394,,,,,,,
123,train,0.866661,,,,,,,
124,train,0.517876,,,,,,,
125,train,0.625303,,,,,,,
126,train,0.553966,,,,,,,
127,train,0.439292,,,,,,,
128,train,0.476856,,,,,,,
129,train,0.506817,,,,,,,
130,train,0.669783,,,,,,,
131,train,0.457513,,,,,,,
132,train,0.598877,,,,,,,
133,train,0.619747,,,,,,,
134,train,0.521241,,,,,,,
135,train,0.735961,,,,,,,
136,train,0.856430,,,,,,,
137,train,1.146061,,,,,,,
138,train,0.691682,,,,,,,
139,train,0.638533,,,,,,,
139,eval,,0.1993,0.2759,0.4809,0.0052,0.0387,0.3519,
140,train,1.243593,,,,,,,
141,train,0.709069,,,,,,,
142,train,0.766149,,,,,,,
143,train,0.744404,,,,,,,
144,train,0.901413,,,,,,,
145,train,0.651558,,,,,,,
146,train,0.711769,,,,,,,
147,train,0.710876,,,,,,,
148,train,0.801242,,,,,,,
149,train,0.504506,,,,,,,
150,train,0.780872,,,,,,,
151,train,0.516089,,,,,,,
152,train,0.763029,,,,,,,
153,train,0.712203,,,,,,,
154,train,0.756795,,,,,,,
155,train,0.645624,,,,,,,
156,train,0.747677,,,,,,,
157,train,1.122739,,,,,,,
158,train,0.718619,,,,,,,
159,train,0.892797,,,,,,,
159,eval,,0.3050,0.2562,0.4090,0.0093,0.0205,0.2800,
160,train,0.582976,,,,,,,
161,train,0.695441,,,,,,,
162,train,0.673084,,,,,,,
163,train,0.627790,,,,,,,
164,train,0.686841,,,,,,,
165,train,0.439974,,,,,,,
166,train,0.600743,,,,,,,
167,train,0.831578,,,,,,,
168,train,0.747780,,,,,,,
169,train,0.731377,,,,,,,
170,train,0.706084,,,,,,,
171,train,0.885201,,,,,,,
172,train,0.641028,,,,,,,
173,train,0.535285,,,,,,,
174,train,0.513358,,,,,,,
175,train,0.668193,,,,,,,
176,train,0.325098,,,,,,,
177,train,0.579502,,,,,,,
178,train,0.461979,,,,,,,
179,train,0.523409,,,,,,,
179,eval,,0.3916,0.3462,0.2563,0.0027,0.0032,0.1273,
180,train,0.527977,,,,,,,
181,train,0.468539,,,,,,,
182,train,0.460099,,,,,,,
183,train,0.659560,,,,,,,
184,train,0.636247,,,,,,,
185,train,0.435761,,,,,,,
186,train,0.464874,,,,,,,
187,train,0.534234,,,,,,,
188,train,0.514423,,,,,,,
189,train,0.569335,,,,,,,
190,train,0.579042,,,,,,,
191,train,0.524337,,,,,,,
192,train,0.532889,,,,,,,
193,train,0.435167,,,,,,,
194,train,0.453019,,,,,,,
195,train,0.649314,,,,,,,
196,train,0.527280,,,,,,,
197,train,0.436592,,,,,,,
198,train,0.479337,,,,,,,
199,train,0.520296,,,,,,,
199,eval,,0.0076,0.3658,0.6259,0.0006,0.0001,0.5085,
200,train,0.568189,,,,,,,
201,train,0.414653,,,,,,,
202,train,0.545953,,,,,,,
203,train,0.376648,,,,,,,
204,train,0.450770,,,,,,,
205,train,0.370192,,,,,,,
206,train,0.519806,,,,,,,
207,train,0.682909,,,,,,,
208,train,0.399102,,,,,,,
209,train,0.548240,,,,,,,
210,train,0.465972,,,,,,,
211,train,0.378798,,,,,,,
212,train,0.449650,,,,,,,
213,train,0.329215,,,,,,,
214,train,0.632584,,,,,,,
215,train,0.289599,,,,,,,
216,train,0.429653,,,,,,,
217,train,0.381624,,,,,,,
218,train,0.530201,,,,,,,
219,train,0.403803,,,,,,,
219,eval,,0.0183,0.1846,0.7894,0.0066,0.0011,0.6604,
220,train,0.513712,,,,,,,
