epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.794516,,,,,,,start
1,train,14.401381,,,,,,,
2,train,11.215109,,,,,,,
3,train,4.228426,,,,,,,
4,train,0.719030,,,,,,,
5,train,3.652941,,,,,,,
6,train,3.826141,,,,,,,
7,train,1.522650,,,,,,,
8,train,0.642444,,,,,,,
9,train,1.170735,,,,,,,
10,train,1.075929,,,,,,,
11,train,0.751791,,,,,,,
12,train,0.596872,,,,,,,
13,train,0.740002,,,,,,,
14,train,0.809135,,,,,,,
15,train,0.523940,,,,,,,
16,train,0.679659,,,,,,,
17,train,0.898228,,,,,,,
18,train,0.671811,,,,,,,
19,train,0.432211,,,,,,,
19,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.8000,
20,train,0.533082,,,,,,,
21,train,0.632727,,,,,,,
22,train,0.594309,,,,,,,
23,train,0.395957,,,,,,,
24,train,0.423132,,,,,,,
25,train,0.595435,,,,,,,
26,train,0.568968,,,,,,,
27,train,0.475185,,,,,,,
28,train,0.405103,,,,,,,
29,train,0.477288,,,,,,,
30,train,0.536495,,,,,,,
31,train,0.375836,,,,,,,
32,train,0.441269,,,,,,,
33,train,0.560960,,,,,,,
34,train,0.485191,,,,,,,
35,train,0.462317,,,,,,,
36,train,0.431781,,,,,,,
37,train,0.482664,,,,,,,
38,train,0.429343,,,,,,,
39,train,0.408278,,,,,,,
39,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.8000,
40,train,0.450592,,,,,,,
41,train,0.418437,,,,,,,
42,train,0.392818,,,,,,,
43,train,0.471647,,,,,,,
44,train,0.470169,,,,,,,
45,train,0.431333,,,,,,,
46,train,0.474092,,,,,,,
47,train,0.543800,,,,,,,
48,train,0.364742,,,,,,,
49,train,0.447471,,,,,,,
50,train,1.400125,,,,,,,
51,train,0.888929,,,,,,,
52,train,0.533550,,,,,,,
53,train,0.633622,,,,,,,
54,train,0.838517,,,,,,,
55,train,0.816451,,,,,,,
56,train,0.748566,,,,,,,
57,train,0.540251,,,,,,,
58,train,0.465479,,,,,,,
59,train,88.613815,,,,,,,
59,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.8000,
60,train,0.466942,,,,,,,
61,train,0.438775,,,,,,,
62,train,0.425100,,,,,,,
63,train,0.413018,,,,,,,
