epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.793533,,,,,,,start
1,train,14.439112,,,,,,,
2,train,11.539449,,,,,,,
3,train,4.184361,,,,,,,
4,train,0.693697,,,,,,,
5,train,2.880048,,,,,,,
6,train,2.660963,,,,,,,
7,train,0.827238,,,,,,,
8,train,1.276779,,,,,,,
9,train,2.091076,,,,,,,
10,train,1.648978,,,,,,,
11,train,0.587254,,,,,,,
12,train,0.724677,,,,,,,
13,train,1.026742,,,,,,,
14,train,1.191112,,,,,,,
15,train,0.591034,,,,,,,
16,train,0.701703,,,,,,,
17,train,0.880410,,,,,,,
18,train,0.584849,,,,,,,
19,train,0.371430,,,,,,,
19,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.8000,
20,train,0.582267,,,,,,,
21,train,0.850873,,,,,,,
22,train,0.560612,,,,,,,
23,train,0.358393,,,,,,,
24,train,0.464989,,,,,,,
25,train,0.720222,,,,,,,
26,train,0.623739,,,,,,,
27,train,0.457624,,,,,,,
28,train,0.498486,,,,,,,
29,train,0.637596,,,,,,,
30,train,0.588001,,,,,,,
31,train,0.491797,,,,,,,
32,train,0.484216,,,,,,,
33,train,0.480011,,,,,,,
34,train,0.517749,,,,,,,
35,train,0.497661,,,,,,,
36,train,0.381662,,,,,,,
37,train,0.396680,,,,,,,
38,train,0.544704,,,,,,,
39,train,0.382278,,,,,,,
39,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.8000,
40,train,0.332616,,,,,,,
41,train,0.424382,,,,,,,
42,train,0.428183,,,,,,,
43,train,0.512654,,,,,,,
44,train,0.375618,,,,,,,
45,train,0.401877,,,,,,,
46,train,0.355403,,,,,,,
47,train,0.389641,,,,,,,
48,train,0.317828,,,,,,,
49,train,0.596707,,,,,,,
50,train,0.836302,,,,,,,
51,train,0.416639,,,,,,,
52,train,0.721419,,,,,,,
53,train,1.138556,,,,,,,
54,train,0.831783,,,,,,,
55,train,0.492786,,,,,,,
56,train,0.423975,,,,,,,
57,train,0.563440,,,,,,,
58,train,0.577381,,,,,,,
59,train,0.441307,,,,,,,
59,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.8000,
60,train,0.560314,,,,,,,
61,train,0.513296,,,,,,,
62,train,0.507206,,,,,,,
63,train,0.386701,,,,,,,
64,train,0.374746,,,,,,,
65,train,0.384604,,,,,,,
66,train,0.423972,,,,,,,
67,train,0.305364,,,,,,,
68,train,0.297144,,,,,,,
69,train,0.398886,,,,,,,
70,train,0.400272,,,,,,,
71,train,0.414849,,,,,,,
72,train,0.307633,,,,,,,
73,train,0.384048,,,,,,,
74,train,0.360785,,,,,,,
75,train,0.359908,,,,,,,
76,train,0.330242,,,,,,,
77,train,0.425002,,,,,,,
78,train,0.419299,,,,,,,
79,train,0.344090,,,,,,,
79,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.8000,
80,train,0.347775,,,,,,,
81,train,0.311635,,,,,,,
82,train,0.412830,,,,,,,
83,train,0.440641,,,,,,,
84,train,913.665527,,,,,,,
85,train,0.461951,,,,,,,
86,train,0.520741,,,,,,,
87,train,0.394814,,,,,,,
88,train,0.511077,,,,,,,
89,train,0.390167,,,,,,,
90,train,0.427831,,,,,,,
91,train,0.406359,,,,,,,
92,train,0.358542,,,,,,,
93,train,0.352635,,,,,,,
94,train,0.340167,,,,,,,
95,train,0.346876,,,,,,,
96,train,0.448337,,,,,,,
97,train,0.378795,,,,,,,
98,train,0.460833,,,,,,,
99,train,0.332241,,,,,,,
99,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.8000,
100,train,0.367764,,,,,,,
101,train,0.382014,,,,,,,
102,train,0.325577,,,,,,,
103,train,0.355008,,,,,,,
104,train,0.380052,,,,,,,
105,train,0.322064,,,,,,,
106,train,0.321113,,,,,,,
107,train,0.401937,,,,,,,
108,train,0.346487,,,,,,,
109,train,0.337231,,,,,,,
