epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.876259,,,,,,,start
1,train,0.916372,,,,,,,
2,train,0.762428,,,,,,,
3,train,0.940431,,,,,,,
4,train,0.654273,,,,,,,
5,train,0.553346,,,,,,,
6,train,0.558346,,,,,,,
7,train,0.450315,,,,,,,
8,train,0.767636,,,,,,,
9,train,0.473580,,,,,,,
10,train,0.457330,,,,,,,
11,train,0.417380,,,,,,,
12,train,0.836826,,,,,,,
13,train,0.405844,,,,,,,
14,train,0.603351,,,,,,,
15,train,0.536464,,,,,,,
16,train,0.453970,,,,,,,
17,train,0.436068,,,,,,,
18,train,0.521604,,,,,,,
19,train,0.406485,,,,,,,
19,eval,,0.0002,0.9996,0.0002,0.0000,0.0000,0.7996,
20,train,0.365372,,,,,,,
21,train,0.408132,,,,,,,
22,train,0.383421,,,,,,,
23,train,0.457276,,,,,,,
24,train,0.439804,,,,,,,
25,train,0.538230,,,,,,,
26,train,0.471037,,,,,,,
27,train,0.433781,,,,,,,
28,train,0.459384,,,,,,,
29,train,0.522751,,,,,,,
30,train,0.377129,,,,,,,
31,train,0.437699,,,,,,,
32,train,0.508814,,,,,,,
33,train,0.405130,,,,,,,
34,train,0.472782,,,,,,,
35,train,0.365392,,,,,,,
36,train,0.317381,,,,,,,
37,train,0.641174,,,,,,,
38,train,0.447900,,,,,,,
39,train,0.590251,,,,,,,
39,eval,,0.0000,0.9997,0.0003,0.0000,0.0000,0.7997,
40,train,0.393439,,,,,,,
41,train,0.879213,,,,,,,
42,train,0.346811,,,,,,,
43,train,0.347690,,,,,,,
44,train,0.425311,,,,,,,
45,train,0.473420,,,,,,,
46,train,0.516478,,,,,,,
47,train,0.425235,,,,,,,
48,train,0.470544,,,,,,,
49,train,0.468730,,,,,,,
50,train,0.780926,,,,,,,
51,train,0.544471,,,,,,,
52,train,0.571046,,,,,,,
53,train,0.476367,,,,,,,
54,train,0.519588,,,,,,,
55,train,0.456509,,,,,,,
56,train,0.463044,,,,,,,
57,train,0.391260,,,,,,,
58,train,0.389559,,,,,,,
59,train,0.371105,,,,,,,
59,eval,,0.0002,0.9997,0.0001,0.0000,0.0000,0.7997,
60,train,0.467649,,,,,,,
61,train,0.350571,,,,,,,
62,train,0.503937,,,,,,,
63,train,0.300855,,,,,,,
64,train,0.439377,,,,,,,
65,train,0.317793,,,,,,,
66,train,0.466350,,,,,,,
67,train,0.493623,,,,,,,
68,train,0.421058,,,,,,,
69,train,0.393821,,,,,,,
70,train,0.401986,,,,,,,
71,train,0.405483,,,,,,,
72,train,0.395596,,,,,,,
73,train,0.470716,,,,,,,
74,train,0.414862,,,,,,,
75,train,0.363600,,,,,,,
76,train,0.385704,,,,,,,
77,train,0.422804,,,,,,,
78,train,0.314966,,,,,,,
79,train,0.397092,,,,,,,
79,eval,,0.0001,0.9998,0.0001,0.0000,0.0000,0.7998,
80,train,0.337512,,,,,,,
81,train,0.450804,,,,,,,
82,train,0.347297,,,,,,,
83,train,0.473397,,,,,,,
84,train,0.377810,,,,,,,
85,train,0.413654,,,,,,,
86,train,0.311306,,,,,,,
87,train,0.367868,,,,,,,
88,train,0.400637,,,,,,,
89,train,0.379877,,,,,,,
90,train,0.454848,,,,,,,
91,train,0.331532,,,,,,,
92,train,0.246852,,,,,,,
93,train,0.386531,,,,,,,
94,train,0.392852,,,,,,,
95,train,0.298046,,,,,,,
96,train,0.477658,,,,,,,
97,train,0.412458,,,,,,,
98,train,0.409856,,,,,,,
99,train,0.386429,,,,,,,
99,eval,,0.0001,0.9998,0.0001,0.0000,0.0000,0.7998,
100,train,0.363465,,,,,,,
101,train,0.375555,,,,,,,
102,train,0.355099,,,,,,,
103,train,0.314587,,,,,,,
104,train,0.381502,,,,,,,
105,train,0.483689,,,,,,,
106,train,0.321109,,,,,,,
107,train,0.498541,,,,,,,
108,train,0.310194,,,,,,,
109,train,0.452476,,,,,,,
110,train,0.336264,,,,,,,
111,train,0.542954,,,,,,,
112,train,0.308342,,,,,,,
113,train,0.283140,,,,,,,
114,train,0.392647,,,,,,,
115,train,0.445340,,,,,,,
116,train,0.357248,,,,,,,
117,train,0.382443,,,,,,,
118,train,0.282455,,,,,,,
119,train,0.393294,,,,,,,
119,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.8000,
120,train,0.323540,,,,,,,
121,train,0.401426,,,,,,,
122,train,0.475025,,,,,,,
123,train,0.348318,,,,,,,
124,train,0.445950,,,,,,,
125,train,0.383203,,,,,,,
126,train,0.592538,,,,,,,
127,train,0.289906,,,,,,,
128,train,0.511523,,,,,,,
129,train,0.279594,,,,,,,
130,train,0.520638,,,,,,,
131,train,0.407480,,,,,,,
132,train,0.351893,,,,,,,
133,train,0.590778,,,,,,,
134,train,0.361517,,,,,,,
135,train,0.412130,,,,,,,
136,train,0.320541,,,,,,,
137,train,0.669185,,,,,,,
138,train,0.568291,,,,,,,
139,train,0.461562,,,,,,,
139,eval,,0.0002,0.9998,0.0000,0.0000,0.0000,0.7998,
140,train,0.379366,,,,,,,
141,train,0.378952,,,,,,,
142,train,0.318920,,,,,,,
143,train,0.389044,,,,,,,
144,train,0.517619,,,,,,,
145,train,0.368194,,,,,,,
146,train,0.450920,,,,,,,
147,train,0.432433,,,,,,,
148,train,0.323906,,,,,,,
149,train,0.302335,,,,,,,
150,train,0.622501,,,,,,,
151,train,0.335418,,,,,,,
152,train,0.330252,,,,,,,
153,train,0.337144,,,,,,,
154,train,0.466912,,,,,,,
155,train,0.307406,,,,,,,
